SYS SID RAW.SCR Z.SCR N 
Online-A.1570 656 92 0.596551469979725 1 
Online-A.1570 657 95 0.693532890925643 1 
Online-A.1570 658 18 -1.79565691335292 1 
Online-A.1570 659 81 0.240952926511359 1 
Online-A.1570 660 11 -2.02194689556006 1 
Online-A.1570 661 65 -0.276281318533537 1 
Online-A.1570 632 89.5 0.266344529557944 2 
Online-A.1570 633 92 0.57078848265046 2 
Online-A.1570 634 77 -0.605721455615565 2 
Online-A.1570 635 78.5 -0.497358372935949 2 
Online-A.1570 636 84.5 -0.130248264695962 2 
Online-A.1570 637 89 0.274451650317056 2 
Online-A.1570 471 80 -0.203237067316601 2 
Online-A.1570 472 87 0.041511243439601 2 
Online-A.1570 473 86.5 0.0363499197030175 2 
Online-A.1570 474 95 0.734440870026909 2 
Online-A.1570 475 91 0.387976056733255 2 
Online-A.1570 476 82 -0.34181310631861 2 
Online-A.1570 466 76 -0.430728768762468 1 
Online-A.1570 467 100 0.815731155213864 1 
Online-A.1570 468 75 -0.482664598928149 1 
Online-A.1570 469 76 -0.430728768762468 1 
Online-A.1570 470 51 -1.72912452290448 1 
Online-A.1570 8 100 0.815731155213864 1 
Online-A.1570 9 76 -0.430728768762468 1 
Online-A.1570 10 99 0.763795325048183 1 
Online-A.1570 11 75 -0.482664598928149 1 
Online-A.1570 12 75 -0.482664598928149 1 
Online-A.1570 13 76 -0.430728768762468 1 
Online-A.1570 265 85 -0.416307759223566 1 
Online-A.1570 266 99 0.578683172144802 1 
Online-A.1570 267 96 0.365470829708723 1 
Online-A.1570 268 99 0.578683172144802 1 
Online-A.1570 269 99 0.578683172144802 1 
Online-A.1570 59 95 0.294400048896697 2 
Online-A.1570 60 99 0.578683172144802 1 
Online-A.1570 61 98 0.507612391332776 2 
Online-A.1570 62 99 0.578683172144802 1 
Online-A.1570 63 99.5 0.614218562550815 2 
Online-A.1570 64 99 0.578683172144802 1 
Online-A.1570 65 98 0.507612391332775 2 
Online-A.1570 371 86.25 0.220486886897695 4 
Online-A.1570 372 67 -0.80990633175174 2 
Online-A.1570 373 63.5 -0.97333981712491 2 
Online-A.1570 374 82.5 0.05999169770706 2 
Online-A.1570 614 99 0.983039838258987 1 
Online-A.1570 615 87 0.332955381453307 1 
Online-A.1570 616 94 0.712171314589953 1 
Online-A.1570 617 74 -0.37130278008618 1 
Online-A.1570 618 66 -0.804692417956633 1 
Online-A.1570 619 94 0.712171314589953 1 
Online-A.1570 620 95 0.76634501932376 1 
Online-A.1570 621 90 0.495476495654727 1 
Online-A.1570 622 99 0.983039838258987 1 
Online-A.1570 623 95 0.76634501932376 1 
Online-A.1570 570 33.5 -1.86169635134943 2 
Online-A.1570 571 43.5 -1.16050488681289 2 
Online-A.1570 572 37.5 -1.58121976553481 2 
Online-A.1570 573 33 -1.89675592457626 2 
Online-A.1570 574 27 -2.31747080329818 2 
Online-A.1570 363 96 0.39368056961531 2 
Online-A.1570 364 57 -2.04828105660418 2 
Online-A.1570 365 69 -1.30668912195127 2 
Online-A.1570 366 97 0.476671789901416 2 
Online-A.1570 367 96 0.413547968738776 2 
Online-A.1570 368 98.5 0.571357521645375 2 
Online-A.1570 369 97.5 0.512207180307429 2 
Online-A.1570 370 84.5 -0.312375974631582 2 
Online-A.1570 66 83 -0.558449320847619 1 
Online-A.1570 67 97.5 0.472077000926763 2 
Online-A.1570 68 98 0.507612391332776 1 
Online-A.1570 69 83.5 -0.522913930441606 2 
Online-A.1570 70 90.5 -0.0254184647574215 2 
Online-A.1570 333 98 0.507612391332776 1 
Online-A.1570 334 98 0.507612391332776 1 
Online-A.1570 335 79 -0.842732444095724 1 
Online-A.1570 547 99.5 0.868637006736001 4 
Online-A.1570 548 76.25 -0.471726527504961 4 
Online-A.1570 549 95.5 0.673505917670368 2 
Online-A.1570 550 89 0.244977855210624 2 
Online-A.1570 551 88.25 0.308686814466098 4 
Online-A.1570 552 82.5 -0.283846245704399 2 
Online-A.1570 599 65.5 -0.923705301595597 2 
Online-A.1570 600 86.5 0.189884950181456 2 
Online-A.1570 601 85.5 0.0965261608238118 2 
Online-A.1570 602 88 0.285347117126686 2 
Online-A.1570 603 95 0.649114531537164 2 
Online-A.1570 604 71 -0.521672002856644 2 
Online-A.1570 236 78 0.0930112910783216 4 
Online-A.1570 75 93.5 0.668329226388541 2 
Online-A.1570 76 95 0.761314991619776 2 
Online-A.1570 77 90 0.568191220266934 2 
Online-A.1570 78 56.5 -0.6595350727936 2 
Online-A.1570 79 92.5 0.645281642707032 2 
Online-A.1570 80 85.5 0.382696948107583 2 
Online-A.1570 81 86.5 0.343435849432856 2 
Online-A.1570 605 98 0.877189254431481 2 
Online-A.1570 606 52 -0.572428859644421 2 
Online-A.1570 607 65.5 -0.335278040242075 2 
Online-A.1570 608 94.5 0.714742565953638 2 
Online-A.1570 609 94 0.699324481465619 2 
Online-A.1570 610 91.5 0.591079717847405 2 
Online-A.1570 611 70 -0.391229912213137 2 
Online-A.1570 612 90.5 0.552454963576836 2 
Online-A.1570 613 92 0.598709217040894 2 
Online-A.1570 233 72 -0.134842941897823 2 
Online-A.1570 234 75.5 0.0276037465800189 2 
Online-A.1570 235 80.5 0.166207420871154 2 
Online-A.1570 237 77 -0.00402785290121802 2 
Online-A.1570 180 93.5 0.187793877678658 2 
Online-A.1570 185 90.5 -0.025418464757422 2 
Online-A.1570 181 100 0.649753952956828 1 
Online-A.1570 182 100 0.649753952956828 1 
Online-A.1570 183 99 0.578683172144802 1 
Online-A.1570 184 96 0.365470829708723 1 
Online-A.1570 186 99 0.578683172144802 1 
Online-A.1570 102 74 -1.3166985160484 2 
Online-A.1570 103 97.5 0.353464833034221 2 
Online-A.1570 104 82.5 -0.659439748593102 2 
Online-A.1570 553 98 0.836597832873097 1 
Online-A.1570 554 98 0.836597832873097 1 
Online-A.1570 555 80 0.087907105782097 1 
Online-A.1570 556 96 0.75340997430743 1 
Online-A.1570 557 95 0.711816045024597 1 
Online-A.1570 558 90 0.50384639861043 1 
Online-A.1570 559 98 0.836597832873097 1 
Online-A.1570 560 100 0.919785691438763 1 
Online-A.1570 561 80 0.087907105782097 1 
Online-A.1570 562 58 -0.827159338440236 1 
Online-A.1570 172 73 -0.12605037332154 2 
Online-A.1570 149 85 0.988896982580805 1 
Online-A.1570 150 58 -1.51973456819947 1 
Online-A.1570 151 83 0.803072423263748 1 
Online-A.1570 152 67 -0.683524051272713 1 
Online-A.1570 153 84 0.895984702922276 1 
Online-A.1570 154 67 -0.683524051272713 1 
Online-A.1570 155 79 0.431423304629633 1 
Online-A.1570 166 68 -0.590611771614184 1 
Online-A.1570 167 78 0.338511024971104 1 
Online-A.1570 168 68 -0.590611771614184 1 
Online-A.1570 169 80 0.524335584288161 1 
Online-A.1570 170 66 -0.776436330931242 1 
Online-A.1570 171 86 1.08180926223933 1 
Online-A.1570 187 44 -0.922013198552096 1 
Online-A.1570 188 82 0.655767660973092 2 
Online-A.1570 189 74 0.323603269494105 2 
Online-A.1570 190 80 0.572726563103345 1 
Online-A.1570 191 68.5 0.0952402503523017 2 
Online-A.1570 192 78 0.489685465233599 1 
Online-A.1570 193 60 -0.257684415594122 1 
Online-A.1570 194 79 0.531206014168472 1 
Online-A.1570 21 81 0.614247112038219 1 
Online-A.1570 22 78 0.489685465233599 1 
Online-A.1570 23 33 -1.3787392368357 1 
Online-A.1570 24 18 -2.0015474708588 1 
Online-A.1570 25 88 0.904890954582332 1 
Online-A.1570 26 53 -0.548328258138235 1 
Online-A.1570 511 54 -0.506807709203362 1 
Online-A.1570 512 67 0.0329594269499916 1 
Online-A.1570 513 37 -1.21265704109621 1 
Online-A.1570 514 85 0.780329307777712 1 
Online-A.1570 515 94 1.15401424819157 1 
Online-A.1570 516 81 0.614247112038219 1 
Online-A.1570 517 100 1.40313754180081 1 
Online-A.1570 518 91 1.02945260138695 1 
Online-A.1570 519 61 -0.216163866659249 1 
Online-A.1570 520 53 -0.548328258138235 1 
Online-A.1570 592 60 -0.298633952025802 1 
Online-A.1570 593 0 -3.09667029012372 1 
Online-A.1570 594 15 -2.39716120559924 1 
Online-A.1570 595 62 -0.205366074089204 1 
Online-A.1570 596 56 -0.485169707898997 1 
Online-A.1570 597 47 -0.904875158613685 1 
Online-A.1570 598 68.5 0.097754529204737 2 
Online-A.1570 624 64 -0.112098196152607 1 
Online-A.1570 625 72.5 0.284290285077932 2 
Online-A.1570 626 64.5 -0.0887812266684575 2 
Online-A.1570 627 53 -0.625071524803893 1 
Online-A.1570 628 67 0.0278036207522893 1 
Online-A.1570 629 73 0.307607254562082 1 
Online-A.1570 630 58 -0.391901829962399 1 
Online-A.1570 631 70 0.167705437657185 1 
Online-A.1570 127 69 -0.497699491955655 1 
Online-A.1570 128 68 -0.590611771614184 1 
Online-A.1570 129 75.5 0.106230325824782 2 
Online-A.1570 130 67 -0.683524051272713 2 
Online-A.1570 131 64 -0.962260890248299 1 
Online-A.1570 132 70 -0.404787212297126 1 
Online-A.1570 133 76.5 0.199142605483311 2 
Online-A.1570 507 66 -0.607564856500003 2 
Online-A.1570 508 69 -0.455948320998486 2 
Online-A.1570 509 60 -0.910797927503035 2 
Online-A.1570 510 81.5 0.175787243591169 2 
Online-A.1570 506 100 1.11075587918386 1 
Online-A.1570 302 71.75 -0.0424266153144136 4 
Online-A.1570 303 63.5 -0.390137847200979 4 
Online-A.1570 304 76.75 0.221795842161158 4 
Online-A.1570 305 80 0.237814451899634 4 
Online-A.1570 306 84.25 0.43805345837507 4 
Online-A.1570 307 80.25 0.0932592056819835 4 
Online-A.1570 308 85 0.50499669722565 4 
Online-A.1570 309 75.75 -0.76365775000465 4 
Online-A.1570 310 76 0.113115156438217 4 
Online-A.1570 311 62 -0.411425522670845 4 
Online-A.1570 312 74.5 0.0583894670342579 4 
Online-A.1570 134 96 0.821887222113058 1 
Online-A.1570 135 94 0.754594101354207 1 
Online-A.1570 136 94 0.754594101354207 1 
Online-A.1570 137 79 0.249895695662824 1 
Online-A.1570 138 89 0.586361299457079 1 
Online-A.1570 139 94 0.754594101354207 1 
Online-A.1570 140 84 0.418128497559952 1 
Online-A.1570 141 92 0.687300980595356 1 
Online-A.1570 142 91 0.65365442021593 1 
Online-A.1570 143 98 0.889180342871909 1 
Online-A.1570 355 99 0.922826903251335 1 
Online-A.1570 356 93 0.720947540974781 1 
Online-A.1570 357 89 0.586361299457079 1 
Online-A.1570 358 94 0.754594101354207 1 
Online-A.1570 359 92 0.687300980595356 1 
Online-A.1570 360 90 0.620007859836505 1 
Online-A.1570 361 92 0.687300980595356 1 
