SYS SID RAW.SCR Z.SCR N 
OPPO.1360 571 100 1.78044500258912 1 
OPPO.1360 572 75 -0.25823279254007 2 
OPPO.1360 573 81.5 0.27182343419352 2 
OPPO.1360 574 84 0.475691213706439 1 
OPPO.1360 575 89.5 0.92420032863486 2 
OPPO.1360 576 79 0.0679556546806007 2 
OPPO.1360 577 86 0.638785437316774 1 
OPPO.1360 578 87 0.720332549121942 1 
OPPO.1360 579 84 0.475691213706439 1 
OPPO.1360 580 68 -0.829062575176243 1 
OPPO.1360 424 100 0.42783183643027 2 
OPPO.1360 425 99 0.345327533830889 2 
OPPO.1360 428 99.5 0.386579685130579 2 
OPPO.1360 429 96.5 0.139066777332438 2 
OPPO.1360 432 99 0.345327533830889 2 
OPPO.1360 433 99.5 0.386579685130579 2 
OPPO.1360 434 99 0.345327533830889 2 
OPPO.1360 426 87 -0.644724097361678 1 
OPPO.1360 427 100 0.42783183643027 1 
OPPO.1360 430 88 -0.562219794762297 1 
OPPO.1360 431 99 0.345327533830889 1 
OPPO.1360 435 99 0.345327533830889 1 
OPPO.1360 119 99 0.345327533830889 1 
OPPO.1360 120 99 0.345327533830889 1 
OPPO.1360 121 99 0.345327533830889 1 
OPPO.1360 122 100 0.42783183643027 1 
OPPO.1360 123 100 0.42783183643027 1 
OPPO.1360 124 99 0.345327533830889 1 
OPPO.1360 125 91 -0.314706886964155 1 
OPPO.1360 126 99 0.345327533830889 1 
OPPO.1360 127 100 0.42783183643027 1 
OPPO.1360 128 83 -0.9747413077592 1 
OPPO.1360 129 99 0.345327533830889 1 
OPPO.1360 761 98 0.712354982018597 6 
OPPO.1360 494 92 0.428472721532028 3 
OPPO.1360 495 99 0.768890038841983 3 
OPPO.1360 496 92.6666666666667 0.528770715748706 3 
OPPO.1360 649 97 0.685303934392253 3 
OPPO.1360 650 99.6666666666667 0.80658007672424 3 
OPPO.1360 651 79.6666666666667 -0.234932830687006 3 
OPPO.1360 652 90.3333333333333 0.357834834184019 3 
OPPO.1360 762 86.3333333333333 0.114141789764712 3 
OPPO.1360 353 90.6666666666667 0.323364178563663 3 
OPPO.1360 354 88 -0.024733977029262 3 
OPPO.1360 355 86 -0.123648343934431 3 
OPPO.1360 356 86.6666666666667 -0.0953954705465756 3 
OPPO.1360 357 96.6666666666667 0.554047127818362 3 
OPPO.1360 358 91.6666666666667 0.338631850927054 3 
OPPO.1360 271 100 0.60228949990197 2 
OPPO.1360 272 98.5 0.563644237901264 2 
OPPO.1360 706 67 -0.247906264113572 1 
OPPO.1360 707 97 0.524998975900557 1 
OPPO.1360 708 99 0.576525991901499 1 
OPPO.1360 709 97 0.524998975900557 1 
OPPO.1360 483 95 0.607550924658874 1 
OPPO.1360 484 95 0.607550924658874 1 
OPPO.1360 485 90 0.412062790788599 1 
OPPO.1360 486 97 0.685746178206983 1 
