SYS SID RAW.SCR Z.SCR N 
Online-B.1589 huffingtonpost.com.19389_3 57 -0.208555738222579 2 
Online-B.1589 gateway-zh.135_5 54.6666666666667 0.0867872751621887 3 
Online-B.1589 gateway-zh.135_1 58 0.273154091344005 3 
Online-B.1589 rt.com.113876_10 61 -0.431189058932382 3 
Online-B.1589 foxnews.100091_6 63 -1.07769071880221 3 
Online-B.1589 upi.205735_0 80.6666666666667 0.719705251905634 6 
Online-B.1589 upi.205735_10 72.3333333333333 0.29231155283868 3 
Online-B.1589 upi.205735_8 62.6666666666667 -0.00443910338325301 3 
Online-B.1589 medicaldaily.com.20065_0 72 0.631554677803144 3 
Online-B.1589 huffingtonpost.com.19390_1 45.25 -1.28292772057517 4 
Online-B.1589 huffingtonpost.com.19390_4 61 -0.41959464589727 2 
Online-B.1589 en.ndtv.com.13152_1 99.8333333333333 0.89636941582412 6 
Online-B.1589 en.ndtv.com.12997_7 67 0.828466803027615 2 
Online-B.1589 latimes.431856_10 80 0.199942998058878 2 
Online-B.1589 latimes.431856_9 62 -0.489345874099864 2 
Online-B.1589 en.ndtv.com.12997_16 56 0.320212616366241 2 
Online-B.1589 en.ndtv.com.12997_0 40 -0.694415053566585 2 
Online-B.1589 metro.co.uk.12069_3 83.3333333333333 0.456495962898342 6 
Online-B.1589 foxnews.100091_2 62.6666666666667 -1.04605109231807 6 
Online-B.1589 foxnews.100091_1 65 -0.909127175187084 3 
Online-B.1589 reuters.276717_14 59 -0.0665622157706735 2 
Online-B.1589 standard.co.uk.14676_7 63.5 0.291083157137524 2 
Online-B.1589 huffingtonpost.com.19334_5 59 -0.37647734745744 2 
Online-B.1589 seattle_times.7755_4 78 0.250125819757977 2 
Online-B.1589 aj-english.8642_0 72.5 0.953122904655848 2 
Online-B.1589 novinite.com.35568_0 71 0.141469359523252 3 
Online-B.1589 seattle_times.7111_1 42 -1.11957436956503 2 
Online-B.1589 euronews-en.185674_6 66 -0.0820728057565689 6 
Online-B.1589 independent.281332_7 65.3333333333333 -0.976172765037614 3 
Online-B.1589 standard.co.uk.14683_0 80.5 0.028546161063202 2 
Online-B.1589 standard.co.uk.14683_2 95 0.561144252736725 2 
Online-B.1589 standard.co.uk.14683_3 89.5 0.358450762318211 2 
Online-B.1589 sky.com.20683_12 74 0.0507983243933155 2 
Online-B.1589 sky.com.20683_21 82 0.536842128192709 2 
Online-B.1589 cnbc.com.33889_8 90 0.776108229322553 3 
Online-B.1589 cnbc.com.33889_9 89.3333333333333 0.739054031062363 3 
Online-B.1589 novinite.com.35557_3 81.6666666666667 0.519158318312314 6 
Online-B.1589 cnn.385555_3 64.8333333333333 -0.0282352839091412 6 
Online-B.1589 telegraph.421272_5 65.6666666666667 -0.058195222010776 3 
Online-B.1589 dailymail.co.uk.365293_2 79 0.598155363852487 2 
Online-B.1589 dailymail.co.uk.365293_13 42.5 -0.609124334163503 2 
Online-B.1589 reuters.276692_8 86.5 0.348937810616439 2 
Online-B.1589 upi.205695_1 90.6666666666667 0.334677531134391 3 
Online-B.1589 upi.205695_3 97.6666666666667 0.66914724304155 3 
Online-B.1589 upi.205695_8 97 0.634470645240446 3 
Online-B.1589 abcnews.364001_0 73.8333333333333 -0.476461100455506 6 
Online-B.1589 rte.en.ie.5331_0 73.2 0.294553690968636 5 
Online-B.1589 cnn.385674_6 93 0.535063737187795 4 
Online-B.1589 allafrica.15342_14 72.6666666666667 -0.345434649426462 3 
Online-B.1589 en.ndtv.com.13041_1 97 0.980585736504166 2 
Online-B.1589 en.ndtv.com.13041_3 82 0.523703289503588 2 
Online-B.1589 en.ndtv.com.13041_5 88.5 0.740337959078751 2 
Online-B.1589 metro.co.uk.12069_1 87 0.599628188050503 3 
Online-B.1589 metro.co.uk.12069_0 74 0.0469566387270236 3 
Online-B.1589 metro.co.uk.12069_4 74.1666666666667 0.0560940342991042 6 
Online-B.1589 euronews-en.185708_0 52.3333333333333 -0.284458895794334 3 
Online-B.1589 euronews-en.185708_10 76.3333333333333 0.310830699844048 3 
Online-B.1589 reuters.276717_8 56 -0.299190913244287 2 
Online-B.1589 reuters.276717_10 65 0.210166406737301 2 
Online-B.1589 cnbc.com.33995_9 84.75 -0.309846446934936 4 
Online-B.1589 rt.com.113881_0 85 0.212374174361009 2 
Online-B.1589 huffingtonpost.com.19347_7 91 0.449043199828963 2 
Online-B.1589 huffingtonpost.com.19347_11 80.5 -0.156576162186671 2 
Online-B.1589 cnn.385556_3 22 -1.21524229222952 1 
Online-B.1589 cnn.385556_8 29 -0.941671105684848 1 
Online-B.1589 cnn.385556_13 50 -0.120957546050824 1 
Online-B.1589 cnn.385556_9 25.5 -1.07845669895718 2 
Online-B.1589 cnn.385556_17 32.5 -0.804885512412511 2 
Online-B.1589 cnn.385556_6 36 -0.668099919140174 2 
Online-B.1589 sciencedaily.com.75572_14 68 0.476645032815894 2 
Online-B.1589 express.co.uk.11102_9 41 -0.885678479004075 2 
Online-B.1589 express.co.uk.11102_12 63.5 0.262236132527094 2 
Online-B.1589 seattle_times.7043_4 76 0.909050241448076 1 
Online-B.1589 seattle_times.7043_9 72 0.720694843064636 1 
Online-B.1589 seattle_times.7043_10 72 0.720694843064636 1 
Online-B.1589 seattle_times.7043_1 50.5 -0.291715423246353 2 
Online-B.1589 cnbc.com.33901_3 64 0.103951176865497 2 
Online-B.1589 seattle_times.7452_4 79 0.586944632233487 2 
Online-B.1589 sky.com.20669_3 80 0.539328523547022 2 
Online-B.1589 sky.com.20669_10 88 0.893581181405791 2 
Online-B.1589 en.ndtv.com.13090_4 45 0.044409703895755 2 
Online-B.1589 en.ndtv.com.13090_5 32.5 -0.492085719154492 2 
Online-B.1589 en.ndtv.com.13090_6 53.5 0.409121390188305 2 
Online-B.1589 cbsnews.302172_10 70 0.177711977949214 4 
Online-B.1589 upi.205650_4 74.5 0.03231788724425 2 
Online-B.1589 brisbanetimes.com.au.225990_0 48 -1.15984723600906 2 
Online-B.1589 telegraph.421295_7 97 1.06320156415931 2 
Online-B.1589 standard.co.uk.14562_10 37 -1.0635560237573 1 
Online-B.1589 huffingtonpost.com.19385_8 55 0.0285761330753235 2 
Online-B.1589 upi.205721_12 99 0.617948041472634 2 
Online-B.1589 foxnews.100073_2 83 0.161662311666288 2 
Online-B.1589 cnn.385803_2 69.5 -0.404020096342505 2 
Online-B.1589 cnn.385761_12 78.5 0.15279556301011 2 
Online-B.1589 stv.tv.21636_15 63.5 -0.301615393113691 2 
Online-B.1589 medicaldaily.com.20065_2 56.3333333333333 -0.053481379156471 3 
Online-B.1589 seattle_times.7755_2 53.5 -1.18477993341295 2 
Online-B.1589 upi.205650_1 88.5 0.875934302091417 2 
Online-B.1589 stv.tv.21636_5 72.25 0.192054764069132 4 
Online-B.1589 reuters.276668_9 60.5 -0.873339618422354 2 
Online-B.1589 dailymail.co.uk.365204_14 41.5 -0.800342061083122 2 
Online-B.1589 upi.205721_3 97.25 0.541806603524459 4 
Online-B.1589 en.ndtv.com.12997_1 32 -1.06888514367865 2 
Online-B.1589 en.ndtv.com.12997_2 55.5 0.209352770371792 2 
Online-B.1589 en.ndtv.com.12997_8 58.5 0.351993116578055 2 
Online-B.1589 newrepublic.com.11841_6 63 0.250551314469929 3 
Online-B.1589 latimes.431856_5 73 -0.068113785558411 2 
Online-B.1589 latimes.431856_6 80 0.199942998058878 2 
Online-B.1589 guardian.260755_2 75 -0.000432559478394989 2 
Online-B.1589 huffingtonpost.com.19390_9 63 -0.316116666630229 2 
Online-B.1589 telegraph.421297_5 75.3333333333333 0.629955908473146 3 
Online-B.1589 rt.com.113876_5 83 0.652755242542404 3 
Online-B.1589 rt.com.113876_6 83.6666666666667 0.683560879632301 3 
Online-B.1589 novinite.com.35568_1 61 -0.39768209621465 3 
Online-B.1589 euronews-en.185674_0 73.6666666666667 0.319529773689188 6 
Online-B.1589 independent.281332_18 73.6666666666667 -0.579767272225764 3 
Online-B.1589 independent.281139_3 70.5 0.107499068479347 2 
Online-B.1589 cnbc.com.33953_1 89 0.56161427145625 3 
Online-B.1589 cnbc.com.33953_6 78 0.0093825124733487 3 
Online-B.1589 independent.281139_0 76 0.373424156724131 2 
Online-B.1589 independent.281139_1 57 -0.508413856949284 2 
Online-B.1589 rt.com.113909_0 80.3333333333333 0.589640133827374 3 
Online-B.1589 euronews-en.185744_3 93 0.486359452216427 2 
Online-B.1589 chicago_defender.80_2 71.25 -0.303120367960653 4 
Online-B.1589 seattle_times.7059_2 79.6666666666667 0.311983357817087 3 
Online-B.1589 novinite.com.35557_5 75.3333333333333 0.0402746662587128 3 
Online-B.1589 brisbanetimes.com.au.225989_3 66.6666666666667 0.039364761619596 3 
Online-B.1589 cnn.385555_5 77.6666666666667 0.509281634549242 6 
Online-B.1589 upi.205721_13 79 -0.403461750019328 2 
Online-B.1589 seattle_times.7803_2 88.6666666666667 0.796189126706741 3 
Online-B.1589 seattle_times.7803_10 86.6666666666667 0.695104037161121 3 
Online-B.1589 rte.en.ie.5343_2 72 -0.0302130574393785 2 
Online-B.1589 rte.en.ie.5343_5 69.5 -0.139288079757592 2 
Online-B.1589 en.ndtv.com.13152_7 71.6666666666667 -0.53822750747631 3 
Online-B.1589 upi.205695_7 91.3333333333333 0.38114087798688 3 
Online-B.1589 cnn.385674_3 77.25 -0.130414639953878 4 
Online-B.1589 cnn.385674_9 61.5 -0.810357987809308 2 
Online-B.1589 allafrica.15342_13 81.3333333333333 0.101164032689237 3 
Online-B.1589 metro.co.uk.12069_8 69.3333333333333 -0.155525547040891 3 
Online-B.1589 reuters.276717_2 61.5 -0.020647685137353 2 
Online-B.1589 huffingtonpost.com.19389_1 55.75 -0.259006782853297 4 
Online-B.1589 huffingtonpost.com.19389_7 55 -0.224863412381652 2 
Online-B.1589 cnbc.com.33995_1 98.5 0.547454187768202 4 
Online-B.1589 cnbc.com.33995_12 94.5 0.304459233878658 4 
Online-B.1589 cnbc.com.33995_3 84.75 -0.291486045853556 4 
Online-B.1589 reuters.276668_5 94.5 0.748822683611914 2 
Online-B.1589 cnn.385556_1 47 -0.238202340284256 1 
Online-B.1589 cnn.385556_12 53 -0.00371275181739197 1 
Online-B.1589 express.co.uk.11102_2 52.3333333333333 -0.450596216238371 3 
Online-B.1589 guardian.260695_12 74.5 0.0841215844468915 2 
Online-B.1589 cnbc.com.33901_5 73 0.584522706372128 2 
Online-B.1589 huffingtonpost.com.19376_3 52 -0.465618161095785 2 
Online-B.1589 cnbc.com.33999_1 80 0.58159907179912 1 
Online-B.1589 cnbc.com.33999_3 96.5 1.06786128029598 2 
Online-B.1589 reuters.276572_11 92.5 0.805899296822695 2 
Online-B.1589 reuters.276709_4 69 0.208821998395831 2 
Online-B.1589 reuters.276709_11 70 0.222571016487703 2 
Online-B.1589 brisbanetimes.com.au.225990_8 87.5 0.834957341963245 2 
Online-B.1589 huffingtonpost.com.19334_0 41 -1.05233722863588 2 
Online-B.1589 huffingtonpost.com.19334_8 81 0.371661365663798 4 
Online-B.1589 telegraph.421295_0 34 -1.16989390315313 1 
Online-B.1589 telegraph.421295_2 64 -0.106515109194824 1 
Online-B.1589 standard.co.uk.14562_12 75 0.283390448589889 1 
Online-B.1589 abcnews.363905_4 39 -1.28826300901946 2 
Online-B.1589 foxnews.100086_8 65 -0.78524908555154 2 
Online-B.1589 foxnews.100086_10 78 0.060440033845612 2 
Online-B.1589 foxnews.100086_12 80 0.170729664214003 2 
Online-B.1589 huffingtonpost.com.19385_12 73.5 0.598772997998392 2 
Online-B.1589 standard.co.uk.14676_10 66.5 0.383419459785907 2 
Online-B.1589 guardian.260697_4 90.5 0.478688121830568 2 
Online-B.1589 foxnews.100073_6 67 -0.509188830653702 2 
Online-B.1589 cnn.385761_10 96 0.780280600400273 2 
Online-B.1589 guardian.260748_7 88.5 0.013117676667397 2 
Online-B.1589 brisbanetimes.com.au.225990_5 65.5 -0.297724727627237 2 
Online-B.1589 euronews-en.185674_11 63.3333333333333 -0.196016841907231 6 
Online-B.1589 euronews-en.185674_3 70.6666666666667 0.112872806871871 3 
Online-B.1589 en.ndtv.com.12997_5 82 1.49738728577415 2 
Online-B.1589 rt.com.113877_2 86.5 0.448852868560646 2 
Online-B.1589 aj-english.8608_3 85.5 0.386824770697347 6 
Online-B.1589 rt.com.113877_1 78.5 0.142502258712316 2 
Online-B.1589 huffingtonpost.com.19390_6 52 -0.958746775695424 2 
Online-B.1589 huffingtonpost.com.19390_0 48.5 -1.16990192158857 4 
Online-B.1589 rt.com.113870_6 62 0.0528795917513815 2 
Online-B.1589 euronews-en.185674_1 52.6666666666667 -0.58433674473629 6 
Online-B.1589 independent.281332_0 68.3333333333333 -0.384278991442744 3 
Online-B.1589 rt.com.113860_5 57.3333333333333 -1.2409795141774 3 
Online-B.1589 independent.281139_5 84 0.735028987433634 2 
Online-B.1589 standard.co.uk.14683_9 95.5 0.580014847632228 2 
Online-B.1589 chicago_defender.80_4 80.25 0.0163205473685745 4 
Online-B.1589 chicago_defender.80_0 84.25 0.167285306532607 4 
Online-B.1589 sky.com.20683_20 84 0.719032668832035 2 
Online-B.1589 brisbanetimes.com.au.225989_7 65.3333333333333 0.0113058849980939 3 
Online-B.1589 seattle_times.7674_4 58.5 -0.646237081470867 2 
Online-B.1589 dailymail.co.uk.365293_17 45.5 -0.501226462148395 2 
Online-B.1589 upi.205724_4 49.5 -1.0118882583033 2 
Online-B.1589 en.ndtv.com.13152_5 77.3333333333333 -0.281660716784364 3 
Online-B.1589 upi.205695_6 88.6666666666667 0.223410575806982 3 
Online-B.1589 upi.205695_10 84 0.0139920342334171 3 
Online-B.1589 abcnews.364001_3 63.3333333333333 -0.961700338002206 6 
Online-B.1589 rte.en.ie.5331_2 98 0.727958497278795 2 
Online-B.1589 rte.en.ie.5331_4 52.5 -1.18649849740062 2 
Online-B.1589 cnn.385674_8 99 0.766537449296995 4 
Online-B.1589 allafrica.15342_7 76 -0.075752540792245 3 
Online-B.1589 nytimes.231903_5 82 0.558447724956857 2 
Online-B.1589 en.ndtv.com.13041_2 75.25 0.305488472320301 4 
Online-B.1589 metro.co.uk.12069_6 90.6666666666667 0.758769229308566 3 
Online-B.1589 metro.co.uk.12069_10 85 0.524769069930996 6 
Online-B.1589 seattle_times.7807_2 75.3333333333333 0.409193727927277 3 
Online-B.1589 huffingtonpost.com.19389_5 32.5 -1.49432902957647 2 
Online-B.1589 huffingtonpost.com.19389_6 61 0.036154479089721 2 
Online-B.1589 rt.com.113881_11 60 -0.987285551856286 2 
Online-B.1589 huffingtonpost.com.19347_8 97 0.693075631737176 2 
Online-B.1589 huffingtonpost.com.19347_14 97 0.670985412416401 2 
Online-B.1589 reuters.276668_3 67 -0.537558413804063 4 
Online-B.1589 sciencedaily.com.75572_6 71 0.507896188118624 2 
Online-B.1589 sciencedaily.com.75572_11 79 0.985689832627016 2 
Online-B.1589 dailymail.co.uk.365204_1 74.5 0.70706947683185 4 
Online-B.1589 dailymail.co.uk.365204_5 75 0.771446587270805 4 
Online-B.1589 express.co.uk.11102_3 39.6666666666667 -1.13835465307408 3 
Online-B.1589 guardian.260695_8 51 -0.75667891948152 2 
Online-B.1589 guardian.260695_10 60.5 -0.427734740269961 2 
Online-B.1589 guardian.260695_19 82 0.696068619195757 2 
Online-B.1589 guardian.260695_22 78.5 0.520685695097125 2 
Online-B.1589 seattle_times.7043_0 49.5 -0.338804272842212 2 
Online-B.1589 seattle_times.7452_0 54.5 -0.635017405900182 2 
Online-B.1589 rt.com.113906_3 86.5 1.02028001456566 2 
Online-B.1589 en.ndtv.com.13090_3 56.5 0.538353697937642 2 
Online-B.1589 huffingtonpost.com.19376_8 66 0.297125327764675 2 
Online-B.1589 huffingtonpost.com.19376_10 45 -0.80427428469748 2 
Online-B.1589 cnbc.com.33999_2 64.5 0.12480730018086 2 
Online-B.1589 reuters.276572_6 60 -0.181317222636754 2 
Online-B.1589 stv.tv.21636_9 78.75 0.513255727020414 4 
Online-B.1589 stv.tv.21636_1 75 0.372325725918056 2 
Online-B.1589 seattle_times.7755_1 85.5 0.702063184854673 2 
Online-B.1589 brisbanetimes.com.au.225990_1 54.5 -0.822664052643551 2 
Online-B.1589 telegraph.421295_5 72.5 0.194775549093364 2 
Online-B.1589 telegraph.421295_6 85 0.637850046575991 1 
Online-B.1589 foxnews.100086_0 62.75 -0.565275920156387 4 
Online-B.1589 foxnews.100086_4 77.5 0.070153724727953 2 
Online-B.1589 foxnews.100086_5 74.5 -0.088501430192918 2 
Online-B.1589 huffingtonpost.com.19385_7 47.5 -0.201237359891363 2 
Online-B.1589 standard.co.uk.14676_15 58 0.121918734813603 2 
Online-B.1589 upi.205721_7 98 0.577690732858898 2 
Online-B.1589 upi.205721_8 99 0.606565745724358 2 
Online-B.1589 foxnews.100073_9 83.5 0.182594751379815 2 
Online-B.1589 cnn.385761_4 98 0.866929893883596 2 
Online-B.1589 guardian.260748_5 73.5 -0.56631422228759 2 
Online-B.1589 standard.co.uk.14562_5 45 -0.779988345368418 1 
Online-B.1589 cnn.385555_1 68 0.101183285167391 3 
Online-B.1589 reuters.276541_0 84 0.202514119606216 2 
Online-B.1589 standard.co.uk.14676_12 32.5 -0.663505880935715 2 
Online-B.1589 cbsnews.302172_6 73.5 0.284522293598341 2 
Online-B.1589 en.ndtv.com.12997_9 53 0.0447285253056292 2 
Online-B.1589 latimes.431856_12 78 0.096636066450596 2 
Online-B.1589 aj-english.8608_0 69 -0.546216369978991 3 
Online-B.1589 huffingtonpost.com.19390_2 75.5 0.300552021612953 2 
Online-B.1589 huffingtonpost.com.19390_8 65 -0.172547111128751 2 
Online-B.1589 telegraph.421297_8 70.6666666666667 0.432838114612022 3 
Online-B.1589 upi.205735_4 78.6666666666667 0.586009676576359 3 
Online-B.1589 foxnews.100091_4 84.6666666666667 0.16120011064212 6 
Online-B.1589 gateway-zh.135_0 45.1666666666667 -0.212658796360252 6 
