SYS SID RAW.SCR Z.SCR N 
PROMT_NMT.73 en.ndtv.com.12997_0 39 -1.69579845320916 2 
PROMT_NMT.73 huffingtonpost.com.19334_7 71.5 -0.165324849058597 2 
PROMT_NMT.73 huffingtonpost.com.19334_10 71 -0.136429818401059 2 
PROMT_NMT.73 independent.281332_21 89 0.941075317050445 2 
PROMT_NMT.73 huffingtonpost.com.19347_3 33.3333333333333 -0.929335610040366 3 
PROMT_NMT.73 scotsman.155294_4 100 0.870942923518636 2 
PROMT_NMT.73 seattle_times.7059_8 72 0.0559673912005299 2 
PROMT_NMT.73 seattle_times.7059_12 81.5 0.37494023150258 2 
PROMT_NMT.73 seattle_times.7059_11 96.5 0.847550864699911 2 
PROMT_NMT.73 telegraph.421295_7 70.5 0.233022014456576 2 
PROMT_NMT.73 metro.co.uk.12069_2 84 0.230690852954364 4 
PROMT_NMT.73 metro.co.uk.12069_5 93.5 0.696164926048493 2 
PROMT_NMT.73 euronews-en.185708_10 97.5 0.412502938377557 2 
PROMT_NMT.73 standard.co.uk.14676_13 95 0.477980465374099 1 
PROMT_NMT.73 standard.co.uk.14676_15 97 0.543502119297896 1 
PROMT_NMT.73 en.ndtv.com.13041_4 93.5 0.457118663792703 2 
PROMT_NMT.73 en.ndtv.com.13041_5 96.5 0.564214016496968 2 
PROMT_NMT.73 en.ndtv.com.13041_6 96 0.546364791046258 1 
PROMT_NMT.73 en.ndtv.com.13041_8 96 0.546364791046258 1 
PROMT_NMT.73 huffingtonpost.com.19368_5 57.5 -0.437701380299745 2 
PROMT_NMT.73 huffingtonpost.com.19334_9 48 -1.28136855697528 2 
PROMT_NMT.73 independent.281332_13 91.25 1.03420306670436 4 
PROMT_NMT.73 seattle_times.7141_4 73.5 -0.054266689755873 2 
PROMT_NMT.73 huffingtonpost.com.19347_0 48.3333333333333 -0.36900655466451 3 
PROMT_NMT.73 huffingtonpost.com.19347_13 79 0.736555896799931 3 
PROMT_NMT.73 abcnews.364001_3 46 -0.319234172185855 2 
PROMT_NMT.73 scotsman.155294_6 96.5 0.747691552347133 2 
PROMT_NMT.73 en.ndtv.com.12997_8 48 -1.05690104637541 2 
PROMT_NMT.73 en.ndtv.com.13004_3 86 0.496002926060993 2 
PROMT_NMT.73 seattle_times.7803_10 90.3333333333333 0.304462877935644 3 
