SYS SID RAW.SCR Z.SCR N 
Tilde.1430 thesun.co.uk.27296_4 53 -0.88479941791037 4 
Tilde.1430 cnbc.com.33996_7 62 -0.27436776444836 3 
Tilde.1430 en.ndtv.com.13009_10 78.5 0.505231304488321 4 
Tilde.1430 thesun.co.uk.27296_7 85 0.732305910390635 4 
Tilde.1430 en.ndtv.com.13155_8 54 -0.228650933401835 3 
Tilde.1430 seattle_times.7024_5 57.75 -0.158874486315532 4 
Tilde.1430 seattle_times.7024_1 39 -0.839407080197271 2 
Tilde.1430 seattle_times.7024_15 76.75 0.826570656010334 4 
Tilde.1430 reuters.276576_2 67.5 0.415029461595216 2 
Tilde.1430 en.ndtv.com.12997_0 75 -0.165462794232852 2 
Tilde.1430 scotsman.155284_0 83 0.679021141010337 2 
Tilde.1430 scotsman.155284_9 97.5 1.17376107405342 2 
Tilde.1430 scotsman.155284_19 90.5 0.938687105511403 2 
Tilde.1430 en.ndtv.com.13009_5 79.5 0.542411011166802 2 
Tilde.1430 en.ndtv.com.13009_12 85 0.728503064634955 4 
Tilde.1430 thesun.co.uk.27296_5 77 0.37010323255542 2 
Tilde.1430 en.ndtv.com.13155_12 54 -0.213109377123122 3 
Tilde.1430 en.ndtv.com.13155_19 49.6666666666667 -0.323135630984527 3 
Tilde.1430 en.ndtv.com.13155_5 56 -0.180558051944862 5 
Tilde.1430 seattle_times.7024_10 64.25 0.179242331017805 4 
Tilde.1430 seattle_times.7024_13 66.75 0.259222236364739 4 
Tilde.1430 cnbc.com.33996_1 67.3333333333333 0.153692358620008 3 
Tilde.1430 cnbc.com.33996_8 75.6666666666667 0.617642915024201 3 
Tilde.1430 thesun.co.uk.27296_6 86 0.782331496405202 2 
Tilde.1430 en.ndtv.com.13155_18 42.6666666666667 -0.652480074425229 3 
Tilde.1430 en.ndtv.com.13155_10 57.2 -0.080632686530533 5 
Tilde.1430 en.ndtv.com.13155_1 62.4 0.0952247947724296 5 
Tilde.1430 seattle_times.7024_6 40.5 -0.720417829662942 2 
Tilde.1430 allafrica.15310_12 72.3333333333333 0.492970122176604 3 
Tilde.1430 reuters.276576_1 69 0.490534096824773 2 
Tilde.1430 reuters.276576_19 62.5 0.181904236921676 2 
Tilde.1430 en.ndtv.com.12997_8 85.5 0.408994526819739 4 
Tilde.1430 news.com.au.759149_13 68.5 -0.242120731718628 2 
Tilde.1430 scotsman.155284_12 57 -0.194186479992388 2 
Tilde.1430 abcnews.364002_3 39.3333333333333 -1.0292222604723 3 
Tilde.1430 abcnews.364002_6 76 0.667942951791539 3 
Tilde.1430 guardian.260694_16 98 0.609089875345895 2 
Tilde.1430 en.ndtv.com.12997_15 76.5 0.112819577925296 4 
Tilde.1430 abcnews.363893_3 59.3333333333333 -0.293840495452519 3 
Tilde.1430 cnbc.com.33996_2 57 -0.380269659673189 3 
Tilde.1430 en.ndtv.com.13155_17 57.2 -0.0137073782679576 5 
Tilde.1430 seattle_times.7024_4 45.25 -0.537258465375604 4 
Tilde.1430 allafrica.15310_2 77.3333333333333 0.674162520434002 3 
Tilde.1430 reuters.276576_9 73 0.710436683528574 2 
Tilde.1430 reuters.276576_15 74 0.758917417739114 2 
Tilde.1430 abcnews.364002_5 72 0.458859154668631 3 
Tilde.1430 guardian.260694_5 97.5 0.591972385345076 2 
Tilde.1430 guardian.260694_7 88 0.26674007532953 2 
Tilde.1430 guardian.260694_21 87.5 0.249622585328712 2 
Tilde.1430 guardian.260694_22 76.5 -0.143923518724071 2 
Tilde.1430 en.ndtv.com.12997_23 93 0.643189353013428 2 
Tilde.1430 en.ndtv.com.12997_11 85 0.370309298464706 2 
Tilde.1430 news.com.au.759149_3 72.5 -0.075880769373724 2 
Tilde.1430 news.com.au.759149_18 87.5 0.334120310807866 2 
Tilde.1430 news.com.au.759149_24 100 0.750754314822817 2 
Tilde.1430 news.com.au.759149_8 100 0.750754314822817 2 
Tilde.1430 scotsman.155284_4 75 0.405366479082715 2 
Tilde.1430 scotsman.155284_5 66 0.100023267815607 2 
Tilde.1430 en.ndtv.com.13009_6 61.75 -0.874844501723297 4 
Tilde.1430 thesun.co.uk.27296_3 65.75 -0.12075223350453 4 
Tilde.1430 thesun.co.uk.27296_15 86.5 0.793772142883442 2 
Tilde.1430 en.ndtv.com.13155_11 60.8 0.114187684216681 5 
Tilde.1430 seattle_times.7024_0 66.75 0.286116670957984 4 
Tilde.1430 seattle_times.7024_3 66.5 0.212496260015771 2 
Tilde.1430 allafrica.15310_6 64.3333333333333 0.195823516066846 3 
Tilde.1430 reuters.276576_17 74 0.757061728463281 2 
Tilde.1430 guardian.260694_13 99 0.643324855347531 2 
Tilde.1430 en.ndtv.com.12997_5 98 0.835369612052118 4 
Tilde.1430 en.ndtv.com.12997_13 80.5 0.216814267781049 2 
Tilde.1430 en.ndtv.com.12997_6 77.75 0.123011749029925 4 
Tilde.1430 news.com.au.759149_12 100 0.750754314822817 2 
Tilde.1430 en.ndtv.com.13009_0 56.5 -0.864612240343001 2 
Tilde.1430 en.ndtv.com.13009_3 77.5 0.418994709107196 2 
Tilde.1430 thesun.co.uk.27296_17 83 0.626825879749883 2 
Tilde.1430 en.ndtv.com.13155_6 51.25 -0.293046639235154 4 
Tilde.1430 abcnews.364002_7 59.3333333333333 -0.0684857731728117 3 
Tilde.1430 guardian.260694_6 97.5 0.591972385345076 2 
Tilde.1430 en.ndtv.com.12997_9 87 0.438529312101886 2 
Tilde.1430 news.com.au.759149_2 81.5 0.16228247848282 2 
Tilde.1430 news.com.au.759149_0 99.5 0.735724586019243 2 
Tilde.1430 seattle_times.7024_14 69.25 0.624283148400077 4 
Tilde.1430 seattle_times.7024_11 64.75 0.116706563074913 4 
Tilde.1430 reuters.276576_18 76 0.852167507608528 2 
Tilde.1430 abcnews.364002_1 56 -0.120105280737776 3 
Tilde.1430 guardian.260694_8 98 0.609089875345895 2 
Tilde.1430 guardian.260694_25 82 0.061330195319712 2 
Tilde.1430 en.ndtv.com.12997_3 71.5 -0.349738492935136 4 
Tilde.1430 abcnews.363893_1 74.6666666666667 0.204974319180656 3 
Tilde.1430 news.com.au.759149_17 99.5 0.735724586019243 2 
Tilde.1430 news.com.au.759149_23 100 0.750754314822817 2 
Tilde.1430 scotsman.155284_17 89 0.887178044552488 2 
Tilde.1430 scotsman.155284_18 86 0.780448768148291 2 
Tilde.1430 en.ndtv.com.13009_11 85.25 0.765392491199812 4 
Tilde.1430 thesun.co.uk.27296_12 61 -0.473737012570596 2 
Tilde.1430 thesun.co.uk.27296_1 83.5 0.670839677897828 4 
Tilde.1430 en.ndtv.com.13155_9 72.2 0.536254879458544 5 
Tilde.1430 seattle_times.7024_7 49.5 -0.361488863087813 2 
Tilde.1430 seattle_times.7024_2 72.25 0.614832851210874 4 
Tilde.1430 seattle_times.7024_12 82 1.1677286160194 4 
Tilde.1430 allafrica.15310_1 64.6666666666667 0.176814149419022 3 
Tilde.1430 allafrica.15310_8 88.6666666666667 1.03562119416838 3 
Tilde.1430 abcnews.364002_8 34 -1.11509792149167 3 
Tilde.1430 reuters.276576_10 64 0.255553182875402 2 
Tilde.1430 guardian.260694_12 91 0.36944501533444 2 
Tilde.1430 guardian.260694_14 99.5 0.660442345348349 2 
Tilde.1430 abcnews.363893_0 74.6666666666667 0.196535248068761 3 
Tilde.1430 abcnews.363893_5 78.6666666666667 0.326947367406055 3 
Tilde.1430 en.ndtv.com.12997_22 99.5 0.886534622280003 2 
Tilde.1430 news.com.au.759149_19 99.5 0.735724586019243 2 
Tilde.1430 news.com.au.759149_22 99.5 0.735724586019243 2 
Tilde.1430 guardian.260694_2 99 0.643324855347531 2 
Tilde.1430 cnbc.com.33996_5 57.6666666666667 -0.437307718087257 3 
Tilde.1430 en.ndtv.com.13009_7 77.75 0.271920803037139 4 
Tilde.1430 en.ndtv.com.13009_8 72.5 0.171775064836487 4 
Tilde.1430 thesun.co.uk.27296_9 86.5 0.804629860106677 2 
Tilde.1430 thesun.co.uk.27296_10 85 0.737734769002252 2 
Tilde.1430 en.ndtv.com.13155_3 53.4 -0.2489849137628 5 
Tilde.1430 reuters.276576_0 50 -0.491837599277923 2 
Tilde.1430 guardian.260694_18 100 0.677559835349168 2 
Tilde.1430 guardian.260694_23 88 0.26674007532953 2 
Tilde.1430 en.ndtv.com.12997_2 89 0.485119100793327 4 
Tilde.1430 en.ndtv.com.12997_12 79.5 0.13944381107098 4 
Tilde.1430 en.ndtv.com.12997_14 70.5 -0.124285800404855 2 
Tilde.1430 news.com.au.759149_11 93 0.516485154282847 2 
Tilde.1430 scotsman.155284_13 93 1.02294504566305 2 
Tilde.1430 scotsman.155284_16 76 0.441826512761821 2 
Tilde.1430 cnbc.com.33996_6 59.6666666666667 -0.161714419404321 3 
Tilde.1430 thesun.co.uk.27296_8 76 0.32550650515247 2 
Tilde.1430 thesun.co.uk.27296_16 86.5 0.804629860106677 2 
Tilde.1430 thesun.co.uk.27296_0 68.75 0.007609090092702 4 
Tilde.1430 en.ndtv.com.13155_16 65.4 0.304775645184426 5 
Tilde.1430 allafrica.15310_4 82.6666666666667 0.853779177796927 3 
Tilde.1430 allafrica.15310_7 62.3333333333333 0.118516795894947 3 
Tilde.1430 reuters.276576_6 55.5 -0.17972917386208 2 
Tilde.1430 reuters.276576_5 63 0.192226934458209 2 
Tilde.1430 reuters.276576_20 73.5 0.730037827444264 2 
Tilde.1430 en.ndtv.com.12997_16 79.5 0.182704260962458 2 
Tilde.1430 news.com.au.759149_5 90 0.417787868143569 2 
Tilde.1430 news.com.au.759149_14 86 0.329921908322759 2 
Tilde.1430 scotsman.155284_6 53.5 -0.31914577323614 2 
