SYS SID RAW.SCR Z.SCR N 
zlabs-nlp.169 rt.com.113905_11 57.75 -0.931040492955462 4 
zlabs-nlp.169 rte.en.ie.5281_0 76.5 -1.04660969716791 2 
zlabs-nlp.169 rte.en.ie.5281_8 94 0.287600456161177 2 
zlabs-nlp.169 independent.280913_3 70.5 -1.4531917317367 2 
zlabs-nlp.169 reuters.276576_17 95 0.480756900926469 2 
zlabs-nlp.169 allafrica.15224_8 93.3333333333333 0.516971215742019 3 
zlabs-nlp.169 scotsman.155321_15 86 0.823210905966052 3 
zlabs-nlp.169 scotsman.155321_19 61.6666666666667 -0.425995154460357 3 
zlabs-nlp.169 scotsman.155321_7 61.8 -0.943894043212595 5 
zlabs-nlp.169 allafrica.15186_7 98.6666666666667 0.69131064410996 3 
zlabs-nlp.169 brisbanetimes.com.au.225973_7 74.4 -0.0486681113823408 5 
zlabs-nlp.169 brisbanetimes.com.au.225973_15 91.3333333333333 0.742902641995403 3 
zlabs-nlp.169 guardian.260797_7 84.2 0.367560910929725 5 
zlabs-nlp.169 guardian.260797_11 81.6666666666667 0.155586407294669 6 
zlabs-nlp.169 guardian.260797_8 88.8 0.685924143595858 5 
zlabs-nlp.169 guardian.260797_9 76 -0.209086003589949 6 
zlabs-nlp.169 news.com.au.759106_13 77.5 -0.103369607146866 2 
zlabs-nlp.169 news.com.au.759106_17 83 0.221327319588173 2 
zlabs-nlp.169 allafrica.15218_15 71.75 -0.14104537097857 4 
zlabs-nlp.169 allafrica.15218_18 66 -0.380007100780942 4 
zlabs-nlp.169 allafrica.15310_4 87.5 0.828700544819828 2 
zlabs-nlp.169 cnbc.com.33934_4 51 -0.632085037708716 3 
zlabs-nlp.169 standard.co.uk.14568_1 61.5 -0.257951466701771 2 
zlabs-nlp.169 standard.co.uk.14568_14 75.5 0.585061735534149 2 
zlabs-nlp.169 cnbc.com.33896_11 75.75 0.00590008108098851 4 
zlabs-nlp.169 standard.co.uk.14514_9 38.6666666666667 -1.0023873027477 3 
zlabs-nlp.169 cnbc.com.33896_4 52.75 -0.901246763037928 4 
zlabs-nlp.169 cnbc.com.33896_10 74 -0.053124190373997 4 
zlabs-nlp.169 stv.tv.21635_2 70 -0.234156678288014 3 
zlabs-nlp.169 stv.tv.21635_9 76 0.046684405563907 3 
zlabs-nlp.169 guardian.260694_11 56.5 -0.52650900681855 2 
zlabs-nlp.169 guardian.260694_25 74.5 0.420466244523716 2 
zlabs-nlp.169 stv.tv.21635_5 68.3333333333333 -0.210993832262729 3 
zlabs-nlp.169 guardian.260694_15 87 0.990182087237451 2 
zlabs-nlp.169 huffingtonpost.com.19299_18 67.5 -0.0815716951349648 2 
zlabs-nlp.169 huffingtonpost.com.19299_21 56 -0.854751392692934 2 
zlabs-nlp.169 huffingtonpost.com.19299_22 73.5 -0.167222637097608 2 
zlabs-nlp.169 rt.com.113905_5 91 0.482064693161647 2 
zlabs-nlp.169 aj-english.8627_15 75.5 -0.211154977803735 2 
zlabs-nlp.169 seattle_times.7019_4 97 0.55195676617006 2 
zlabs-nlp.169 rte.en.ie.5281_25 72 -1.33921000131987 2 
zlabs-nlp.169 rte.en.ie.5293_3 97.5 0.626169810078479 2 
zlabs-nlp.169 huffingtonpost.com.19379_1 80.8 -0.374814887558564 5 
zlabs-nlp.169 huffingtonpost.com.19379_7 90.8 0.185215201477968 5 
zlabs-nlp.169 scotsman.155321_23 55.6666666666667 -0.731306887942814 3 
zlabs-nlp.169 scotsman.155321_13 80.8 0.446569452587039 5 
zlabs-nlp.169 allafrica.15186_4 97.6 0.604714157244503 5 
zlabs-nlp.169 brisbanetimes.com.au.225973_3 82 0.236275786281346 3 
zlabs-nlp.169 brisbanetimes.com.au.225973_10 64.3333333333333 -0.238834396912334 3 
zlabs-nlp.169 brisbanetimes.com.au.225973_18 65.3333333333333 -0.269364382737077 3 
zlabs-nlp.169 brisbanetimes.com.au.225973_5 72.6 -0.308285896663278 5 
zlabs-nlp.169 foxnews.100074_9 91 0.503074073606156 3 
zlabs-nlp.169 dailymail.co.uk.365144_4 97.5 0.707242435800012 4 
zlabs-nlp.169 dailymail.co.uk.365144_9 98.3333333333333 0.798678620001567 3 
zlabs-nlp.169 guardian.260797_0 85.2 0.446124169695068 5 
zlabs-nlp.169 guardian.260797_21 82.3333333333333 0.169269751003407 3 
zlabs-nlp.169 rte.en.ie.5312_13 63 -0.928964330934522 2 
zlabs-nlp.169 news.com.au.759106_1 65 -0.808576268202855 2 
zlabs-nlp.169 news.com.au.759106_14 72 -0.373797371356413 2 
zlabs-nlp.169 allafrica.15229_5 92.5 0.887281360062137 2 
zlabs-nlp.169 allafrica.15229_8 91.5 0.824954084524469 2 
zlabs-nlp.169 allafrica.15229_9 88 0.584823682919424 2 
zlabs-nlp.169 allafrica.15274_1 78.5 0.10013003215225 2 
zlabs-nlp.169 allafrica.15274_9 92 0.985953897559515 2 
zlabs-nlp.169 allafrica.15310_3 86.5 0.788866604550023 2 
zlabs-nlp.169 allafrica.15310_11 83 0.680853862336455 2 
zlabs-nlp.169 allafrica.15310_12 75.5 0.350693261582188 2 
zlabs-nlp.169 cnbc.com.33934_2 57.5 -0.199317489710989 4 
zlabs-nlp.169 standard.co.uk.14568_4 73 0.3657350835567 2 
zlabs-nlp.169 cnbc.com.33896_6 87.75 0.651536615932111 4 
zlabs-nlp.169 cnbc.com.33896_5 84 0.382706818115965 2 
zlabs-nlp.169 guardian.260694_12 66.5 -0.11889345573677 2 
zlabs-nlp.169 stv.tv.21635_4 76.6666666666667 0.122114026397905 3 
zlabs-nlp.169 huffingtonpost.com.19299_4 56 -0.579567832183173 2 
zlabs-nlp.169 allafrica.15247_7 88 0.365625803595808 2 
zlabs-nlp.169 aj-english.8627_0 64 -0.685384416380767 2 
zlabs-nlp.169 aj-english.8627_4 95.5 0.68605575563323 2 
zlabs-nlp.169 aj-english.8627_5 68 -0.478164447593889 2 
zlabs-nlp.169 aj-english.8627_6 73.5 -0.282985250473189 2 
zlabs-nlp.169 rt.com.113905_0 85.75 0.255845383879609 4 
zlabs-nlp.169 rte.en.ie.5281_1 94 0.287600456161177 2 
zlabs-nlp.169 rte.en.ie.5281_24 99.5 0.727710479379734 2 
zlabs-nlp.169 scotsman.155321_10 73.6 -0.117062757625489 5 
zlabs-nlp.169 brisbanetimes.com.au.225973_4 75.3333333333333 0.0928710069199317 3 
zlabs-nlp.169 brisbanetimes.com.au.225973_12 73.8 -0.0856356642412981 5 
