SYS SID RAW.SCR Z.SCR N 
Online-B.1597 scotsman.155294_0 51 -0.6359727889644 3 
Online-B.1597 rt.com.113909_6 75.75 0.586993278453188 4 
Online-B.1597 kcal.270_3 80 0.493032403875771 3 
Online-B.1597 seattle_times.7043_8 44 -0.490589200773155 2 
Online-B.1597 cnn.385555_3 63 -0.0709110645878847 3 
Online-B.1597 dailymail.co.uk.365293_11 50.5 -0.334822755668718 4 
Online-B.1597 dailymail.co.uk.365293_5 69.25 0.441134012491713 4 
Online-B.1597 seattle_times.7452_6 75 0.875875357155853 1 
Online-B.1597 allafrica.15342_10 90.5 0.623723523592914 2 
Online-B.1597 abcnews.363994_0 66 0.109275797362807 2 
Online-B.1597 upi.205721_3 72 0.438353580761194 2 
Online-B.1597 upi.205695_5 65 0.236617802271004 1 
Online-B.1597 nytimes.231903_1 69 0.168695251302898 3 
Online-B.1597 nytimes.231903_5 76.6666666666667 0.430648483193119 3 
Online-B.1597 cnn.385761_12 64 0.112756839502963 6 
Online-B.1597 abcnews.364021_2 71 0.39869131623239 3 
Online-B.1597 foxnews.100073_7 69 0.782109447743057 2 
Online-B.1597 guardian.260810_3 83.6 0.668146403786498 5 
Online-B.1597 aj-english.8643_3 73.5 0.415680053963958 2 
Online-B.1597 dailymail.co.uk.365204_11 76.6666666666667 0.42478143385523 3 
Online-B.1597 dailymail.co.uk.365204_5 83 0.675566570773715 3 
Online-B.1597 rt.com.113881_4 63.75 -0.273306028124671 4 
Online-B.1597 rt.com.113881_12 67.5 -0.184977065116641 2 
Online-B.1597 rt.com.113881_11 63 -0.290129563518567 2 
Online-B.1597 stv.tv.21636_9 61.5 0.0383957165349756 2 
Online-B.1597 sky.com.20667_3 74.5 0.164607357904712 2 
Online-B.1597 standard.co.uk.14562_7 59 0.100323187502224 2 
Online-B.1597 telegraph.421297_5 82 0.447708891526469 2 
Online-B.1597 seattle_times.7043_6 65 0.386567553748538 4 
Online-B.1597 seattle_times.7043_11 54 -0.0780930495667755 2 
Online-B.1597 seattle_times.7111_10 64.5 0.108948174190372 2 
Online-B.1597 rt.com.113877_2 74.3333333333333 0.501680295190537 3 
Online-B.1597 newrepublic.com.11841_2 70.7142857142857 0.221233351580565 7 
Online-B.1597 euronews-en.185708_4 80 0.295218885696018 4 
Online-B.1597 euronews-en.185708_2 80.25 0.298044476062365 4 
Online-B.1597 independent.281332_14 63 -0.115172352507499 3 
Online-B.1597 independent.281332_6 72 0.2659534577751 3 
Online-B.1597 sky.com.20683_14 87.6666666666667 0.383163847357139 3 
Online-B.1597 gateway-zh.135_4 82 0.154538906509939 2 
Online-B.1597 gateway-zh.135_6 77.5 0.00999551586889899 2 
Online-B.1597 foxnews.100086_10 91.6666666666667 0.580256213608795 3 
Online-B.1597 latimes.431856_2 93 0.595276508334042 2 
