SYS SID RAW.SCR Z.SCR N 
OPPO.191 1627 27 -3.1850512101073 1 
OPPO.191 2945 72 -0.798251802033553 1 
OPPO.191 1615 82.5 -0.241331940149679 2 
OPPO.191 363 71 -0.851291788879639 2 
OPPO.191 2632 92 0.262547934888112 1 
OPPO.191 331 76 -0.58609185464922 1 
OPPO.191 675 99 0.633827842810695 2 
OPPO.191 69 99 0.633827842810695 1 
OPPO.191 586 74 -0.692171828341386 1 
OPPO.191 167 96 0.474707882272445 1 
OPPO.191 131 92 0.262547934888112 1 
OPPO.191 2439 96 0.547668088291551 1 
OPPO.191 2662 95 0.444139149106002 1 
OPPO.191 2091 88 -0.280563425192835 1 
OPPO.191 245 63 -0.384620587767433 1 
OPPO.191 372 90 0.874901045916094 1 
OPPO.191 1858 48 -1.08435482870273 1 
OPPO.191 1453 87 0.734954197729036 1 
OPPO.191 63 99 1.29474159047727 1 
OPPO.191 1567 34 -1.73744012024233 1 
OPPO.191 344 99 1.29474159047727 1 
OPPO.191 1821 65 -0.29132268897606 1 
OPPO.191 2843 80 0.695814080790568 1 
OPPO.191 1750 51 -0.701596469273594 2 
OPPO.191 2033 65.5 -0.0028911942415122 2 
OPPO.191 529 41 -1.18346217619227 1 
OPPO.191 2705 93 0.834748165813185 1 
OPPO.191 105 74 -0.385580976224777 1 
OPPO.191 2048 74 -0.385580976224777 1 
OPPO.191 2036 74 -0.385580976224777 1 
OPPO.191 1813 76 -0.257125277062886 1 
OPPO.191 2443 75 -0.321353126643832 1 
OPPO.191 991 77 -0.192897427481941 1 
OPPO.191 2323 75 -0.321353126643832 1 
OPPO.191 1192 83 0.537702933069925 1 
OPPO.191 1065 2 -1.61310879920978 1 
OPPO.191 1962 3 -1.58655556794706 1 
OPPO.191 1231 74 0.298723851705514 2 
OPPO.191 1510 100 0.989107864536035 1 
OPPO.191 832 100 0.989107864536035 1 
OPPO.191 2267 66 0.0862980016038152 1 
OPPO.191 1336 50 -0.338553698599583 1 
OPPO.191 2008 100 0.69649932960127 1 
OPPO.191 2473 81 -0.221855095272022 1 
OPPO.191 1191 79 -0.318523982100789 1 
OPPO.191 2071 100 0.69649932960127 1 
OPPO.191 2459 99 0.648164886186886 1 
OPPO.191 999 99 0.648164886186886 1 
OPPO.191 1165 94 0.406492669114967 1 
OPPO.191 1590 79 -0.318523982100789 1 
OPPO.191 44 79 -0.318523982100789 1 
OPPO.191 1735 67.5 -0.564651522107087 2 
OPPO.191 2651 69 -0.491732984732303 2 
OPPO.191 1597 81.5 0.122369618024125 2 
OPPO.191 1072 88 0.442725459792161 2 
OPPO.191 192 90.5 0.573007381704732 2 
OPPO.191 2009 64 0.00773944776460393 1 
OPPO.191 862 24.5 -1.12451309557559 2 
OPPO.191 1845 35 -0.823534571396549 1 
OPPO.191 2660 24 -1.13884540625078 1 
OPPO.191 872 17 -1.33949775570347 1 
OPPO.191 2191 4 -1.71213783325847 1 
OPPO.191 1313 80 0.466373389370757 1 
OPPO.191 347 22 -1.19617464895155 1 
