SYS SID RAW.SCR Z.SCR N 
NICT_Kyoto.1230 442 75.5 -0.235588985802392 2 
NICT_Kyoto.1230 443 72 -0.680185185749752 2 
NICT_Kyoto.1230 448 81 0.463062185543459 2 
NICT_Kyoto.1230 450 69.5 -0.997753899997867 2 
NICT_Kyoto.1230 451 78.5 0.145493471295345 2 
NICT_Kyoto.1230 453 70.5 -0.87072641429862 2 
NICT_Kyoto.1230 457 86 1.09819961403969 2 
NICT_Kyoto.1230 458 93.5 2.05090575678403 2 
NICT_Kyoto.1230 461 73 -0.553157700050506 2 
NICT_Kyoto.1230 444 79 0.209007214144968 1 
NICT_Kyoto.1230 445 86 1.09819961403969 1 
NICT_Kyoto.1230 446 73 -0.553157700050506 1 
NICT_Kyoto.1230 447 74 -0.42613021435126 1 
NICT_Kyoto.1230 449 82 0.590089671242705 1 
NICT_Kyoto.1230 452 74 -0.42613021435126 1 
NICT_Kyoto.1230 454 82 0.590089671242705 1 
NICT_Kyoto.1230 455 83 0.71711715694195 1 
NICT_Kyoto.1230 456 82 0.590089671242705 1 
NICT_Kyoto.1230 459 78 0.0819797284457221 1 
NICT_Kyoto.1230 460 86 1.09819961403969 1 
NICT_Kyoto.1230 462 86 1.09819961403969 1 
NICT_Kyoto.1230 463 59 -2.33154249983995 1 
NICT_Kyoto.1230 400 77 -0.0450477572535235 1 
NICT_Kyoto.1230 401 87 1.22522709973893 1 
NICT_Kyoto.1230 402 85 0.971172128340442 1 
NICT_Kyoto.1230 403 86 1.09819961403969 1 
NICT_Kyoto.1230 404 70 -0.934240157148243 1 
NICT_Kyoto.1230 405 83 0.71711715694195 1 
NICT_Kyoto.1230 406 87 1.22522709973893 1 
NICT_Kyoto.1230 407 74 -0.42613021435126 1 
NICT_Kyoto.1230 408 85 0.971172128340442 1 
NICT_Kyoto.1230 409 88 1.35225458543818 1 
NICT_Kyoto.1230 410 80 0.336034699844213 1 
NICT_Kyoto.1230 411 71 -0.807212671448997 1 
NICT_Kyoto.1230 412 77 -0.0450477572535235 1 
NICT_Kyoto.1230 413 83 0.71711715694195 1 
NICT_Kyoto.1230 414 80 0.336034699844213 1 
NICT_Kyoto.1230 415 77 -0.0450477572535235 1 
NICT_Kyoto.1230 416 80 0.336034699844213 1 
NICT_Kyoto.1230 417 82 0.590089671242705 1 
NICT_Kyoto.1230 418 76 -0.172075242952769 1 
NICT_Kyoto.1230 541 67 -1.31532261424598 1 
NICT_Kyoto.1230 542 74 -0.42613021435126 1 
NICT_Kyoto.1230 543 81 0.463062185543459 1 
NICT_Kyoto.1230 544 79 0.209007214144968 1 
NICT_Kyoto.1230 545 76 -0.172075242952769 1 
NICT_Kyoto.1230 546 76 -0.172075242952769 1 
NICT_Kyoto.1230 547 87.5 1.28874084258855 2 
NICT_Kyoto.1230 548 76 -0.172075242952769 1 
NICT_Kyoto.1230 549 84.5 0.90765838549082 2 
NICT_Kyoto.1230 550 89 1.47928207113743 2 
NICT_Kyoto.1230 551 80 0.336034699844214 2 
NICT_Kyoto.1230 464 80.25 0.22589121157588 4 
NICT_Kyoto.1230 465 64.5 -0.35192557774814 2 
NICT_Kyoto.1230 466 65.5 -0.439457453707636 2 
NICT_Kyoto.1230 467 92.75 0.94503217076684 4 
NICT_Kyoto.1230 468 81.5 0.323254983406339 2 
NICT_Kyoto.1230 469 85.5 0.61997340898218 2 
NICT_Kyoto.1230 88 76 -0.172075242952769 1 
NICT_Kyoto.1230 89 73 -0.553157700050506 1 
NICT_Kyoto.1230 90 71 -0.807212671448997 1 
NICT_Kyoto.1230 91 73 -0.553157700050506 1 
NICT_Kyoto.1230 92 71 -0.807212671448997 1 
NICT_Kyoto.1230 93 57 -2.58559747123844 1 
NICT_Kyoto.1230 94 79 0.209007214144968 1 
NICT_Kyoto.1230 95 68 -1.18829512854673 1 
NICT_Kyoto.1230 96 85 0.971172128340442 1 
NICT_Kyoto.1230 97 73 -0.553157700050506 1 
NICT_Kyoto.1230 98 77 -0.0450477572535235 1 
NICT_Kyoto.1230 99 72 -0.680185185749752 1 
NICT_Kyoto.1230 100 76 -0.172075242952769 1 
NICT_Kyoto.1230 101 76 -0.172075242952769 1 
NICT_Kyoto.1230 102 80 0.336034699844213 1 
NICT_Kyoto.1230 103 82 0.590089671242705 1 
NICT_Kyoto.1230 104 82 0.590089671242705 1 
NICT_Kyoto.1230 105 71 -0.807212671448997 1 
NICT_Kyoto.1230 106 70 -0.934240157148243 1 
NICT_Kyoto.1230 1 61.5 -0.642965588185979 2 
NICT_Kyoto.1230 2 78.5 0.366533490186139 2 
NICT_Kyoto.1230 3 47 -1.47904768612231 2 
NICT_Kyoto.1230 4 37 -2.00297921927421 2 
NICT_Kyoto.1230 5 62.5 -0.573598796011664 2 
NICT_Kyoto.1230 6 87 0.956151223667824 2 
NICT_Kyoto.1230 7 65.5 -0.365498419488716 2 
NICT_Kyoto.1230 8 71.5 -0.119034055034072 2 
NICT_Kyoto.1230 9 77.5 0.297166698011823 2 
NICT_Kyoto.1230 10 83 0.678684054970561 2 
NICT_Kyoto.1230 11 55.5 -1.05237688568823 2 
NICT_Kyoto.1230 12 91.5 1.26830178845225 2 
NICT_Kyoto.1230 13 68.5 -0.150608587422118 2 
NICT_Kyoto.1230 14 72 0.078596274100688 2 
NICT_Kyoto.1230 15 76.5 0.227799905837507 2 
NICT_Kyoto.1230 16 66 -0.330815023401557 2 
NICT_Kyoto.1230 17 75 0.123749717576033 2 
NICT_Kyoto.1230 18 80 0.640320067038866 2 
NICT_Kyoto.1230 950 98 0.589156513312629 1 
NICT_Kyoto.1230 951 98 0.589156513312629 1 
NICT_Kyoto.1230 952 75 -0.0229856729452051 1 
NICT_Kyoto.1230 953 98 0.589156513312629 1 
NICT_Kyoto.1230 954 100 0.642386268639397 1 
NICT_Kyoto.1230 955 75 -0.0229856729452051 1 
NICT_Kyoto.1230 956 98 0.589156513312629 1 
NICT_Kyoto.1230 957 0 -2.01910149769901 1 
NICT_Kyoto.1230 958 100 0.642386268639397 1 
NICT_Kyoto.1230 959 92 0.429467247332324 1 
NICT_Kyoto.1230 617 72.5 -0.616671442900127 2 
NICT_Kyoto.1230 618 80 0.336034699844213 1 
NICT_Kyoto.1230 619 78 0.0819797284457221 1 
NICT_Kyoto.1230 620 71 -0.807212671448997 1 
NICT_Kyoto.1230 621 79 0.209007214144968 1 
NICT_Kyoto.1230 622 67 -1.31532261424598 1 
NICT_Kyoto.1230 623 79 0.209007214144968 1 
NICT_Kyoto.1230 624 79 0.209007214144968 1 
NICT_Kyoto.1230 625 86 1.09819961403969 1 
NICT_Kyoto.1230 626 80.5 0.399548442693836 2 
