SYS SID RAW.SCR Z.SCR N 
Online-Z.1643 907 25 -2.12568303633751 1 
Online-Z.1643 809 50 -1.13699325199448 1 
Online-Z.1643 435 75 -0.148303467651454 1 
Online-Z.1643 1966 76 -0.108755876277733 1 
Online-Z.1643 254 50.5 -1.11721945630762 2 
Online-Z.1643 1938 76 -0.108755876277733 1 
Online-Z.1643 756 81 0.0889820805908726 1 
Online-Z.1643 1631 96 0.68219595119669 2 
Online-Z.1643 2605 51 -1.09744566062076 1 
Online-Z.1643 779 91 0.484457994328084 1 
Online-Z.1643 2044 88 0.365815220206921 1 
Online-Z.1643 2011 44 -1.37427880023681 1 
Online-Z.1643 1536 86 0.286720037459479 1 
Online-Z.1643 2267 96 0.68219595119669 1 
Online-Z.1643 2181 74 -0.187851059025176 1 
Online-Z.1643 1866 77 -0.0692082849040121 1 
Online-Z.1643 1980 9 -0.94854112549983 1 
Online-Z.1643 598 23 -0.367886304468014 1 
Online-Z.1643 1529 32.5 0.0261294669464316 2 
Online-Z.1643 802 11 -0.865590436780999 1 
Online-Z.1643 669 42 0.420145238360878 1 
Online-Z.1643 1372 89 0.438848476823281 1 
Online-Z.1643 1044 91.5 0.506823767533206 2 
Online-Z.1643 2163 98 0.683559523379014 1 
Online-Z.1643 1237 100 0.737939755946954 1 
Online-Z.1643 1723 70 -0.0777637325721551 1 
Online-Z.1643 1085 98 0.683559523379014 1 
Online-Z.1643 2041 100 0.737939755946954 1 
Online-Z.1643 193 100 0.737939755946954 1 
Online-Z.1643 657 99 0.710749639662984 1 
Online-Z.1643 2612 80 0.735448916121016 1 
Online-Z.1643 2540 74 0.3638014089157 1 
Online-Z.1643 1060 56 -0.751141112700249 1 
Online-Z.1643 116 82 0.859331418522788 1 
Online-Z.1643 524 72 0.239918906513928 2 
Online-Z.1643 1214 79 0.67350766492013 1 
Online-Z.1643 2490 71 0.177977655313042 2 
Online-Z.1643 788 77 0.549625162518358 1 
Online-Z.1643 1261 84 0.98321392092456 1 
Online-Z.1643 2637 47 -1.30861237350822 1 
Online-Z.1643 908 49 -1.18472987110645 1 
Online-Z.1643 1200 25 -1.226490366689 1 
Online-Z.1643 702 95 1.05504898139046 1 
