SYS SID RAW.SCR Z.SCR N 
OPPO.1094 861 53 -0.520414879816498 1 
OPPO.1094 862 86 0.799228288670743 1 
OPPO.1094 863 86 0.799228288670743 1 
OPPO.1094 864 94 1.11914178406159 1 
OPPO.1094 865 96 1.1991201579093 1 
OPPO.1094 866 72 0.239379671736762 1 
OPPO.1094 867 76 0.399336419432185 1 
OPPO.1094 868 93 1.07915259713773 1 
OPPO.1094 869 88 0.879206662518455 1 
OPPO.1094 870 83 0.679260727899176 1 
OPPO.1094 871 94 1.11914178406159 1 
OPPO.1094 872 88 0.879206662518455 1 
OPPO.1094 873 85 0.759239101746887 1 
OPPO.1094 874 80 0.559293167127609 1 
OPPO.1094 875 80 0.559293167127609 1 
OPPO.1094 876 86 0.799228288670743 1 
OPPO.1094 877 57 -0.360458132121075 1 
OPPO.1094 878 88 0.879206662518455 1 
OPPO.1094 879 77 0.439325606356041 1 
OPPO.1094 880 72 0.239379671736762 1 
OPPO.1094 881 88 0.879206662518455 1 
OPPO.1094 882 80 0.559293167127609 1 
OPPO.1094 883 83 0.679260727899176 1 
OPPO.1094 884 68 0.0794229240413391 1 
OPPO.1094 885 69 0.119412110965195 1 
OPPO.1094 886 0 -2.63984178678085 1 
OPPO.1094 765 99 1.49519951528156 1 
OPPO.1094 766 96 1.31558546994219 1 
OPPO.1094 767 97 1.37545681838865 1 
OPPO.1094 768 96 1.31558546994219 1 
OPPO.1094 769 90 0.956357379263439 1 
OPPO.1094 770 73 -0.0614555443263515 1 
OPPO.1094 528 71 -0.181198241219268 2 
OPPO.1094 529 67 -0.420683635005101 1 
OPPO.1094 530 58 -0.959525771023225 1 
OPPO.1094 531 66 -0.480554983451559 2 
OPPO.1094 532 83 0.537257940138231 1 
OPPO.1094 533 58 -0.959525771023223 2 
OPPO.1094 534 55 -1.1391398163626 1 
OPPO.1094 535 59 -0.899654422576767 1 
OPPO.1094 536 46 -1.67798195238072 1 
OPPO.1094 537 86 0.716871985477606 1 
OPPO.1094 538 73 -0.0614555443263515 1 
OPPO.1094 69 81 0.173387742152056 1 
OPPO.1094 70 74 -0.32235383767721 1 
OPPO.1094 71 88 0.669129321981323 1 
OPPO.1094 72 100 1.51897203026007 1 
OPPO.1094 73 86 0.527488870601533 1 
OPPO.1094 74 64 -1.03055609457616 1 
OPPO.1094 75 76 -0.18071338629742 1 
OPPO.1094 969 49 -0.729233911403599 2 
OPPO.1094 970 76 0.244717575712103 2 
OPPO.1094 967 12 -2.06390817152512 1 
OPPO.1094 968 20 -1.77532995312047 1 
OPPO.1094 971 85 0.569368071417338 1 
OPPO.1094 972 7 -2.24426955802803 1 
OPPO.1094 451 47 -1.23092139185029 2 
OPPO.1094 452 60.5 -0.59114492500872 2 
OPPO.1094 453 59.5 -0.63853577440439 2 
OPPO.1094 454 59 -0.662231199102228 1 
OPPO.1094 455 52 -0.993967144871929 2 
OPPO.1094 456 34 -1.84700243399402 1 
OPPO.1094 457 57 -0.757012897893572 1 
OPPO.1094 458 41 -1.51526648822432 1 
OPPO.1094 459 70 -0.140931855749837 1 
OPPO.1094 460 58.5 -0.685926623800065 2 
OPPO.1094 461 41 -1.51526648822432 1 
OPPO.1094 462 47.5 -1.20722596715246 2 
OPPO.1094 463 46 -1.27831224124596 1 
OPPO.1094 464 63 -0.47266780151954 1 
OPPO.1094 383 74.5 -0.288398973996436 2 
OPPO.1094 384 75 -0.259330423377626 2 
OPPO.1094 380 75 -0.259330423377626 1 
OPPO.1094 381 79 -0.0267820184271352 1 
OPPO.1094 382 83 0.205766386523355 1 
OPPO.1094 273 87 1.10947808884608 2 
OPPO.1094 274 73 0.25651284657044 1 
OPPO.1094 275 73 0.25651284657044 1 
OPPO.1094 276 82 0.804847645176207 1 
OPPO.1094 277 72 0.195586757836466 1 
OPPO.1094 278 74 0.317438935304414 1 
OPPO.1094 279 83 0.865773733910181 1 
OPPO.1094 280 69 0.0128084916345431 1 
OPPO.1094 328 67.5 0.115629849386762 2 
OPPO.1094 329 83 1.10709556834013 1 
OPPO.1094 330 56 -0.619973748546384 1 
OPPO.1094 331 69 0.211578144769346 1 
OPPO.1094 332 67.5 0.115629849386762 2 
OPPO.1094 333 80 0.915198977574964 1 
OPPO.1094 334 62 -0.236180567016047 1 
OPPO.1094 335 74.5 0.563388561172155 2 
OPPO.1094 336 45 -1.323594581352 1 
OPPO.1094 337 61 -0.300146097271103 1 
OPPO.1094 338 57 -0.556008218291328 2 
OPPO.1094 803 98 0.376459223555991 1 
OPPO.1094 804 99 0.519995292016954 1 
OPPO.1094 805 98 0.376459223555991 1 
OPPO.1094 806 97 0.232923155095028 1 
OPPO.1094 807 97 0.232923155095028 1 
OPPO.1094 808 97 0.232923155095028 1 
OPPO.1094 809 94 -0.197685050287862 1 
OPPO.1094 408 64 -0.457966200281343 2 
OPPO.1094 409 66.5 -0.330696795897065 2 
OPPO.1094 410 75 0.0927245942489608 2 
OPPO.1094 411 68.5 -0.23724639867411 2 
OPPO.1094 412 73 -0.00258471992609749 2 
OPPO.1094 413 68 -0.263629738027018 2 
OPPO.1094 414 67.5 -0.281647951095457 2 
OPPO.1094 415 73 -0.0090909292584615 2 
OPPO.1094 416 77 0.2019757855648 2 
OPPO.1094 417 59 -0.723658510762523 2 
OPPO.1094 418 58.5 -0.736099972974651 2 
OPPO.1094 419 75.5 0.119107933601869 2 
OPPO.1094 420 64 -0.46540186808976 2 
OPPO.1094 421 71 -0.0988234925772075 2 
OPPO.1094 422 67.5 -0.289083618903874 2 
OPPO.1094 423 75 0.10108972053343 2 
OPPO.1094 424 68 -0.249687860886238 2 
OPPO.1094 425 72.5 -0.0336153516592651 2 
OPPO.1094 426 60.5 -0.613836362994086 2 
OPPO.1094 427 81.5 0.434778547360707 2 
OPPO.1094 810 91 0.273081864612684 1 
OPPO.1094 811 97 0.591101492784135 1 
OPPO.1094 812 99 0.697108035507952 1 
OPPO.1094 813 96 0.538098221422226 1 
OPPO.1094 814 96 0.538098221422226 1 
OPPO.1094 815 97 0.591101492784135 1 
OPPO.1094 816 95 0.485094950060318 1 
OPPO.1094 817 74 -0.62797374853976 1 
OPPO.1094 818 79 -0.362957391730218 1 
OPPO.1094 819 0 -4.55021582932099 1 
OPPO.1094 185 93 0.379088407336501 2 
OPPO.1094 188 91 0.273081864612684 2 
OPPO.1094 181 93 0.379088407336501 1 
OPPO.1094 182 88 0.114072050526958 1 
OPPO.1094 183 100 0.75011130686986 1 
OPPO.1094 184 95 0.485094950060318 1 
OPPO.1094 186 96 0.538098221422226 1 
OPPO.1094 187 100 0.75011130686986 1 
OPPO.1094 189 70 -0.839986833987394 1 
OPPO.1094 586 68 0.612774982089586 1 
OPPO.1094 587 64 0.365308114809779 1 
OPPO.1094 588 89 1.91197603530857 1 
OPPO.1094 589 91 2.03570946894848 1 
OPPO.1094 590 65 0.42717483162973 1 
OPPO.1094 591 58 -0.00589218610993201 1 
OPPO.1094 592 83 1.54077573438886 1 
OPPO.1094 593 52 -0.377092487029643 1 
OPPO.1094 594 82 1.47890901756891 1 
OPPO.1094 595 56 -0.129625619749836 1 
OPPO.1094 144 92 0.707768031312481 2 
OPPO.1094 145 85 0.026045689031379 2 
OPPO.1094 146 80.5 -0.412204388149329 2 
OPPO.1094 147 92 0.70776803131248 1 
OPPO.1094 148 89.5 0.464295766212087 2 
OPPO.1094 149 88 0.318212407151851 1 
OPPO.1094 150 82 -0.266121029089093 1 
OPPO.1094 151 93 0.805156937352638 1 
OPPO.1094 152 79.5 -0.509593294189487 2 
OPPO.1094 153 80 -0.460898841169408 1 
OPPO.1094 154 83 -0.168732123048936 1 
OPPO.1094 155 91 0.610379125272323 1 
OPPO.1094 156 75 -0.947843371370194 1 
OPPO.1094 493 79 -0.558287747209565 1 
OPPO.1094 494 84 -0.0713432170087783 1 
OPPO.1094 495 78 -0.655676653249722 1 
OPPO.1094 496 88 0.318212407151851 1 
OPPO.1094 497 80 -0.460898841169408 1 
OPPO.1094 250 79 0.622069378974285 1 
OPPO.1094 251 60 -0.535526306971224 1 
OPPO.1094 252 84 0.926699822644156 1 
OPPO.1094 253 61 -0.47460021823725 1 
OPPO.1094 254 82 0.804847645176207 1 
OPPO.1094 255 61 -0.47460021823725 1 
OPPO.1094 256 83 0.865773733910181 1 
OPPO.1094 257 64 -0.291821952035328 1 
OPPO.1094 289 86 0.303758661748354 1 
OPPO.1094 290 87 0.353599693776699 1 
OPPO.1094 291 86 0.303758661748354 1 
OPPO.1094 292 88 0.403440725805045 1 
OPPO.1094 293 81 0.0545535016066256 1 
OPPO.1094 294 87 0.353599693776699 1 
OPPO.1094 295 71 -0.44385681867683 1 
OPPO.1094 296 84 0.204076597691662 1 
OPPO.1094 297 69 -0.543538882733521 1 
OPPO.1094 298 90 0.503122789861736 1 
OPPO.1094 299 85 0.253917629720008 1 
OPPO.1094 667 82 0.104394533634971 1 
OPPO.1094 668 67 -0.643220946790213 1 
OPPO.1094 669 84 0.204076597691662 1 
OPPO.1094 670 86 0.303758661748354 1 
OPPO.1094 671 84 0.204076597691662 1 
OPPO.1094 672 83 0.154235565663317 1 
OPPO.1094 673 84 0.204076597691662 1 
OPPO.1094 674 93 0.652645885946773 1 
OPPO.1094 675 84 0.204076597691662 1 
OPPO.1094 676 94 0.702486917975118 1 
OPPO.1094 677 73 -0.344174754620139 1 
OPPO.1094 300 100 0.869546015675277 1 
OPPO.1094 301 95 0.674647750620653 2 
OPPO.1094 302 96 0.713627403631578 2 
OPPO.1094 303 75 -0.104945309597843 2 
OPPO.1094 304 100 0.869546015675277 1 
OPPO.1094 305 76 -0.0659656565869184 1 
OPPO.1094 306 75 -0.104945309597843 1 
OPPO.1094 307 82 0.16791226147863 2 
OPPO.1094 308 76 -0.0659656565869184 1 
OPPO.1094 309 75 -0.104945309597843 1 
OPPO.1094 310 75 -0.104945309597843 1 
OPPO.1094 311 75 -0.104945309597843 1 
OPPO.1094 312 94 0.635668097609729 1 
OPPO.1094 841 83 0.298126160797042 1 
OPPO.1094 842 82 0.25407314210799 1 
OPPO.1094 843 93 0.738656347687569 1 
OPPO.1094 844 86 0.4302852168642 1 
OPPO.1094 845 81 0.210020123418937 1 
OPPO.1094 846 88 0.518391254242305 1 
OPPO.1094 847 82 0.25407314210799 1 
OPPO.1094 848 61 -0.671040250362116 1 
OPPO.1094 849 73 -0.142404026093484 1 
OPPO.1094 850 92 0.694603328998516 1 
OPPO.1094 910 89 0.415601313192008 1 
OPPO.1094 911 82 -0.266121029089093 1 
OPPO.1094 912 92 0.70776803131248 1 
OPPO.1094 913 93 0.805156937352638 1 
OPPO.1094 914 82 -0.266121029089093 1 
OPPO.1094 915 81 -0.36350993512925 1 
OPPO.1094 916 91 0.610379125272323 1 
OPPO.1094 917 77 -0.75306555928988 1 
OPPO.1094 228 93 0.414701782339188 1 
OPPO.1094 229 79 -0.494290554206135 1 
OPPO.1094 230 97 0.674413878494995 1 
OPPO.1094 231 96 0.609485854456043 1 
OPPO.1094 232 100 0.86919795061185 1 
OPPO.1094 233 91 0.284845734261285 1 
OPPO.1094 234 83 -0.234578458050328 1 
OPPO.1094 235 93 0.414701782339188 1 
OPPO.1094 236 97 0.674413878494995 1 
OPPO.1094 237 92 0.349773758300237 1 
OPPO.1094 238 90 0.219917710222333 1 
OPPO.1094 239 95 0.544557830417091 1 
OPPO.1094 394 86 0.303758661748354 1 
OPPO.1094 395 87 0.353599693776699 1 
OPPO.1094 396 88 0.403440725805045 1 
OPPO.1094 397 84 0.204076597691662 1 
OPPO.1094 398 96 0.802168982031809 1 
OPPO.1094 399 85 0.253917629720008 1 
OPPO.1094 400 89 0.45328175783339 1 
OPPO.1094 401 90 0.503122789861736 1 
OPPO.1094 402 91 0.552963821890081 1 
OPPO.1094 403 94 0.702486917975118 1 
OPPO.1094 404 97 0.852010014060155 1 
OPPO.1094 405 93 0.652645885946773 1 
OPPO.1094 406 87 0.353599693776699 1 
OPPO.1094 407 95 0.752327950003464 1 
OPPO.1094 32 99 0.97976999064765 1 
OPPO.1094 33 96 0.892091711480009 1 
OPPO.1094 34 94 0.833639525368249 1 
OPPO.1094 35 93 0.804413432312368 1 
OPPO.1094 36 100 1.00899608370353 1 
OPPO.1094 37 43 -0.656891220481646 1 
OPPO.1094 38 55 -0.306178103811083 1 
OPPO.1094 39 45 -0.598439034369885 1 
OPPO.1094 40 88 0.658282967032967 1 
OPPO.1094 41 47 -0.539986848258125 1 
OPPO.1094 42 42 -0.686117313537526 1 
OPPO.1094 828 18 -2.14876498110349 1 
OPPO.1094 829 70.5 -0.491868742257957 2 
OPPO.1094 830 100 0.439149144331443 1 
OPPO.1094 831 99 0.40758921597248 2 
