SYS SID RAW.SCR Z.SCR N 
Huoshan_Translate.919 902 80 0.415251860737813 1 
Huoshan_Translate.919 903 92 0.95541161298454 1 
Huoshan_Translate.919 904 77 0.280211922676131 1 
Huoshan_Translate.919 905 72 0.055145359239995 1 
Huoshan_Translate.919 906 20 -2.28554690049582 1 
Huoshan_Translate.919 907 55 -0.710080956442868 1 
Huoshan_Translate.919 908 33 -1.70037383556187 1 
Huoshan_Translate.919 909 69 -0.0798945788216868 1 
Huoshan_Translate.919 910 92 0.95541161298454 1 
Huoshan_Translate.919 911 47 -1.07018745794069 1 
Huoshan_Translate.919 912 89 0.820371674922858 1 
Huoshan_Translate.919 913 98 1.2254914891079 1 
Huoshan_Translate.919 914 98 1.2254914891079 1 
Huoshan_Translate.919 915 94 1.04543823835899 1 
Huoshan_Translate.919 916 95 1.09045155104622 1 
Huoshan_Translate.919 917 61 -0.440001080319505 1 
Huoshan_Translate.919 918 96 1.13546486373345 1 
Huoshan_Translate.919 919 77 0.280211922676131 1 
Huoshan_Translate.919 920 95 1.09045155104622 1 
Huoshan_Translate.919 921 45 -1.16021408331514 1 
Huoshan_Translate.919 922 90 0.865384987610085 1 
Huoshan_Translate.919 923 84 0.595305111486722 1 
Huoshan_Translate.919 924 94 1.04543823835899 1 
Huoshan_Translate.919 925 71 0.0101320465527677 1 
Huoshan_Translate.919 926 73 0.100158671927222 1 
Huoshan_Translate.919 696 72.5 0.281091169657884 2 
Huoshan_Translate.919 697 74 0.428127937672094 1 
Huoshan_Translate.919 698 62 -0.748166206441583 1 
Huoshan_Translate.919 699 72 0.232078913653148 2 
Huoshan_Translate.919 700 79 0.918250497719459 1 
Huoshan_Translate.919 701 62 -0.748166206441585 2 
Huoshan_Translate.919 702 64 -0.552117182422637 1 
Huoshan_Translate.919 703 77.5 0.771213729705249 2 
Huoshan_Translate.919 704 81 1.1142995217384 2 
Huoshan_Translate.919 705 80 1.01627500972893 1 
Huoshan_Translate.919 1723 73 -2.3547578675504 1 
Huoshan_Translate.919 1724 77 -1.71101115870545 1 
Huoshan_Translate.919 1725 89 0.220228967829402 1 
Huoshan_Translate.919 1726 93 0.863975676674353 1 
Huoshan_Translate.919 1727 83 -0.745391095438025 1 
Huoshan_Translate.919 1728 94 1.02491235388559 1 
Huoshan_Translate.919 714 83 1.31034854575735 1 
Huoshan_Translate.919 715 77.5 0.771213729705249 2 
Huoshan_Translate.919 716 68 -0.160019134384744 2 
Huoshan_Translate.919 717 66 -0.356068158403691 2 
Huoshan_Translate.919 718 75.5 0.575164705686303 2 
Huoshan_Translate.919 719 77 0.722201473700513 2 
Huoshan_Translate.919 720 72 0.232078913653148 1 
Huoshan_Translate.919 721 71 0.134054401643675 1 
Huoshan_Translate.919 722 65.5 -0.405080414408427 2 
Huoshan_Translate.919 723 79 0.918250497719459 1 
Huoshan_Translate.919 724 78 0.820225985709986 1 
Huoshan_Translate.919 725 72 0.232078913653148 1 
Huoshan_Translate.919 726 67 -0.258043646394218 1 
Huoshan_Translate.919 727 82 1.21232403374788 1 
Huoshan_Translate.919 728 72 0.232078913653148 2 
Huoshan_Translate.919 729 66 -0.356068158403691 1 
Huoshan_Translate.919 730 85 1.5063975697763 1 
Huoshan_Translate.919 731 70 0.0360298896342017 1 
Huoshan_Translate.919 761 65 -0.454092670413164 1 
Huoshan_Translate.919 762 59 -1.04223974247 1 
Huoshan_Translate.919 763 64 -0.552117182422637 1 
Huoshan_Translate.919 764 83 1.31034854575735 1 
Huoshan_Translate.919 765 71 0.134054401643675 1 
Huoshan_Translate.919 766 79 0.918250497719459 1 
Huoshan_Translate.919 767 70 0.0360298896342017 1 
Huoshan_Translate.919 768 84 1.40837305776682 1 
Huoshan_Translate.919 769 72 0.232078913653148 1 
Huoshan_Translate.919 1886 95.5 0.513731971201382 2 
Huoshan_Translate.919 1887 98.5 0.671931366774224 2 
Huoshan_Translate.919 1890 95.5 0.513731971201382 2 
Huoshan_Translate.919 1888 100 0.751031064560646 1 
Huoshan_Translate.919 1889 98 0.645564800845417 1 
Huoshan_Translate.919 1891 98 0.645564800845417 1 
Huoshan_Translate.919 1816 38.5 -1.08475711089116 2 
Huoshan_Translate.919 1817 52 -0.542811794198092 2 
