RAW.SCR Z.SCR N SYS N.ALL 
79.3259803921569 0.247014407933923 782 PROMT_NMT.73 1241 
82.4510563380282 0.311776552584311 710 eTranslation.737 1173 
85.279324009324 0.322221407355888 715 Online-A.1574 1308 
84.3134523809524 0.384524299843968 700 Tencent_Translation.1520 1056 
88.6200726612171 0.468208656575967 734 Tohoku-AIP-NTT.890 1361 
84.1500319897633 0.298640272530644 521 HUMAN-C 803 
87.398679154659 0.495151735582397 694 OPPO.1535 1190 
82.2212494595763 0.26013891998072 771 AFRL.1069 1356 
73.9161324786325 -0.119678490034494 624 Online-G.1556 1018 
84.5061500615006 0.416468423465359 813 Online-B.1590 1365 
68.1258397932817 -0.278390194312612 645 zlabs-nlp.179 1056 
90.5060780550224 0.569198370284334 521 HUMAN-B 850 
81.0026707755521 0.251231842420799 649 UEDIN.1136 1192 
85.6581632653061 0.445785004150892 588 HUMAN-A 957 
77.655458399576 0.125798127745 629 Online-Z.1631 1043 
84.6034986225895 0.326442602111907 605 Huoshan_Translate.832 1091 
65.4550834597876 -0.338168585367229 659 WMTBiomedBaseline.388 1042 
