RAW.SCR Z.SCR N SYS N.ALL 
71.8734922354641 0.369373391931703 923 NRC.715 1643 
74.5670842411038 0.368368079693355 918 Facebook_AI.1465 1555 
68.8935865504359 0.0838663250055989 803 UQAM_TanLe.521 1546 
77.4147316538883 0.408616434646735 913 CUNI-Transfer.1009 1677 
66.4018655186552 0.081497875799269 813 UEDIN.1281 1687 
71.5971685317057 0.339460713633816 983 Groningen.1392 2052 
72.7550034153005 0.281674850064039 976 SRPOL.383 1683 
75.1745149911817 0.296468084593719 945 Helsinki.992 1748 
48.2247990999679 -0.384159763127412 1037 OPPO.722 2068 
75.2600698486612 0.425378257452425 859 MultiLingual_Engine_Ubiqus.525 1569 
79.2178380600082 0.363624034063001 811 NICT_Kyoto.1219 1191 
90.5324773413897 0.574480187213835 662 HUMAN-A 1024 
