RAW.SCR Z.SCR N SYS N.ALL 
71.9424740484429 0.116212010093667 578 Huoshan_Translate.1431 696 
53.8947368421053 -0.450678365950336 589 TALP_UPC.192 693 
68.9217519685039 0.175799118471687 508 Online-B.1604 594 
64.471766848816 -0.0678375838805347 549 Online-A.1584 629 
66.4304308797127 0.00104365351839878 557 zlabs-nlp.1180 674 
68.7117202268431 0.203322115863525 529 GTCOM.1409 641 
53.680412371134 -0.398294785125604 582 Online-G.1568 667 
64.4782608695652 0.00682226594613553 506 Online-Z.1645 584 
70.3458904109589 0.201887111255348 438 OPPO.1364 497 
60.7687007874016 -0.0196343183347031 508 UEDIN.384 618 
67.5316957210777 -0.0163945125532707 631 Microsoft_STC_India.264 771 
70.881404174573 0.149909061577161 527 NiuTrans.1540 579 
63.3649825783972 -0.0779790097440278 574 DCU.988 622 
73.8580677290837 0.173191796299179 502 Facebook_AI.1460 634 
