 CUNI-DocTransformer.1457 OPPO.1481 Online-B.1586 CUNI-Transformer.1081 Online-A.1570 SRPOL.1365 UEDIN-CUNI.1359 CUNI-T2T-2018.1072 Online-G.1552 Online-Z.1628 PROMT_NMT.76 zlabs-nlp.1149
CUNI-DocTransformer.1457 0.12 0.12 0.12 0.0357979350183517 0.12 0.00185700076348151 5.09943568509684e-05 4.17666228997285e-05 1.66307831250587e-05 6.98659789208786e-06 7.64897875421821e-06 6.43050618559168e-09
OPPO.1481 0.12 0.12 0.12 0.12 0.12 0.0110050349532859 0.000482737820558671 0.000358161964220395 0.000180457773335201 8.58470810779459e-05 8.97260022131125e-05 2.18601685569252e-07
Online-B.1586 0.12 0.12 0.12 0.12 0.12 0.12 0.00494768257101818 0.00407222196128394 0.00226681690360478 0.00154581190753405 0.00128945991236484 5.2988105409821e-06
CUNI-Transformer.1081 0.12 0.12 0.12 0.12 0.12 0.12 0.0202169837296947 0.0119402392169681 0.00801213841517853 0.00663217782668994 0.00369814410986728 5.65586802699862e-05
Online-A.1570 0.12 0.12 0.12 0.12 0.12 0.12 0.0261355160888155 0.0141718418790391 0.0105406052080681 0.00635886787093296 0.00516940566404671 0.000116581471522031
SRPOL.1365 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.00635880015190922
UEDIN-CUNI.1359 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.0363724046761948
CUNI-T2T-2018.1072 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12
Online-G.1552 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12
Online-Z.1628 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12
PROMT_NMT.76 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12
zlabs-nlp.1149 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12

