 Huoshan_Translate.789 OPPO.1360 HUMAN.0 Tohoku-AIP-NTT.1442 Online-A.1571 Online-G.1553 PROMT_NMT.77 Online-B.1587 UEDIN.1066 Online-Z.1629 WMTBiomedBaseline.387 zlabs-nlp.1153 yolo.1052
Huoshan_Translate.789 0.12 0.12 0.0127963813021995 0.12 0.12 0.12 0.0155706951529605 0.0227901795045773 0.0443549433727441 0.000168098695346872 2.49965711002504e-15 1.92630038402773e-16 3.56886929548655e-173
OPPO.1360 0.12 0.12 0.0209816276251561 0.12 0.12 0.12 0.0349165150967809 0.0454677040950115 0.12 0.000506268387123496 7.86768422915527e-15 3.98867995166801e-16 9.43706945614521e-176
HUMAN.0 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 1.73583228778305e-09 1.46481093260831e-10 3.6607650309396e-174
Tohoku-AIP-NTT.1442 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.00368209095803785 7.63419014936461e-12 7.66749450826048e-13 3.57832604687597e-164
Online-A.1571 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.00235025057524781 1.96757953365554e-12 2.46057535768625e-13 5.48422299279301e-169
Online-G.1553 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.00546045961111939 1.59651975427345e-11 1.79752562733467e-12 9.6732795346534e-168
PROMT_NMT.77 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 5.85422407359415e-09 7.71676984971942e-10 4.37175893673976e-165
Online-B.1587 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 3.1464123332135e-09 2.92257502320137e-10 1.87081467110313e-164
UEDIN.1066 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.0454656896651885 1.12273745181649e-08 1.48713010030796e-09 2.59637544184594e-161
Online-Z.1629 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 1.92568606715209e-05 4.06741630847854e-06 1.17508502505208e-155
WMTBiomedBaseline.387 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 2.02728390555614e-141
zlabs-nlp.1153 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 1.41549092430254e-131
yolo.1052 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12

