 HUMAN CUNI-DocTransformer.1450 OPPO.1121 SRPOL.522 CUNI-T2T-2018.1071 eTranslation.1048 CUNI-Transformer.1080 UEDIN-CUNI.1482 Online-B.1589 Online-Z.1630 Online-A.1573 Online-G.1555 zlabs-nlp.1151
HUMAN 0.12 1.53129630145456e-06 3.87082809268915e-09 1.14380580168867e-14 2.62897747514867e-21 7.3231104820508e-27 4.39957291173687e-23 1.72433888030531e-51 4.87583825846364e-132 6.06734012660747e-155 9.54959254070307e-114 3.7775498886609e-172 0
CUNI-DocTransformer.1450 0.12 0.12 0.12 0.00480545799282921 3.46035446194057e-06 1.87330263539457e-08 6.57909357452255e-07 1.40417946229276e-23 3.27042970754054e-90 4.01609569080789e-109 2.47479100237338e-77 3.84126125464288e-132 3.304527155525e-287
OPPO.1121 0.12 0.12 0.12 0.049873522955417 0.000218037880555033 1.10405141658325e-06 5.31156917054101e-05 4.88301763716108e-20 1.77124066665171e-87 2.82684966110274e-106 4.88142379973626e-74 6.74206750250922e-130 2.31527209620632e-292
SRPOL.522 0.12 0.12 0.12 0.12 0.0235480873646197 0.000681612433144738 0.00831684672564187 1.96389854886242e-15 1.22677876636119e-81 1.95307591437597e-100 4.45762694150298e-68 1.42108123886417e-125 1.81135239957026e-295
CUNI-T2T-2018.1071 0.12 0.12 0.12 0.12 0.12 0.12 0.12 1.5910411269923e-09 1.56956681193631e-67 3.04242638689524e-84 3.79209757378343e-56 1.95914661263389e-110 5.90734749933913e-279
eTranslation.1048 0.12 0.12 0.12 0.12 0.12 0.12 0.12 3.42045856029519e-06 3.56517054290984e-59 1.12237607019887e-74 1.10454298361553e-47 1.11978826576484e-99 2.36300111588354e-264
CUNI-Transformer.1080 0.12 0.12 0.12 0.12 0.12 0.12 0.12 8.58260095201241e-08 2.97773452887732e-61 4.59906749647816e-76 5.75713339787533e-50 7.52037117334088e-101 4.14206085977442e-260
UEDIN-CUNI.1482 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 9.21308406919368e-35 6.82207464640346e-46 5.07734626797369e-27 9.18273922254148e-72 1.22118868260109e-236
Online-B.1589 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 1.66077040749215e-14 2.02831288603364e-144
Online-Z.1630 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 5.64993852297561e-12 7.06307506287114e-149
Online-A.1573 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 1.68637909171496e-13 4.35591784502551e-127
Online-G.1555 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 3.40936557013271e-69
zlabs-nlp.1151 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12

