 HUMAN-B newstest2020.en-de.OPPO.1535.sgm newstest2020.en-de.Tohoku-AIP-NTT.890.sgm HUMAN-A newstest2020.en-de.Online-B.1590.sgm newstest2020.en-de.Tencent_Translation.1520.sgm newstest2020.en-de.Huoshan_Translate.832.sgm newstest2020.en-de.Online-A.1574.sgm newstest2020.en-de.eTranslation.737.sgm HUMAN-C newstest2020.en-de.AFRL.1069.sgm newstest2020.en-de.UEDIN.1136.sgm newstest2020.en-de.PROMT_NMT.73.sgm newstest2020.en-de.Online-Z.1631.sgm newstest2020.en-de.Online-G.1556.sgm newstest2020.en-de.zlabs-nlp.179.sgm newstest2020.en-de.WMTBiomedBaseline.388.sgm
HUMAN-B 0.12 0.0171344001926364 9.80963406850989e-05 0.0211674301576082 9.57778314071492e-06 1.28306712617077e-07 1.00611521589837e-20 1.11140040323326e-18 5.16297022050457e-15 2.06392410416988e-17 3.65502951293503e-22 5.54931952350796e-27 7.18628116248145e-29 2.83585889640197e-38 7.50681123669471e-80 5.58741170403828e-72 3.69954721104205e-85
newstest2020.en-de.OPPO.1535.sgm 0.12 0.12 0.12 0.12 0.0129388188558349 0.000747530835196149 4.45992094636714e-12 6.93913163490385e-11 3.59874346729299e-09 1.87603992762597e-10 1.65016219455987e-14 3.39416354898624e-18 1.40943802216822e-19 6.81961533853036e-29 1.22910616758719e-68 1.48571806250568e-64 5.10565251167827e-77
newstest2020.en-de.Tohoku-AIP-NTT.890.sgm 0.12 0.12 0.12 0.12 0.12 0.0307098048926921 9.51539938082261e-11 3.15642323734411e-09 5.04679833515907e-07 6.54527284348329e-09 2.63084279981818e-12 3.6602659257361e-16 3.67413155006013e-18 2.3248603001527e-27 2.23690006148324e-71 4.40976598030909e-65 5.39835818695982e-79
HUMAN-A 0.12 0.12 0.12 0.12 0.0145389894336819 0.00313046364086807 1.0145641818587e-12 3.85855727155811e-11 1.58916565613171e-08 3.73769547258513e-11 1.12043190033233e-14 9.96889101830939e-17 1.36394631047173e-18 1.22536735619684e-26 1.42099842792786e-63 2.99304672195774e-59 4.69459100110386e-71
newstest2020.en-de.Online-B.1590.sgm 0.12 0.12 0.12 0.12 0.12 0.12 1.85636709863478e-07 2.78797689999358e-06 6.90118308714524e-05 3.39278943967429e-06 5.96068259005262e-09 9.52961380021565e-12 3.36082380482755e-13 1.21596847877062e-21 9.46432531312958e-60 2.79778741381892e-56 1.58070370150601e-69
newstest2020.en-de.Tencent_Translation.1520.sgm 0.12 0.12 0.12 0.12 0.12 0.12 0.000139145208472785 0.000753804004309046 0.0048597077005547 0.000415266855442129 1.08540896774109e-05 1.7031187923986e-08 4.40836062842087e-09 1.45353441993034e-16 2.69497471597024e-49 2.17079408437689e-47 3.19607715551444e-58
newstest2020.en-de.Huoshan_Translate.832.sgm 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.00901183564871976 0.00831720363864473 5.94943435482817e-08 1.11543709236777e-36 1.63759847319573e-34 1.96065161380304e-43
newstest2020.en-de.Online-A.1574.sgm 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.00197354471784601 0.00136130908065782 2.49650324577497e-09 6.70080037859075e-40 1.25288497903149e-37 5.60081686598396e-48
newstest2020.en-de.eTranslation.737.sgm 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.00195318761925503 0.000798425840178711 3.37898326102745e-09 3.04444285343906e-37 2.07941951458853e-36 7.89737419321405e-47
HUMAN-C 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.0257451369430242 0.0141899167600475 1.02577936889797e-06 6.1664310701968e-31 1.74386385968169e-29 1.68311434989983e-38
newstest2020.en-de.AFRL.1069.sgm 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.0400811220718331 1.83776073008062e-06 5.55670668961178e-33 1.76843588016215e-31 4.17325313695282e-42
newstest2020.en-de.UEDIN.1136.sgm 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.00102747886170776 4.69875989471706e-25 7.09797003498036e-26 4.76538683961389e-33
newstest2020.en-de.PROMT_NMT.73.sgm 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.000737035675756263 1.88406891223152e-26 1.22056071840221e-26 2.45153484710558e-35
newstest2020.en-de.Online-Z.1631.sgm 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 2.45933143280339e-12 7.35090965132754e-14 1.22560989190182e-19
newstest2020.en-de.Online-G.1556.sgm 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.0016356145794016
newstest2020.en-de.zlabs-nlp.179.sgm 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12
newstest2020.en-de.WMTBiomedBaseline.388.sgm 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12

