 HUMAN-A MultiLingual_Engine_Ubiqus.525 CUNI-Transfer.1009 NRC.715 Facebook_AI.1465 NICT_Kyoto.1219 Groningen.1392 Helsinki.992 SRPOL.383 UQAM_TanLe.521 UEDIN.1281 OPPO.722
HUMAN-A 0.12 0.12 0.00102725224607052 3.40743482460926e-12 1.79112593574303e-06 0.00124479349227565 8.08273417241924e-11 5.25529615713227e-17 3.82240271329819e-12 5.55672091992372e-28 8.46032309322107e-39 7.27054158905612e-121
MultiLingual_Engine_Ubiqus.525 0.12 0.12 0.0122265030000287 4.80475370696333e-06 0.000897494372188358 0.0188629105389263 1.82998360186636e-06 9.33035240878365e-10 5.25019710704173e-08 8.28647423378568e-21 7.29786311567262e-26 2.302043803084e-94
CUNI-Transfer.1009 0.12 0.12 0.12 0.00286942849368966 0.12 0.12 0.00327022976244307 5.00973069773961e-06 6.81473535246373e-05 1.27508164159112e-16 4.96055672790248e-22 1.78952281684388e-98
NRC.715 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 2.42287975389227e-09 8.2563205751568e-13 4.71743030287738e-87
Facebook_AI.1465 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.0016890854770411 0.00887149302443058 2.17030064657002e-12 3.32953287939041e-16 9.45122107424712e-87
NICT_Kyoto.1219 0.12 0.12 0.12 0.12 0.12 0.12 0.00813484827111031 6.38087870250097e-05 0.000661853784640405 1.63490391277227e-13 1.25911943413699e-17 2.89549628181368e-79
Groningen.1392 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 1.7332825587792e-09 1.03338652195102e-12 3.79751893496342e-86
Helsinki.992 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 3.88201374611242e-06 1.95413077605976e-09 7.20752963019089e-78
SRPOL.383 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 8.61100962742086e-07 1.10341463045402e-09 1.81797503090134e-72
UQAM_TanLe.521 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 9.35861569494525e-36
UEDIN.1281 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 1.95318438128536e-36
OPPO.722 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12

