 HUMAN NiuTrans.1347 Tohoku-AIP-NTT.1453 OPPO.1201 ENMT.1477 NICT_Kyoto.1223 Online-A.1575 Online-B.1591 zlabs-nlp.95 Online-Z.1632 SJTU-NICT.370 Online-G.1557
HUMAN 0.12 0.00350366917178602 0.00124536866248909 0.0054523397121944 0.0031736602239212 5.45975968096819e-16 1.99296168107611e-21 2.57634567431729e-23 2.97798682008589e-47 1.41499882009464e-78 8.58943470174007e-111 1.71877303202545e-93
NiuTrans.1347 0.12 0.12 0.12 0.12 0.12 2.19417862633654e-08 8.11892130449326e-12 1.93908848220381e-13 1.55452919100107e-34 1.25947444351026e-63 9.68473992524757e-97 1.2634208275655e-82
Tohoku-AIP-NTT.1453 0.12 0.12 0.12 0.12 0.12 4.62133308903289e-08 7.27783943612584e-12 2.25266680634243e-13 3.36893329189379e-35 2.08691318474369e-65 3.62105126761986e-100 6.44538164991482e-85
OPPO.1201 0.12 0.12 0.12 0.12 0.12 1.97816073174501e-08 7.65957477073415e-12 1.79930366449407e-13 1.76857877515335e-34 8.62785950628796e-63 1.55120324197611e-93 3.7498499541302e-81
ENMT.1477 0.12 0.12 0.12 0.12 0.12 2.58853125253944e-08 7.61201043293931e-12 1.69544514140558e-13 4.59258379381265e-34 7.07790935191171e-63 5.5092612100714e-96 2.92550818513235e-81
NICT_Kyoto.1223 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.0322329387802221 6.42866855783481e-14 9.88327284365537e-35 1.18395014497771e-63 1.45773349725296e-54
Online-A.1575 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 7.78283359882909e-11 1.90276202653537e-30 1.31875300500461e-58 4.43468178170243e-51
Online-B.1591 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 2.63082955937326e-09 1.55661349714082e-27 4.28003010801113e-55 5.32648650805654e-48
zlabs-nlp.95 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 1.15266128398418e-06 3.04695730017465e-22 3.69378814371891e-21
Online-Z.1632 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 4.21918686742754e-08 1.21223158105031e-08
SJTU-NICT.370 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12
Online-G.1557 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12

