 HUMAN SRPOL.1325 eTranslation.926 Huoshan_Translate.1137 Tilde.1425 Online-G.1559 OPPO.1076 NICT_Kyoto.1233 Tilde.1430 CUNI-Transformer.978 Online-B.1593 SJTU-NICT.899 Online-A.1576 Online-Z.1634 zlabs-nlp.180
HUMAN 0.12 3.8982830535649e-08 3.62369500980526e-16 5.54543939638327e-18 1.15967271976261e-21 1.17404310858844e-18 7.67182877597509e-36 3.71233933992006e-24 2.36660216823279e-29 4.60212544833677e-25 2.52128409615225e-42 3.60751857911446e-38 5.645296232919e-56 8.85843655137662e-83 4.04187066422661e-144
SRPOL.1325 0.12 0.12 0.0376706883047309 0.00132902422119991 3.2968260009611e-05 5.92357989930174e-06 4.69945659795962e-10 7.39071957812798e-06 9.4699695627077e-10 2.64701003979949e-08 7.93071805151211e-15 4.27512768600475e-14 2.25168665340725e-25 8.55632763888073e-48 5.00347707356176e-117
eTranslation.926 0.12 0.12 0.12 0.12 0.00820104319065121 0.00248474431577936 4.6351415635896e-07 0.00344889116267004 1.95808500496728e-06 7.99957080178639e-05 3.56300987921129e-11 2.52916810247139e-10 1.0708249760209e-20 1.87114864382653e-42 2.23996879717766e-111
Huoshan_Translate.1137 0.12 0.12 0.12 0.12 0.12 0.12 0.00042056408659589 0.12 0.000681806091032759 0.0048648005227497 4.5995361398688e-07 1.01378691146792e-06 4.61541308176513e-15 1.10353524365063e-33 6.81509578089435e-101
Tilde.1425 0.12 0.12 0.12 0.12 0.12 0.12 0.0203047047606073 0.12 0.0214004986322593 0.12 0.000203879165429556 0.000191754286157166 7.36482841842479e-11 8.45844458472459e-27 3.95337001180656e-87
Online-G.1559 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.00432940065906095 0.00225447456949558 1.50629829306519e-08 1.32353844700915e-22 2.31253360946377e-81
OPPO.1076 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.0470527395709459 0.0361223878937491 5.42377279668878e-07 1.17750149835505e-21 1.85590664432853e-84
NICT_Kyoto.1233 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.0262174768117253 0.12 0.000219138440900168 0.000211577680233555 5.99358697279861e-11 1.24599919171948e-27 9.38507880022557e-88
Tilde.1430 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 5.9041313731109e-06 1.72608478022408e-18 2.16799294659623e-77
CUNI-Transformer.978 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.0322748577576312 0.0252171721992755 7.77446128113505e-07 1.91546853191696e-19 4.69167794530121e-76
Online-B.1593 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.000448113628179262 1.05835527008097e-15 1.20125612872183e-76
SJTU-NICT.899 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.00178405544439322 1.48407721823044e-13 6.74522763918796e-69
Online-A.1576 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 4.75962670751402e-06 7.39936520242017e-51
Online-Z.1634 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 1.92654544103641e-31
zlabs-nlp.180 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12

