 HUMAN Online-G.1560 OPPO.1489 ariel197197.1373 Online-B.1595 PROMT_NMT.374 DiDi_NLP.1455 Online-A.1577 zlabs-nlp.169 Online-Z.1636
HUMAN 0.12 9.40444969390461e-19 2.23610334747149e-22 1.8859873390535e-25 5.19118887381431e-39 3.25591563746441e-53 7.48851764508826e-64 2.41599591351404e-76 8.48538101363897e-95 3.49015239514807e-104
Online-G.1560 0.12 0.12 0.12 0.0124315120743043 2.76780009951256e-07 8.15376800487294e-16 8.95594950790624e-23 2.4793738415515e-39 4.26771450317621e-52 5.53710465933739e-60
OPPO.1489 0.12 0.12 0.12 0.12 7.95426339510484e-06 3.34506629999385e-13 9.43438015298494e-20 4.41122573747951e-35 1.90102472371953e-47 1.42829105666952e-54
ariel197197.1373 0.12 0.12 0.12 0.12 0.00351223747217226 1.12377117379314e-08 8.54714019463108e-14 1.06446911644158e-28 4.0854055939475e-39 1.29893982897036e-45
Online-B.1595 0.12 0.12 0.12 0.12 0.12 0.00132148635711881 8.25455499468946e-07 8.85280882271522e-19 5.64410598118114e-27 1.51861310530592e-32
PROMT_NMT.374 0.12 0.12 0.12 0.12 0.12 0.12 0.04531577888547 1.24165934951393e-09 4.4906142281177e-15 3.93916482631912e-19
DiDi_NLP.1455 0.12 0.12 0.12 0.12 0.12 0.12 0.12 1.00196193402535e-06 7.8181847940476e-11 1.25967012500914e-14
Online-A.1577 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.00702350574077059
zlabs-nlp.169 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12
Online-Z.1636 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12

