 HUMAN Facebook_AI.1393 GTCOM.1389 Online-B.1596 OPPO.1510 Online-A.1578 Huoshan_Translate.839 Online-Z.1637 zlabs-nlp.1181 Microsoft_STC_India.282 UEDIN.488 Groningen.1261 DCU.1020 TALP_UPC.1049 Online-G.1561 SJTU-NICT.386
HUMAN 0.12 0.000198770041100919 3.08704319065483e-12 7.1385558881898e-14 1.20095290715942e-18 1.39180617252933e-19 3.70721640619896e-20 2.16545161403654e-33 2.35223856504414e-25 5.30437110982321e-26 5.95676159551179e-34 3.25296382118559e-42 1.2747675131369e-59 1.1288878575155e-83 1.77205326901121e-138 3.88161487946295e-145
Facebook_AI.1393 0.12 0.12 0.000211615317526334 7.58358537100756e-05 8.94665004649195e-07 1.88443084312652e-07 6.47559446021692e-08 7.63390613474176e-18 3.2908171327805e-12 1.32353461083948e-13 6.42490915240223e-18 1.64951347248554e-23 1.83312894751393e-38 2.16985481037747e-61 1.92600231317312e-111 4.80674585107405e-117
GTCOM.1389 0.12 0.12 0.12 0.12 0.12 0.12 0.12 7.85999396477383e-07 0.00029539480143479 2.76407743673513e-05 2.17097848368497e-07 7.80960987794451e-11 1.72820480831637e-22 1.64111640568688e-46 1.42454882582596e-97 1.62295312585087e-103
Online-B.1596 0.12 0.12 0.12 0.12 0.12 0.12 0.12 4.80372573917732e-07 0.000450942215709704 3.36654568886588e-05 2.04532515508181e-07 3.95021275437618e-11 2.86545910936375e-23 1.39652455316547e-47 3.97202859219984e-100 1.55628476428986e-107
OPPO.1510 0.12 0.12 0.12 0.12 0.12 0.12 0.12 1.44255829921915e-06 0.000702154153776993 6.47460050568836e-05 2.32707681385659e-07 2.46829016688567e-11 1.11488244146295e-25 1.60755985922244e-55 3.75879866872459e-122 4.08491659011556e-131
Online-A.1578 0.12 0.12 0.12 0.12 0.12 0.12 0.12 3.05275726349221e-05 0.00535876723113023 0.00060165554306925 6.57745600292495e-06 1.73516618224478e-09 4.24562042639733e-22 1.70229512046454e-49 4.28739806725131e-110 5.08424550066541e-119
Huoshan_Translate.839 0.12 0.12 0.12 0.12 0.12 0.12 0.12 4.2275712405204e-05 0.0123898293850324 0.00126533570177222 2.41382146679666e-05 1.21376061294587e-08 2.6526295080968e-20 1.95735914285412e-44 7.64956220461664e-99 1.09818805497954e-106
Online-Z.1637 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.0258741712346213 3.60884367005946e-09 2.48588094527219e-32 3.76650235337108e-87 4.25296820024684e-95
zlabs-nlp.1181 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.00101336993155916 2.74808590284058e-11 2.47654641319734e-33 3.6273311792606e-83 5.35152432424784e-91
Microsoft_STC_India.282 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.018920171615215 2.7030113085834e-08 8.89993241631167e-28 1.39327750141511e-71 1.72115594503494e-79
UEDIN.488 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 3.62842263412716e-07 2.2342303116679e-26 2.27962445547597e-72 5.79550784551896e-80
Groningen.1261 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 8.09412863008169e-05 5.23431324452958e-23 6.51751540401584e-69 1.57222892522725e-77
DCU.1020 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 1.64743769338354e-11 4.2479553835852e-48 5.01903696472313e-56
TALP_UPC.1049 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 1.56077457462522e-10 2.93493534568323e-15
Online-G.1561 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.0125251721774141
SJTU-NICT.386 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12

