 HUMAN-B HUMAN-A OPPO.1147 Tencent_Translation.1332 Huawei_TSC.618 NiuTrans.1511 SJTU-NICT.706 Huoshan_Translate.716 Online-B.1597 Online-A.1579 dong-nmt.768 Online-Z.1638 Online-G.1562 zlabs-nlp.322
HUMAN-B 0.12 5.54338663030829e-06 1.51549003490917e-19 1.17681105222694e-36 4.16570265198928e-38 1.27412760536587e-42 8.45266108068245e-46 4.48093347481368e-41 3.17714315483022e-76 1.69266953540345e-101 1.86267453616827e-145 7.63832125684289e-154 6.69795559452689e-142 5.46474558096781e-159
HUMAN-A 0.12 0.12 1.24593423952084e-07 7.39469637798066e-20 3.94027399815025e-20 1.34821498900043e-23 1.54294191883809e-26 3.51923127332923e-24 1.10850162734139e-55 3.07496964683261e-80 1.31298121533047e-127 1.03718831399857e-135 8.50323498919995e-124 7.82865088296006e-143
OPPO.1147 0.12 0.12 0.12 0.000209660019474653 0.000242541967000223 5.30906323312265e-06 1.85690986062174e-07 6.52587568577476e-07 6.3447871445768e-26 3.46677482417659e-43 7.58279940024008e-81 6.8880071700012e-87 6.65723183186281e-79 1.82327683966702e-95
Tencent_Translation.1332 0.12 0.12 0.12 0.12 0.12 0.12 0.0487082754357313 0.12 1.33508405448609e-14 9.32734307605324e-29 3.98540876242277e-65 8.74381222480007e-71 7.5835324167555e-64 1.20777069537933e-80
Huawei_TSC.618 0.12 0.12 0.12 0.12 0.12 0.12 0.0404407732653663 0.12 7.72243115702979e-15 2.24284868619708e-29 3.97045825604327e-66 3.22077570177131e-72 3.71437855736066e-65 1.63337605664614e-81
NiuTrans.1511 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 6.14911090134995e-12 4.87594853093574e-25 1.40734421673329e-59 3.14503611204228e-65 1.16238921936919e-58 4.28489222887324e-74
SJTU-NICT.706 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 1.5727750683492e-09 2.94009279784196e-21 2.2478571074576e-53 1.05628224600268e-58 6.16752170979973e-53 8.88346350004876e-68
Huoshan_Translate.716 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 3.22606055645841e-09 5.42491261503225e-20 8.56083604778944e-50 1.28802509133147e-54 2.02049089886565e-49 3.29506297007985e-63
Online-B.1597 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.000579967170406142 1.75006507760383e-20 1.09764314396568e-23 1.45105761105923e-21 8.78762715214664e-31
Online-A.1579 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 2.76113640697796e-10 1.87287908531981e-12 2.18073309350205e-11 3.57864581314099e-18
dong-nmt.768 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.0036793784346691
Online-Z.1638 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.0213288881748983
Online-G.1562 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.0330036483862572
zlabs-nlp.322 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12

