 NiuTrans.1206 Facebook-AI.729 CUNI-Transfer.375 Groningen.1301 SRPOL.385 Helsinki.994 NRC.985 UEDIN.1282 UQAM-TanLe.520 NICT-Kyoto.1220 OPPO.191
NiuTrans.1206 0.12 0.12 0.0275237598790141 0.0160381993056704 0.00980327409392761 0.0107437171994003 0.00363898866785263 0.000922479251032752 0.00532524565891847 2.06891745935464e-05 1.42796787326182e-07
Facebook-AI.729 0.12 0.12 0.0286962531093348 0.016843818999478 0.0105041394283716 0.0122954091693438 0.00397084194055613 0.000973504167473178 0.00592529217936179 2.03498536482143e-05 1.51695436524122e-07
CUNI-Transfer.375 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.0160494640282154 0.000707819375923624
Groningen.1301 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.0283554652382131 0.0018057605588403
SRPOL.385 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.0433959752981033 0.00292028806972841
Helsinki.994 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.041110782281151 0.0027680504237205
NRC.985 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.0108770348025958
UEDIN.1282 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.0257828820879203
UQAM-TanLe.520 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.0139409439582787
NICT-Kyoto.1220 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12
OPPO.191 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12

