 Tohoku-AIP-NTT.1429 NiuTrans.1352 OPPO.1529 NICT_Kyoto.1230 Online-B.1599 Online-A.1581 eTranslation.269 zlabs-nlp.66 Online-G.1564 Online-Z.1640
Tohoku-AIP-NTT.1429 0.12 0.12 0.12 0.0156412330675317 0.000319997017880365 0.000116189915298435 0.000189043954067345 1.50559897163785e-18 1.22734486180263e-21 2.42253330675874e-25
NiuTrans.1352 0.12 0.12 0.12 0.0133748926876563 5.68745342316148e-05 4.93752609047699e-05 9.45563884723709e-05 1.2121714921943e-18 7.88805232704104e-22 8.64661146635035e-25
OPPO.1529 0.12 0.12 0.12 0.12 0.0233694549500608 0.0138939743617046 0.0152666840155862 2.45503172610346e-13 8.37237374802249e-16 6.50016857531879e-19
NICT_Kyoto.1230 0.12 0.12 0.12 0.12 0.12 0.12 0.12 1.66578796320535e-11 7.74715190525394e-14 5.57350705320929e-17
Online-B.1599 0.12 0.12 0.12 0.12 0.12 0.12 0.12 2.6482062665312e-09 4.86256173168603e-11 6.44223544203821e-15
Online-A.1581 0.12 0.12 0.12 0.12 0.12 0.12 0.12 6.8848719405518e-08 2.57242672367703e-09 2.45778198925672e-12
eTranslation.269 0.12 0.12 0.12 0.12 0.12 0.12 0.12 1.33550130009688e-07 2.51361072536516e-09 6.46323806284094e-12
zlabs-nlp.66 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12
Online-G.1564 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12
Online-Z.1640 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12

