 SRPOL.1506 Online-G.1566 NICT-Rui.1492 Online-B.1601 SJTU-NICT.331 Online-A.1582 OPPO.733 Online-Z.1642 CUNI-Transformer.245 NICT_Kyoto.1234 Huoshan_Translate.1523 PROMT_NMT.1424 Tilde.1310 zlabs-nlp.1162
SRPOL.1506 0.12 0.12 0.12 0.038258156561347 0.12 0.0481717039461367 0.00777450118042672 0.00148882656074645 0.000508988296452532 6.1190594385464e-05 8.59668404412265e-06 3.273828212487e-06 2.48493294132727e-08 9.66536949742815e-09
Online-G.1566 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.0238418787558216 0.0157720708492052 0.0021462027846479 0.00061196735693595 0.000340992074914227 7.13726667586539e-06 5.00711271567499e-06
NICT-Rui.1492 0.12 0.12 0.12 0.12 0.12 0.12 0.0262769460379369 0.00842472727337087 0.00308022012262064 0.000515686774035296 8.62956258402823e-05 3.99152780435342e-05 2.29306766574068e-07 3.27451983244946e-07
Online-B.1601 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.0195701414997768 0.00642611155850528 0.00247635600578391 8.26743801817131e-05 1.48781869174054e-05
SJTU-NICT.331 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.016271751376123 0.00719237067636686 0.00125544309820956 0.000256878611226816 0.000112275728074374 1.55944740052699e-06 6.98806264084734e-07
Online-A.1582 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.0441939153693532 0.0159532843805408 0.00338361221138478 0.00148269134027676 7.73692304294602e-05 6.03721103060282e-06
OPPO.733 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.0344908989963161 0.0156304996942359 0.00181203535051911 0.000165297724030002
Online-Z.1642 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.00503446031784912 0.00396079979353195
CUNI-Transformer.245 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.0207309931547453 0.00718173929153005
NICT_Kyoto.1234 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.0354991748348045
Huoshan_Translate.1523 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12
PROMT_NMT.1424 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12
Tilde.1310 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12
zlabs-nlp.1162 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12

