 Online-G.1567 Online-A.1583 OPPO.1094 eTranslation.686 PROMT_NMT.78 Online-B.1603 HUMAN.0 ariel197197.512 AFRL.1083 DiDi_NLP.1191 Online-Z.1644 zlabs-nlp.1164
Online-G.1567 0.12 0.12 0.12 0.12 0.12 0.00813560202407355 0.12 0.0249401171486655 0.00559712395990025 0.000345372411813837 0.000300959045980192 3.72547570067992e-12
Online-A.1583 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.0199150820150119 0.0029941071871659 0.00255685649758164 1.18929820175078e-11
OPPO.1094 0.12 0.12 0.12 0.12 0.12 0.0239950478754915 0.12 0.0485321886878443 0.00899220793573787 0.00103455518006022 0.00090569475774915 2.38908661470907e-12
eTranslation.686 0.12 0.12 0.12 0.12 0.12 0.0216536140336465 0.12 0.047156498353418 0.0119539626346915 0.00106381207167892 0.00116050833686714 1.24336770619665e-11
PROMT_NMT.78 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.012974983146985 0.0125538626434893 2.26049311103133e-09
Online-B.1603 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 8.10324146136557e-08
HUMAN.0 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.0134468994329781 0.0116226199171122 6.161906822366e-10
ariel197197.512 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 3.56575681941691e-07
AFRL.1083 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 1.82411573107194e-06
DiDi_NLP.1191 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 7.62862402396555e-05
Online-Z.1644 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 6.81266565290859e-05
zlabs-nlp.1164 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12

