 GTCOM.1409 OPPO.1364 Online-B.1604 Facebook_AI.1460 NiuTrans.1540 Huoshan_Translate.1431 Online-Z.1645 zlabs-nlp.1180 Microsoft_STC_India.264 UEDIN.384 Online-A.1584 DCU.988 Online-G.1568 TALP_UPC.192
GTCOM.1409 0.12 0.12 0.12 0.12 0.12 0.12 6.38495048877896e-05 0.000100109122328122 2.84954097537706e-05 0.00016164134054942 2.18171433655787e-07 7.59103419319554e-08 1.03598936711177e-27 2.82322503086101e-30
OPPO.1364 0.12 0.12 0.12 0.12 0.12 0.12 5.88660853683742e-05 0.000158784076034064 2.09517177551339e-05 7.69812739517133e-05 1.71914590401934e-07 1.056153644638e-07 1.82958972469614e-25 1.09597800860612e-26
Online-B.1604 0.12 0.12 0.12 0.12 0.12 0.12 0.000877869241574282 0.000993854713526382 0.000495580682213343 0.0011963248372702 5.13789429501694e-06 3.79262373965501e-06 3.06388646882767e-24 4.21601267652663e-27
Facebook_AI.1460 0.12 0.12 0.12 0.12 0.12 0.0284816407492432 4.00035944370762e-06 2.34033600510923e-05 9.42542619165865e-07 4.18161708578084e-06 1.68974235500035e-09 1.19080301220195e-09 1.24915544300211e-32 2.84510512314563e-32
NiuTrans.1540 0.12 0.12 0.12 0.12 0.12 0.12 0.000394976246438041 0.00121573958556257 0.000200730449279919 0.000468380589136415 2.04005774259464e-06 1.67139336888844e-06 1.12446889738984e-25 8.15131134899417e-27
Huoshan_Translate.1431 0.12 0.12 0.12 0.12 0.12 0.12 0.00167199028513645 0.00426783542593222 0.000958086494810175 0.00209121488924357 7.08884856372473e-06 6.62690415110899e-06 4.16142846064851e-26 1.11515957938869e-27
Online-Z.1645 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 1.00053481171757e-12 8.52357742786159e-16
zlabs-nlp.1180 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 1.98288065645366e-11 2.01051867024992e-14
Microsoft_STC_India.264 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 1.05340289485705e-14 1.73526789941376e-17
UEDIN.384 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 2.89858149386781e-13 6.14962767127738e-15
Online-A.1584 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 1.26493539038282e-09 3.4316616004031e-12
DCU.988 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 1.78258084566969e-09 4.25062179541031e-13
Online-G.1568 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.0403950524106409
TALP_UPC.192 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12

