 Huoshan_Translate.919 DiDi_NLP.401 WeChat_AI.1525 Tencent_Translation.1249 Online-B.1605 DeepMind.381 OPPO.1422 THUNLP.1498 SJTU-NICT.320 Huawei_TSC.889 Online-A.1585 HUMAN.0 Online-G.1569 dong-nmt.1207 zlabs-nlp.1176 Online-Z.1646 WMTBiomedBaseline.183
Huoshan_Translate.919 0.12 0.0406976033333569 0.00899619611787117 0.0011975257041399 0.013720712928572 0.00208355914634425 0.000178431407825702 0.00124910255189589 0.000271446332588019 6.06708811806727e-08 3.09835396061183e-06 2.81484871180702e-09 6.03793904624391e-13 2.18175190342575e-15 8.57213554799297e-16 5.1680104455277e-20 2.15220586543982e-46
DiDi_NLP.401 0.12 0.12 0.12 0.12 0.12 0.12 0.0433904081703281 0.12 0.12 0.000260738578428937 0.00300204233167448 2.16662360939997e-05 2.30363592760846e-08 6.81399709970961e-10 1.09083594424921e-10 9.68187551144086e-14 8.28630970137637e-38
WeChat_AI.1525 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.00163467278853609 0.014315142613026 0.000185273504741943 2.84186160259731e-07 1.0668557500815e-08 1.82033959319619e-09 2.22361735532195e-12 2.07449678700511e-36
Tencent_Translation.1249 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.0173337892668526 0.12 0.00369473726498215 1.36059093356822e-05 2.36323248464809e-06 3.44052396706083e-07 1.5751285645887e-09 1.64411915461686e-31
Online-B.1605 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.00148150231892553 0.011337955395295 0.000173142063605489 3.90599136806676e-07 1.7542393226409e-08 3.44842191278235e-09 3.97389487186654e-12 2.6798182813423e-35
DeepMind.381 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.00739061595301626 0.0458071065673527 0.00112192654846925 2.69564151322443e-06 2.23008072281423e-07 3.03977969458048e-08 8.39159300474531e-11 7.48129478059123e-34
OPPO.1422 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.0428209328283878 0.12 0.00743457574939308 4.3169138170684e-05 2.74100085762597e-06 6.77487232526676e-07 2.32184328103228e-09 1.00865758296841e-31
THUNLP.1498 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.0099535628098823 0.12 0.0017826226716961 5.30491739646788e-06 3.34606364476441e-07 5.97537998525508e-08 1.51918629746553e-10 2.44501944928003e-32
SJTU-NICT.320 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.0340429842522949 0.12 0.0069226967659525 6.01228067891337e-05 3.30830459588339e-06 1.04319711352408e-06 4.01777057251276e-09 6.33795007475132e-30
Huawei_TSC.889 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.0149543335947907 0.00405350364883739 0.00142393441855734 4.12268841633202e-05 1.42623078496918e-23
Online-A.1585 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.00347013058865097 0.00040429374806955 0.000133721530123154 1.55536437245118e-06 9.78039614505916e-25
HUMAN.0 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.023799176020826 0.00876985993252886 0.000438578983691209 1.73683746599683e-20
Online-G.1569 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.042896212942005 4.37739226751834e-15
dong-nmt.1207 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 2.77892424646586e-14
zlabs-nlp.1176 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 1.93536371952696e-12
Online-Z.1646 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 3.157000751539e-10
WMTBiomedBaseline.183 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12 0.12

