SYS SEGID RAW.SCR Z.SCR N
CUNI-DocTransformer.1450 abcnews.363979 86.20833333333333 0.9951861947279389 6
CUNI-DocTransformer.1450 abcnews.363994 73.4 0.9725527460739982 5
CUNI-DocTransformer.1450 abcnews.364001 70.0625 -0.20489234234256265 4
CUNI-DocTransformer.1450 aj-english.8608 98.88888888888887 0.789118633394638 6
CUNI-DocTransformer.1450 aj-english.8643 89.45833333333333 1.282097530024655 4
CUNI-DocTransformer.1450 allafrica.15314 91.86274509803924 0.44862240641740114 17
CUNI-DocTransformer.1450 allafrica.15342 92.37254901960782 0.5932820923159153 17
CUNI-DocTransformer.1450 brisbanetimes.com.au.225989 80.04545454545455 0.3908763945892535 11
CUNI-DocTransformer.1450 brisbanetimes.com.au.225990 82.14102564102565 0.4001940763556722 13
CUNI-DocTransformer.1450 cbsnews.302129 91.8589743589744 0.4051280797430252 13
CUNI-DocTransformer.1450 cbsnews.302172 73.6969696969697 0.2838792279410922 11
CUNI-DocTransformer.1450 cbsnews.302258 76.91666666666667 0.6808118855110464 8
CUNI-DocTransformer.1450 chicago_defender.80 58.333333333333336 0.2047224379309316 6
CUNI-DocTransformer.1450 cnbc.com.33889 95.46666666666665 0.5715414338690861 10
CUNI-DocTransformer.1450 cnbc.com.33901 91.0 0.7795946483122592 7
CUNI-DocTransformer.1450 cnbc.com.33953 91.28571428571429 0.8083639350014865 7
CUNI-DocTransformer.1450 cnbc.com.33995 91.0 0.5977053173583433 13
CUNI-DocTransformer.1450 cnbc.com.33999 65.21428571428571 0.1095133570336202 7
CUNI-DocTransformer.1450 cnn.385555 80.57142857142857 0.4162339966422873 7
CUNI-DocTransformer.1450 cnn.385672 62.416666666666664 0.14247399816949358 6
CUNI-DocTransformer.1450 cnn.385674 62.1 0.7457517297294423 10
CUNI-DocTransformer.1450 cnn.385761 95.95238095238096 0.5853386981238499 14
CUNI-DocTransformer.1450 cnn.385803 83.0 0.6519696030072885 4
CUNI-DocTransformer.1450 dailymail.co.uk.365204 89.50980392156862 1.0020721438565146 17
CUNI-DocTransformer.1450 dailymail.co.uk.365293 72.66666666666667 0.6599083618660956 21
CUNI-DocTransformer.1450 en.ndtv.com.12997 81.6875 0.6518099487410259 24
CUNI-DocTransformer.1450 en.ndtv.com.13041 90.03571428571429 0.765849379685983 14
CUNI-DocTransformer.1450 en.ndtv.com.13073 88.9 0.5016907883611883 20
CUNI-DocTransformer.1450 en.ndtv.com.13090 67.4375 0.7439160503051484 8
CUNI-DocTransformer.1450 en.ndtv.com.13143 78.83333333333331 0.6171911791532635 12
CUNI-DocTransformer.1450 en.ndtv.com.13152 72.72727272727273 0.13453408600213063 11
CUNI-DocTransformer.1450 express.co.uk.11102 83.46428571428571 0.08170298885561435 14
CUNI-DocTransformer.1450 foxnews.100073 91.35 0.6086209460256512 10
CUNI-DocTransformer.1450 foxnews.100074 78.85 1.0879682746063468 10
CUNI-DocTransformer.1450 foxnews.100085 70.3 0.030307084194428402 5
CUNI-DocTransformer.1450 foxnews.100086 88.40476190476188 0.25836982976877704 14
CUNI-DocTransformer.1450 foxnews.100091 73.5 -0.07456320772422582 7
CUNI-DocTransformer.1450 guardian.260695 86.51282051282053 0.7136706647180926 26
CUNI-DocTransformer.1450 guardian.260748 83.40476190476191 0.4796925807001054 14
CUNI-DocTransformer.1450 guardian.260755 66.33333333333333 0.4538580286880968 3
CUNI-DocTransformer.1450 guardian.260810 88.13636363636364 0.9090643753887396 11
