SYS SEGID RAW.SCR Z.SCR N
CUNI-Transfer.375 Hansard_20180319 74.19941956882255 0.20985542640611032 603
CUNI-Transfer.375 nunatsiaq-20190905 57.55769230769231 -0.35301218760371256 52
CUNI-Transfer.375 nunatsiaq-20190911 72.94444444444444 0.06085473800492044 18
CUNI-Transfer.375 nunatsiaq-20190920 67.76470588235294 -0.031257586677262285 17
CUNI-Transfer.375 nunatsiaq-20190923 83.83333333333333 0.4986429850021577 3
CUNI-Transfer.375 nunatsiaq-20190924 70.14285714285714 -0.10732764700487382 14
CUNI-Transfer.375 nunatsiaq-20190926 78.225 0.25263998212279226 10
CUNI-Transfer.375 nunatsiaq-20190926-2 59.0 -0.17065265810240896 11
CUNI-Transfer.375 nunatsiaq-20190930 80.14285714285714 0.5010384658442237 7
CUNI-Transfer.375 nunatsiaq-20191002 72.9375 0.06647458993649663 8
CUNI-Transfer.375 nunatsiaq-20191007 66.52631578947368 -0.061562452997989216 19
CUNI-Transfer.375 nunatsiaq-20191009 70.70833333333333 -0.00824770424197214 12
CUNI-Transfer.375 nunatsiaq-20191010 76.05882352941177 0.23205837968990142 17
CUNI-Transfer.375 nunatsiaq-20191010-2 81.75 0.5591124888482262 4
CUNI-Transfer.375 nunatsiaq-20191011 69.35714285714286 0.03401225235116883 7
CUNI-Transfer.375 nunatsiaq-20191017 73.11111111111111 0.1546561820319347 9
CUNI-Transfer.375 nunatsiaq-20191017-2 67.24074074074075 0.11777911235495865 27
CUNI-Transfer.375 nunatsiaq-20191018 77.9 0.3348414410994201 10
CUNI-Transfer.375 nunatsiaq-20191022 61.041666666666664 -0.38124762150002506 12
CUNI-Transfer.375 nunatsiaq-20191025 61.22727272727273 -0.046127959261375716 22
CUNI-Transfer.375 nunatsiaq-20191025-2 74.33333333333333 0.0001617562869164788 9
CUNI-Transfer.375 nunatsiaq-20191025-3 73.07692307692308 0.07370567265529603 13
CUNI-Transfer.375 nunatsiaq-20191030 64.95454545454545 -0.2653884746734192 11
CUNI-Transfer.375 nunatsiaq-20191031 75.875 0.1033446462016139 16
CUNI-Transfer.375 nunatsiaq-20191104 62.1 -0.08911545486925039 10
CUNI-Transfer.375 nunatsiaq-20191106 67.6923076923077 -0.011983596244099922 13
CUNI-Transfer.375 nunatsiaq-20191107 70.28333333333333 0.10442401276561206 30
CUNI-Transfer.375 nunatsiaq-20191108 70.38461538461539 -0.04913137031773729 13
CUNI-Transfer.375 nunatsiaq-20191112 63.666666666666664 -0.1764600451727186 15
CUNI-Transfer.375 nunatsiaq-20191114 71.23076923076923 0.020910955235368497 13
CUNI-Transfer.375 nunatsiaq-20191114-2 64.75 -0.1310890464490441 18
CUNI-Transfer.375 nunatsiaq-20191121 79.5 0.3394655613261553 11
CUNI-Transfer.375 nunatsiaq-20191125 69.15384615384616 0.06596185188157798 13
CUNI-Transfer.375 nunatsiaq-20191127 63.9078947368421 -0.11411346234889037 19
CUNI-Transfer.375 nunatsiaq-20191128 59.9 -0.2792166734637708 20
CUNI-Transfer.375 nunatsiaq-20191128-2 55.55 -0.44791583023193526 10
CUNI-Transfer.375 nunatsiaq-20191129 73.78571428571429 0.29968970711594584 7
Facebook_AI.729 Hansard_20180319 73.07352941176471 0.17363010447171662 612
Facebook_AI.729 nunatsiaq-20190905 69.57142857142857 0.14140094550500532 49
Facebook_AI.729 nunatsiaq-20190911 76.76315789473684 0.3077657107880453 19
Facebook_AI.729 nunatsiaq-20190920 65.28571428571429 -0.08767841129502149 14
Facebook_AI.729 nunatsiaq-20190923 84.0 0.4553877219054481 11
Facebook_AI.729 nunatsiaq-20190924 68.66666666666667 0.28143249636630063 12
Facebook_AI.729 nunatsiaq-20190926 73.0 0.4180308627835457 9
Facebook_AI.729 nunatsiaq-20190926-2 80.93333333333334 0.4210795594472529 15
Facebook_AI.729 nunatsiaq-20190930 62.55 -0.19540867835260298 10
Facebook_AI.729 nunatsiaq-20191002 80.11111111111111 0.35494874545695265 9
Facebook_AI.729 nunatsiaq-20191007 72.35 0.16344158263894742 20
Facebook_AI.729 nunatsiaq-20191009 68.6923076923077 -0.0395853888105895 13
Facebook_AI.729 nunatsiaq-20191010 70.82352941176471 -0.01697352605733029 17
Facebook_AI.729 nunatsiaq-20191010-2 87.08333333333333 0.4939835712831517 6
Facebook_AI.729 nunatsiaq-20191011 62.80769230769231 -0.005434444241171241 13
Facebook_AI.729 nunatsiaq-20191017 67.41666666666667 0.010983526715817113 6
Facebook_AI.729 nunatsiaq-20191017-2 74.04347826086956 0.2465099752022678 23
Facebook_AI.729 nunatsiaq-20191018 67.75 -0.13104050807434414 10
Facebook_AI.729 nunatsiaq-20191022 71.875 0.09254358994574008 12
Facebook_AI.729 nunatsiaq-20191025 76.02631578947368 0.2855759448867836 19
Facebook_AI.729 nunatsiaq-20191025-2 88.25 0.5427036506646601 10
Facebook_AI.729 nunatsiaq-20191025-3 78.38888888888889 0.4165613822948745 9
Facebook_AI.729 nunatsiaq-20191030 76.65384615384616 0.36449119831880233 13
Facebook_AI.729 nunatsiaq-20191031 73.32142857142857 0.018764100192792215 14
Facebook_AI.729 nunatsiaq-20191104 59.357142857142854 -0.3094652929012177 14
Facebook_AI.729 nunatsiaq-20191106 76.75 0.22394732613534296 12
Facebook_AI.729 nunatsiaq-20191107 68.97826086956522 0.06372609149983129 23
Facebook_AI.729 nunatsiaq-20191108 78.52173913043478 0.2629262190421341 23
Facebook_AI.729 nunatsiaq-20191112 81.75 0.47727097591317563 18
Facebook_AI.729 nunatsiaq-20191114 79.2 0.47628715625332757 10
Facebook_AI.729 nunatsiaq-20191114-2 75.6590909090909 0.404822866802788 22
Facebook_AI.729 nunatsiaq-20191121 60.55555555555556 -0.2788506072981711 9
Facebook_AI.729 nunatsiaq-20191125 71.72727272727273 0.10390260477332096 11
Facebook_AI.729 nunatsiaq-20191127 72.63636363636364 0.056731655007049485 22
Facebook_AI.729 nunatsiaq-20191128 68.5 -0.11954037850978053 11
Facebook_AI.729 nunatsiaq-20191128-2 52.5 -0.6290190544111575 8
Facebook_AI.729 nunatsiaq-20191129 68.625 0.037388540554563185 8
Groningen.1301 Hansard_20180319 73.42808219178082 0.20308634366720538 584
Groningen.1301 nunatsiaq-20190905 66.56122448979592 -0.07595086469134407 49
Groningen.1301 nunatsiaq-20190911 66.2 0.05824412746324969 15
Groningen.1301 nunatsiaq-20190920 64.04166666666667 -0.2810734323147173 12
Groningen.1301 nunatsiaq-20190923 65.0 -0.022257180156813522 4
Groningen.1301 nunatsiaq-20190924 62.083333333333336 -0.13051170790403754 18
Groningen.1301 nunatsiaq-20190926 94.85714285714286 0.7415550094664016 7
Groningen.1301 nunatsiaq-20190926-2 55.4 -0.3659285706856409 10
Groningen.1301 nunatsiaq-20190930 33.142857142857146 -0.9224878554809072 7
Groningen.1301 nunatsiaq-20191002 67.61111111111111 0.04078704409141092 9
Groningen.1301 nunatsiaq-20191007 69.65384615384616 -0.15065882937457745 13
Groningen.1301 nunatsiaq-20191009 73.01923076923077 0.15192495467826658 26
Groningen.1301 nunatsiaq-20191010 73.04166666666667 0.07408744481222179 12
Groningen.1301 nunatsiaq-20191010-2 72.66666666666667 -0.414118303756736 3
Groningen.1301 nunatsiaq-20191011 66.38461538461539 -0.1935271844154574 13
Groningen.1301 nunatsiaq-20191017 76.0 0.3874013915835655 6
Groningen.1301 nunatsiaq-20191017-2 72.56521739130434 0.11653709768863393 23
Groningen.1301 nunatsiaq-20191018 56.285714285714285 -0.4363609715033287 7
Groningen.1301 nunatsiaq-20191022 69.0 -0.26971815566364665 15
Groningen.1301 nunatsiaq-20191025 57.61764705882353 -0.4931433970663465 17
Groningen.1301 nunatsiaq-20191025-2 66.3076923076923 0.12895802723223035 13
Groningen.1301 nunatsiaq-20191025-3 55.45 -0.34556866028069677 10
Groningen.1301 nunatsiaq-20191030 72.76923076923077 0.09631729229149709 13
Groningen.1301 nunatsiaq-20191031 66.375 0.07123406986395023 16
Groningen.1301 nunatsiaq-20191104 68.66666666666667 -0.11071825637582663 9
Groningen.1301 nunatsiaq-20191106 77.5 0.3195939737879542 6
Groningen.1301 nunatsiaq-20191107 63.74074074074074 -0.011441574451839201 27
Groningen.1301 nunatsiaq-20191108 75.78571428571429 0.37724207658159764 14
Groningen.1301 nunatsiaq-20191112 61.34615384615385 -0.16528293102231548 13
Groningen.1301 nunatsiaq-20191114 55.142857142857146 -0.45298589599480404 7
Groningen.1301 nunatsiaq-20191114-2 71.0 0.15629577328351588 15
Groningen.1301 nunatsiaq-20191121 68.625 0.01367777585897162 8
Groningen.1301 nunatsiaq-20191125 74.875 0.24561314606518975 8
Groningen.1301 nunatsiaq-20191127 75.75 0.1666078895966394 14
Groningen.1301 nunatsiaq-20191128 69.53333333333333 0.006686355978164138 15
Groningen.1301 nunatsiaq-20191128-2 64.58333333333333 -0.16356120805123767 12
Groningen.1301 nunatsiaq-20191129 73.33333333333333 0.3900858161731644 3
Helsinki.994 Hansard_20180319 73.01351351351352 0.1222326605770651 592
Helsinki.994 nunatsiaq-20190905 60.931372549019606 -0.2208117397727934 51
Helsinki.994 nunatsiaq-20190911 67.19444444444444 -0.22813034669103707 18
Helsinki.994 nunatsiaq-20190920 76.03846153846153 0.29855269775472537 13
Helsinki.994 nunatsiaq-20190923 58.18181818181818 -0.29735010223184344 11
Helsinki.994 nunatsiaq-20190924 76.375 0.25686048680619394 16
Helsinki.994 nunatsiaq-20190926 53.5 -0.4491163641452169 6
Helsinki.994 nunatsiaq-20190926-2 73.33333333333333 0.2584273917373663 12
Helsinki.994 nunatsiaq-20190930 66.25 -0.27346929151153726 10
Helsinki.994 nunatsiaq-20191002 75.0 -0.09533092570270739 11
Helsinki.994 nunatsiaq-20191007 68.07142857142857 0.03902252398510934 14
Helsinki.994 nunatsiaq-20191009 71.26315789473684 0.08923908628187989 19
Helsinki.994 nunatsiaq-20191010 72.78571428571429 0.26247776707481646 14
Helsinki.994 nunatsiaq-20191010-2 64.66666666666667 -0.10520083692051263 3
Helsinki.994 nunatsiaq-20191011 70.5 0.060883928845823936 11
Helsinki.994 nunatsiaq-20191017 62.0 -0.10716327461883621 4
Helsinki.994 nunatsiaq-20191017-2 75.34210526315789 0.15245441167894552 19
Helsinki.994 nunatsiaq-20191018 69.44444444444444 0.11292064733835407 9
Helsinki.994 nunatsiaq-20191022 70.94117647058823 -0.030488000133120512 17
Helsinki.994 nunatsiaq-20191025 61.02272727272727 -0.26064645119328633 22
Helsinki.994 nunatsiaq-20191025-2 68.85714285714286 0.1782252559705488 7
Helsinki.994 nunatsiaq-20191025-3 74.89285714285714 0.1948782945115821 14
Helsinki.994 nunatsiaq-20191030 69.28125 -0.06491918544276659 16
Helsinki.994 nunatsiaq-20191031 66.35 -0.07771277787514863 10
