SYS SEGID RAW.SCR Z.SCR N SID
Online-A.1570 denik.cz.201552::1 92.0 0.596551469979725 1 656
Online-A.1570 denik.cz.201552::2 95.0 0.693532890925643 1 657
Online-A.1570 denik.cz.201552::3 18.0 -1.7956569133529199 1 658
Online-A.1570 denik.cz.201552::4 81.0 0.240952926511359 1 659
Online-A.1570 denik.cz.201552::5 11.0 -2.02194689556006 1 660
Online-A.1570 denik.cz.201552::6 65.0 -0.276281318533537 1 661
Online-A.1570 blesk.cz.189703::1 89.5 0.26634452955794397 2 632
Online-A.1570 blesk.cz.189703::2 92.0 0.5707884826504599 2 633
Online-A.1570 blesk.cz.189703::3 77.0 -0.605721455615565 2 634
Online-A.1570 blesk.cz.189703::4 78.5 -0.497358372935949 2 635
Online-A.1570 blesk.cz.189703::5 84.5 -0.13024826469596198 2 636
Online-A.1570 blesk.cz.189703::6 89.0 0.27445165031705604 2 637
Online-A.1570 novinky.cz.121105::1 80.0 -0.20323706731660102 2 471
Online-A.1570 novinky.cz.121105::2 87.0 0.041511243439601 2 472
Online-A.1570 novinky.cz.121105::3 86.5 0.0363499197030175 2 473
Online-A.1570 novinky.cz.121105::4 95.0 0.7344408700269092 2 474
Online-A.1570 novinky.cz.121105::5 91.0 0.387976056733255 2 475
Online-A.1570 novinky.cz.121105::6 82.0 -0.34181310631861 2 476
Online-A.1570 ceskapozice.cz.6572::1 76.0 -0.43072876876246796 1 466
Online-A.1570 ceskapozice.cz.6572::2 100.0 0.815731155213864 1 467
Online-A.1570 ceskapozice.cz.6572::3 75.0 -0.48266459892814895 1 468
Online-A.1570 ceskapozice.cz.6572::4 76.0 -0.43072876876246796 1 469
Online-A.1570 ceskapozice.cz.6572::5 51.0 -1.72912452290448 1 470
Online-A.1570 respekt.cz.12345::1 100.0 0.815731155213864 1 8
Online-A.1570 respekt.cz.12345::2 76.0 -0.43072876876246796 1 9
Online-A.1570 respekt.cz.12345::3 99.0 0.763795325048183 1 10
Online-A.1570 respekt.cz.12345::4 75.0 -0.48266459892814895 1 11
Online-A.1570 respekt.cz.12345::5 75.0 -0.48266459892814895 1 12
Online-A.1570 respekt.cz.12345::6 76.0 -0.43072876876246796 1 13
Online-A.1570 ctk.cz.141901::1 85.0 -0.41630775922356605 1 265
Online-A.1570 ctk.cz.141901::2 99.0 0.578683172144802 1 266
Online-A.1570 ctk.cz.141901::3 96.0 0.36547082970872297 1 267
Online-A.1570 ctk.cz.141901::4 99.0 0.578683172144802 1 268
Online-A.1570 ctk.cz.141901::5 99.0 0.578683172144802 1 269
Online-A.1570 ctk.cz.141891::1 95.0 0.294400048896697 2 59
Online-A.1570 ctk.cz.141891::2 99.0 0.578683172144802 1 60
Online-A.1570 ctk.cz.141891::3 98.0 0.507612391332776 2 61
Online-A.1570 ctk.cz.141891::4 99.0 0.578683172144802 1 62
Online-A.1570 ctk.cz.141891::5 99.5 0.614218562550815 2 63
Online-A.1570 ctk.cz.141891::6 99.0 0.578683172144802 1 64
Online-A.1570 ctk.cz.141891::7 98.0 0.507612391332775 2 65
Online-A.1570 denik.cz.201566::1 86.25 0.220486886897695 4 371
Online-A.1570 denik.cz.201566::2 67.0 -0.80990633175174 2 372
Online-A.1570 denik.cz.201566::3 63.5 -0.97333981712491 2 373
Online-A.1570 denik.cz.201566::4 82.5 0.05999169770706 2 374
Online-A.1570 novinky.cz.121123::1 99.0 0.9830398382589871 1 614
Online-A.1570 novinky.cz.121123::2 87.0 0.332955381453307 1 615
Online-A.1570 novinky.cz.121123::3 94.0 0.712171314589953 1 616
Online-A.1570 novinky.cz.121123::4 74.0 -0.37130278008617995 1 617
Online-A.1570 novinky.cz.121123::5 66.0 -0.8046924179566329 1 618
Online-A.1570 novinky.cz.121123::6 94.0 0.712171314589953 1 619
Online-A.1570 novinky.cz.121123::7 95.0 0.76634501932376 1 620
Online-A.1570 novinky.cz.121123::8 90.0 0.49547649565472707 1 621
Online-A.1570 novinky.cz.121123::9 99.0 0.9830398382589871 1 622
Online-A.1570 novinky.cz.121123::10 95.0 0.76634501932376 1 623
Online-A.1570 blesk.cz.189625::1 33.5 -1.8616963513494298 2 570
Online-A.1570 blesk.cz.189625::2 43.5 -1.1605048868128898 2 571
Online-A.1570 blesk.cz.189625::3 37.5 -1.5812197655348101 2 572
Online-A.1570 blesk.cz.189625::4 33.0 -1.8967559245762602 2 573
Online-A.1570 blesk.cz.189625::5 27.0 -2.31747080329818 2 574
Online-A.1570 novinky.cz.121093::1 96.0 0.39368056961531 2 363
Online-A.1570 novinky.cz.121093::2 57.0 -2.0482810566041803 2 364
Online-A.1570 novinky.cz.121093::3 69.0 -1.30668912195127 2 365
Online-A.1570 novinky.cz.121093::4 97.0 0.476671789901416 2 366
Online-A.1570 novinky.cz.121093::5 96.0 0.413547968738776 2 367
Online-A.1570 novinky.cz.121093::6 98.5 0.571357521645375 2 368
Online-A.1570 novinky.cz.121093::7 97.5 0.512207180307429 2 369
Online-A.1570 novinky.cz.121093::8 84.5 -0.31237597463158195 2 370
Online-A.1570 ihned.cz.155592::1 83.0 -0.558449320847619 1 66
Online-A.1570 ihned.cz.155592::2 97.5 0.47207700092676297 2 67
Online-A.1570 ihned.cz.155592::3 98.0 0.507612391332776 1 68
Online-A.1570 ihned.cz.155592::4 83.5 -0.5229139304416061 2 69
Online-A.1570 ihned.cz.155592::5 90.5 -0.0254184647574215 2 70
Online-A.1570 blesk.cz.189669::1 98.0 0.507612391332776 1 333
Online-A.1570 blesk.cz.189669::2 98.0 0.507612391332776 1 334
Online-A.1570 blesk.cz.189669::3 79.0 -0.8427324440957241 1 335
Online-A.1570 respekt.cz.12340::1 99.5 0.868637006736001 4 547
Online-A.1570 respekt.cz.12340::2 76.25 -0.47172652750496097 4 548
Online-A.1570 respekt.cz.12340::3 95.5 0.6735059176703679 2 549
Online-A.1570 respekt.cz.12340::4 89.0 0.244977855210624 2 550
Online-A.1570 respekt.cz.12340::5 88.25 0.308686814466098 4 551
Online-A.1570 respekt.cz.12340::6 82.5 -0.283846245704399 2 552
Online-A.1570 novinky.cz.121092::1 65.5 -0.9237053015955972 2 599
Online-A.1570 novinky.cz.121092::2 86.5 0.189884950181456 2 600
