SYS SEGID RAW.SCR Z.SCR N SID
OPPO.1360 pnp.de.342686::1 100.0 1.7804450025891199 1 571
OPPO.1360 pnp.de.342686::2 75.0 -0.25823279254007 2 572
OPPO.1360 pnp.de.342686::3 81.5 0.27182343419352 2 573
OPPO.1360 pnp.de.342686::4 84.0 0.47569121370643896 1 574
OPPO.1360 pnp.de.342686::5 89.5 0.9242003286348599 2 575
OPPO.1360 pnp.de.342686::6 79.0 0.0679556546806007 2 576
OPPO.1360 pnp.de.342686::7 86.0 0.638785437316774 1 577
OPPO.1360 pnp.de.342686::8 87.0 0.7203325491219421 1 578
OPPO.1360 pnp.de.342686::9 84.0 0.47569121370643896 1 579
OPPO.1360 pnp.de.342686::10 68.0 -0.8290625751762429 1 580
OPPO.1360 yahoo-de.127759::1 100.0 0.42783183643027 2 424
OPPO.1360 yahoo-de.127759::2 99.0 0.34532753383088893 2 425
OPPO.1360 yahoo-de.127759::5 99.5 0.38657968513057894 2 428
OPPO.1360 yahoo-de.127759::6 96.5 0.13906677733243802 2 429
OPPO.1360 yahoo-de.127759::9 99.0 0.34532753383088893 2 432
OPPO.1360 yahoo-de.127759::10 99.5 0.38657968513057894 2 433
OPPO.1360 yahoo-de.127759::11 99.0 0.34532753383088893 2 434
OPPO.1360 yahoo-de.127759::3 87.0 -0.6447240973616779 1 426
OPPO.1360 yahoo-de.127759::4 100.0 0.42783183643027 1 427
OPPO.1360 yahoo-de.127759::7 88.0 -0.562219794762297 1 430
OPPO.1360 yahoo-de.127759::8 99.0 0.34532753383088893 1 431
OPPO.1360 yahoo-de.127759::12 99.0 0.34532753383088893 1 435
OPPO.1360 shz.de.83946::1 99.0 0.34532753383088893 1 119
OPPO.1360 shz.de.83946::2 99.0 0.34532753383088893 1 120
OPPO.1360 shz.de.83946::3 99.0 0.34532753383088893 1 121
OPPO.1360 shz.de.83946::4 100.0 0.42783183643027 1 122
OPPO.1360 shz.de.83946::5 100.0 0.42783183643027 1 123
OPPO.1360 shz.de.83946::6 99.0 0.34532753383088893 1 124
OPPO.1360 shz.de.83946::7 91.0 -0.31470688696415505 1 125
OPPO.1360 shz.de.83946::8 99.0 0.34532753383088893 1 126
OPPO.1360 shz.de.83946::9 100.0 0.42783183643027 1 127
OPPO.1360 shz.de.83946::10 83.0 -0.9747413077591999 1 128
OPPO.1360 shz.de.83946::11 99.0 0.34532753383088893 1 129
OPPO.1360 azonline.de.41749::1 98.0 0.7123549820185969 6 761
OPPO.1360 oberpfalznetz.de.53734::1 92.0 0.4284727215320279 3 494
OPPO.1360 oberpfalznetz.de.53734::2 99.0 0.7688900388419829 3 495
OPPO.1360 oberpfalznetz.de.53734::3 92.6666666666667 0.528770715748706 3 496
OPPO.1360 freiepresse.de.177107::1 97.0 0.6853039343922529 3 649
OPPO.1360 freiepresse.de.177107::2 99.6666666666667 0.80658007672424 3 650
OPPO.1360 freiepresse.de.177107::3 79.6666666666667 -0.23493283068700602 3 651
OPPO.1360 freiepresse.de.177107::4 90.3333333333333 0.35783483418401896 3 652
OPPO.1360 azonline.de.41749::2 86.3333333333333 0.11414178976471198 3 762
OPPO.1360 dzonline.de.221464::1 90.6666666666667 0.323364178563663 3 353
OPPO.1360 dzonline.de.221464::2 88.0 -0.024733977029262 3 354
OPPO.1360 dzonline.de.221464::3 86.0 -0.123648343934431 3 355
OPPO.1360 dzonline.de.221464::4 86.6666666666667 -0.0953954705465756 3 356
OPPO.1360 dzonline.de.221464::5 96.6666666666667 0.5540471278183621 3 357
