SYS SEGID RAW.SCR Z.SCR N SID
PROMT_NMT.73 en.ndtv.com.12997::1 39.0 -1.69579845320916 2 78
PROMT_NMT.73 huffingtonpost.com.19334::8 71.5 -0.16532484905859698 2 580
PROMT_NMT.73 huffingtonpost.com.19334::11 71.0 -0.136429818401059 2 583
PROMT_NMT.73 independent.281332::22 89.0 0.9410753170504449 2 983
PROMT_NMT.73 huffingtonpost.com.19347::4 33.3333333333333 -0.9293356100403659 3 646
PROMT_NMT.73 scotsman.155294::5 100.0 0.8709429235186359 2 416
PROMT_NMT.73 seattle_times.7059::9 72.0 0.0559673912005299 2 1142
PROMT_NMT.73 seattle_times.7059::13 81.5 0.37494023150258005 2 1146
PROMT_NMT.73 seattle_times.7059::12 96.5 0.8475508646999109 2 1145
PROMT_NMT.73 telegraph.421295::8 70.5 0.23302201445657603 2 1360
PROMT_NMT.73 metro.co.uk.12069::3 84.0 0.23069085295436398 4 351
PROMT_NMT.73 metro.co.uk.12069::6 93.5 0.6961649260484929 2 354
PROMT_NMT.73 euronews-en.185708::11 97.5 0.412502938377557 2 641
PROMT_NMT.73 standard.co.uk.14676::14 95.0 0.477980465374099 1 243
PROMT_NMT.73 standard.co.uk.14676::16 97.0 0.543502119297896 1 245
PROMT_NMT.73 en.ndtv.com.13041::5 93.5 0.45711866379270294 2 1409
PROMT_NMT.73 en.ndtv.com.13041::6 96.5 0.564214016496968 2 1410
PROMT_NMT.73 en.ndtv.com.13041::7 96.0 0.546364791046258 1 1411
PROMT_NMT.73 en.ndtv.com.13041::9 96.0 0.546364791046258 1 1413
PROMT_NMT.73 huffingtonpost.com.19368::6 57.5 -0.437701380299745 2 567
PROMT_NMT.73 huffingtonpost.com.19334::10 48.0 -1.28136855697528 2 582
PROMT_NMT.73 independent.281332::14 91.25 1.03420306670436 4 975
PROMT_NMT.73 seattle_times.7141::5 73.5 -0.054266689755873 2 465
PROMT_NMT.73 huffingtonpost.com.19347::1 48.3333333333333 -0.36900655466451004 3 643
PROMT_NMT.73 huffingtonpost.com.19347::14 79.0 0.7365558967999309 3 656
PROMT_NMT.73 abcnews.364001::4 46.0 -0.319234172185855 2 1346
PROMT_NMT.73 scotsman.155294::7 96.5 0.7476915523471329 2 418
PROMT_NMT.73 en.ndtv.com.12997::9 48.0 -1.05690104637541 2 86
PROMT_NMT.73 en.ndtv.com.13004::4 86.0 0.496002926060993 2 781
PROMT_NMT.73 seattle_times.7803::11 90.3333333333333 0.30446287793564397 3 1301
PROMT_NMT.73 abcnews.363994::5 65.0 0.096189947975945 2 1317
PROMT_NMT.73 rte.en.ie.5333::5 82.5 0.232096611068802 2 106
PROMT_NMT.73 cnn.385672::6 87.0 0.32907494184643105 2 138
PROMT_NMT.73 metro.co.uk.12069::4 94.5 0.7485567257134479 4 352
PROMT_NMT.73 metro.co.uk.12069::14 94.75 0.760806043426452 4 362
PROMT_NMT.73 rt.com.113876::11 96.0 0.576016773456234 1 374
PROMT_NMT.73 en.ndtv.com.13041::1 97.0 0.5820632419476789 2 1405
PROMT_NMT.73 en.ndtv.com.13041::12 94.0 0.47496788924341404 1 1416
PROMT_NMT.73 en.ndtv.com.13041::2 100.0 0.6891585946519441 1 1406
PROMT_NMT.73 standard.co.uk.14676::10 97.0 0.543502119297896 1 239
PROMT_NMT.73 en.ndtv.com.12997::2 66.5 0.11826086367615599 2 79
PROMT_NMT.73 en.ndtv.com.12997::4 50.5 -0.948493146474932 2 81
PROMT_NMT.73 huffingtonpost.com.19334::2 94.75 0.719316312080043 4 574
PROMT_NMT.73 seattle_times.7141::2 96.5 0.8624629136848431 2 462
PROMT_NMT.73 huffingtonpost.com.19347::6 68.6666666666667 0.333172302253023 3 648
PROMT_NMT.73 scotsman.155294::3 96.0 0.7300842136083471 2 414
PROMT_NMT.73 aj-english.8643::2 72.5 0.419877984635978 2 202
PROMT_NMT.73 en.ndtv.com.12997::17 66.5 -0.254682587111851 2 94
PROMT_NMT.73 en.ndtv.com.12997::11 62.5 0.0691227074313875 2 88
PROMT_NMT.73 seattle_times.7059::1 97.5 0.880125963036779 2 1134
PROMT_NMT.73 gateway-zh.135::4 45.5 -0.8886988171969749 2 997
PROMT_NMT.73 rte.en.ie.5343::10 70.5 0.27026046203766 2 1342
PROMT_NMT.73 telegraph.421295::2 24.0 -1.8856830856956202 2 1354
PROMT_NMT.73 rte.en.ie.5333::4 93.0 0.680312266186492 2 105
PROMT_NMT.73 metro.co.uk.12069::2 72.75 -0.154196532296644 4 350
PROMT_NMT.73 euronews-en.185708::10 90.0 0.17175494784613402 2 640
PROMT_NMT.73 rt.com.113876::2 92.5 0.46503088261688297 2 365
PROMT_NMT.73 rt.com.113876::8 98.0 0.6394372825072919 1 371
PROMT_NMT.73 sky.com.20667::5 96.0 0.576016773456234 2 1074
PROMT_NMT.73 express.co.uk.11102::1 98.0 0.587837208840151 1 658
PROMT_NMT.73 express.co.uk.11102::2 98.0 0.587837208840151 1 659
PROMT_NMT.73 metro.co.uk.12122::1 92.0 0.378642472598104 1 516
PROMT_NMT.73 huffingtonpost.com.19368::3 81.5 0.26293466178151503 2 564
PROMT_NMT.73 independent.281332::6 90.5 1.02072422510816 2 967
PROMT_NMT.73 independent.281332::1 89.5 0.9895796300969059 2 962
PROMT_NMT.73 abcnews.363979::2 92.5 0.68810208442467 4 1348
PROMT_NMT.73 huffingtonpost.com.19347::12 40.0 -0.697859202111146 3 654
PROMT_NMT.73 huffingtonpost.com.19347::7 42.0 -0.6270818807091251 3 649
PROMT_NMT.73 huffingtonpost.com.19347::13 52.0 -0.269077487108 3 655
PROMT_NMT.73 abcnews.364001::1 23.5 -1.2170164456946 2 1343
PROMT_NMT.73 allafrica.15314::6 99.5 1.17480283156001 2 789
PROMT_NMT.73 allafrica.15314::9 93.0 0.887486393611962 2 792
PROMT_NMT.73 en.ndtv.com.12997::18 55.0 -0.629044443058064 2 95
PROMT_NMT.73 en.ndtv.com.12997::19 59.0 -0.621344448011963 2 96
PROMT_NMT.73 en.ndtv.com.13004::1 61.25 -0.28445526228999 4 778
PROMT_NMT.73 gateway-zh.135::7 51.25 -0.578708843481568 4 1000
PROMT_NMT.73 abcnews.363994::1 62.0 -0.143056589525327 2 1313
PROMT_NMT.73 telegraph.421295::5 73.5 0.42572049248149296 2 1357
PROMT_NMT.73 telegraph.421295::6 42.0 -1.05998343982823 2 1358
PROMT_NMT.73 rte.en.ie.5343::6 81.75 0.749666143867142 4 1338
PROMT_NMT.73 cnbc.com.33999::2 97.0 0.42900640710503707 2 174
PROMT_NMT.73 standard.co.uk.14676::7 81.0 0.0193288879075202 1 236
PROMT_NMT.73 rt.com.113876::6 97.0 0.6077270279817629 2 369
PROMT_NMT.73 sky.com.20667::9 96.0 0.576016773456234 2 1078
PROMT_NMT.73 express.co.uk.11102::10 97.0 0.552971419466477 1 667
PROMT_NMT.73 express.co.uk.11102::3 96.0 0.518105630092802 1 660
PROMT_NMT.73 en.ndtv.com.13041::14 97.0 0.5820632419476789 1 1418
PROMT_NMT.73 metro.co.uk.12122::5 96.0 0.518105630092802 1 520
PROMT_NMT.73 huffingtonpost.com.19368::2 67.75 -0.127869364162609 4 563
PROMT_NMT.73 independent.281332::5 92.5 1.1027726244551799 2 966
PROMT_NMT.73 independent.281332::3 92.0 1.08061392384138 2 964
PROMT_NMT.73 independent.281332::12 78.75 0.476942349805375 4 973
PROMT_NMT.73 abcnews.363979::1 89.75 0.553690720268697 4 1347
PROMT_NMT.73 huffingtonpost.com.19347::2 57.0 -0.028467054203226004 3 644
PROMT_NMT.73 kcal.270::3 98.0 0.735497691519778 2 680
PROMT_NMT.73 allafrica.15314::15 92.0 0.843283864696877 2 798
PROMT_NMT.73 seattle_times.7059::4 79.0 0.291000010370461 2 1137
PROMT_NMT.73 seattle_times.7059::3 97.0 0.864338908926335 2 1136
PROMT_NMT.73 telegraph.421295::9 53.0 -0.5768530392233779 2 1361
PROMT_NMT.73 telegraph.421295::10 85.5 0.940500077461208 2 1362
PROMT_NMT.73 rte.en.ie.5333::6 94.5 0.7457493944440899 2 107
PROMT_NMT.73 rte.en.ie.5333::13 63.0 -0.593975449566228 2 114
PROMT_NMT.73 metro.co.uk.12069::11 81.25 0.140077232679569 4 359
PROMT_NMT.73 euronews-en.185708::5 70.0 -0.772520659226566 2 635
PROMT_NMT.73 cnbc.com.33999::7 97.5 0.412502938377557 2 179
PROMT_NMT.73 huffingtonpost.com.19368::5 57.0 -0.4656946842969771 2 566
PROMT_NMT.73 huffingtonpost.com.19368::4 54.0 -0.542095469734696 4 565
PROMT_NMT.73 huffingtonpost.com.19334::5 90.0 0.45919277779278495 2 577
PROMT_NMT.73 independent.281332::16 89.0 0.950954921712694 4 977
PROMT_NMT.73 independent.281332::2 80.5 0.567670608169995 4 963
PROMT_NMT.73 seattle_times.7141::1 93.0 0.6531286113561221 2 461
PROMT_NMT.73 en.ndtv.com.13143::5 54.0 -0.581996558212599 2 1098
PROMT_NMT.73 medicaldaily.com.20065::3 71.5 0.18907294068653602 2 469
PROMT_NMT.73 en.ndtv.com.13143::11 81.0 0.608034786149656 2 1104
PROMT_NMT.73 allafrica.15314::1 85.0 0.533866162291289 2 784
PROMT_NMT.73 allafrica.15314::17 88.0 0.666473749036542 2 800
PROMT_NMT.73 allafrica.15314::3 99.5 1.17480283156001 2 786
PROMT_NMT.73 seattle_times.7452::7 97.5 0.7829062298247049 2 497
PROMT_NMT.73 seattle_times.7452::6 96.0 0.7300842136083471 2 496
PROMT_NMT.73 en.ndtv.com.12997::13 47.0 -0.9759497227396059 2 90
PROMT_NMT.73 seattle_times.7059::5 65.5 -0.165280154090919 2 1138
PROMT_NMT.73 seattle_times.7059::11 83.0 0.417296443254011 2 1144
PROMT_NMT.73 en.ndtv.com.13004::2 38.0 -1.03156614993336 2 779
PROMT_NMT.73 nytimes.231903::3 29.0 -1.35477173844457 2 1090
PROMT_NMT.73 seattle_times.7803::5 86.0 0.20384358455857102 3 1295
PROMT_NMT.73 seattle_times.7803::9 88.3333333333333 0.27551897380600704 3 1299
PROMT_NMT.73 rte.en.ie.5343::1 77.5 0.5779186626929179 4 1333
PROMT_NMT.73 rte.en.ie.5343::2 56.75 -0.37670949373404206 4 1334
PROMT_NMT.73 metro.co.uk.12069::5 76.5 -0.129999620809854 2 353
PROMT_NMT.73 metro.co.uk.12069::13 46.0 -1.33927596150916 2 361
PROMT_NMT.73 metro.co.uk.12069::15 91.5 0.598170384344465 2 363
PROMT_NMT.73 metro.co.uk.12069::9 85.0 0.395102103446397 2 357
PROMT_NMT.73 standard.co.uk.14676::12 96.0 0.510741292335998 1 241
PROMT_NMT.73 rt.com.113876::4 97.0 0.6077270279817629 1 367
PROMT_NMT.73 sky.com.20667::7 81.5 0.11621808283606401 2 1076
PROMT_NMT.73 express.co.uk.11102::13 97.0 0.552971419466477 1 670
PROMT_NMT.73 metro.co.uk.12122::7 95.0 0.483239840719128 1 522
PROMT_NMT.73 metro.co.uk.12122::4 92.0 0.378642472598104 1 519
PROMT_NMT.73 en.ndtv.com.13041::10 96.0 0.546364791046258 1 1414
PROMT_NMT.73 independent.281332::23 84.0 0.7129019078043192 2 984
PROMT_NMT.73 independent.281332::10 90.0 0.985392718278037 4 971
PROMT_NMT.73 en.ndtv.com.13143::1 76.0 0.387658611267757 2 1094
PROMT_NMT.73 en.ndtv.com.13143::4 83.5 0.7189642131531421 2 1097
PROMT_NMT.73 abcnews.364001::2 20.5 -1.33317452620054 2 1344
PROMT_NMT.73 kcal.270::5 93.0 0.54293583971057 2 682
PROMT_NMT.73 seattle_times.7452::2 75.5 0.008183325318106999 2 492
PROMT_NMT.73 en.ndtv.com.12997::6 82.5 0.9363859066352379 2 83
PROMT_NMT.73 en.ndtv.com.12997::14 57.0 -0.33512731714434196 2 91
PROMT_NMT.73 nytimes.231903::5 33.5 -1.20968528110264 2 1092
