SYS SEGID RAW.SCR Z.SCR N SID
NRC.715 nunatsiaq-20191114::10 80.0 1.01719877187289 2 2754
NRC.715 nunatsiaq-20191114::13 56.0 0.26834078031002695 1 2757
NRC.715 nunatsiaq-20190920::11 71.0 0.494793113278185 1 1767
NRC.715 nunatsiaq-20191010::12 9.0 -0.713463378249096 1 2085
NRC.715 nunatsiaq-20191010::17 24.0 -0.134353493306648 1 2090
NRC.715 nunatsiaq-20191010::24 13.0 -0.559034075597777 1 2097
NRC.715 nunatsiaq-20191010::42 24.0 -0.134353493306648 1 2115
NRC.715 nunatsiaq-20190924::17 21.0 -0.7180903420702159 1 1835
NRC.715 nunatsiaq-20190924::35 100.0 2.0491846346881797 1 1853
NRC.715 nunatsiaq-20190924::34 58.0 0.5779751533735881 1 1852
NRC.715 nunatsiaq-20191009::8 53.5 -0.243107588019862 2 2030
NRC.715 nunatsiaq-20191009::15 72.0 0.49425086961719 2 2037
NRC.715 nunatsiaq-20191009::21 56.5 -0.0171094109840875 2 2043
NRC.715 nunatsiaq-20191009::24 68.0 0.311908652213535 2 2046
NRC.715 nunatsiaq-20191009::13 77.5 0.57206598520509 2 2035
NRC.715 nunatsiaq-20191031::12 92.0 1.3463456894244399 3 2459
NRC.715 nunatsiaq-20191018::1 84.0 1.19724890191267 1 2229
NRC.715 nunatsiaq-20191114::27 65.0 0.549162527146102 1 2771
NRC.715 nunatsiaq-20191127::12 80.3333333333333 0.592950887647272 3 2836
NRC.715 nunatsiaq-20191127::10 50.0 -0.64320381868412 4 2834
NRC.715 nunatsiaq-20191127::2 23.3333333333333 -1.4699071844657001 3 2826
NRC.715 nunatsiaq-20191114-2::16 71.5 0.44422565933760205 2 2709
NRC.715 nunatsiaq-20191114-2::30 91.0 1.0371346502399499 1 2723
NRC.715 nunatsiaq-20191114-2::42 82.0 0.7634843467465559 1 2735
NRC.715 nunatsiaq-20191114-2::8 74.5 0.535442427168732 2 2701
NRC.715 nunatsiaq-20191129::9 97.0 1.05852593265486 1 2955
NRC.715 nunatsiaq-20191022::26 23.0 -1.21787392251689 1 2281
NRC.715 nunatsiaq-20191129::18 75.0 0.381758408144343 1 2964
