SYS SEGID RAW.SCR Z.SCR N SID
Tilde.1430 thesun.co.uk.27296::5 53.0 -0.88479941791037 4 25
Tilde.1430 cnbc.com.33996::8 62.0 -0.27436776444836 3 950
Tilde.1430 en.ndtv.com.13009::11 78.5 0.505231304488321 4 82
Tilde.1430 thesun.co.uk.27296::8 85.0 0.732305910390635 4 28
Tilde.1430 en.ndtv.com.13155::9 54.0 -0.228650933401835 3 562
Tilde.1430 seattle_times.7024::6 57.75 -0.158874486315532 4 919
Tilde.1430 seattle_times.7024::2 39.0 -0.839407080197271 2 915
Tilde.1430 seattle_times.7024::16 76.75 0.8265706560103341 4 929
Tilde.1430 reuters.276576::3 67.5 0.41502946159521603 2 178
Tilde.1430 en.ndtv.com.12997::1 75.0 -0.16546279423285198 2 94
Tilde.1430 scotsman.155284::1 83.0 0.6790211410103371 2 1
Tilde.1430 scotsman.155284::10 97.5 1.17376107405342 2 10
Tilde.1430 scotsman.155284::20 90.5 0.9386871055114029 2 20
Tilde.1430 en.ndtv.com.13009::6 79.5 0.542411011166802 2 77
Tilde.1430 en.ndtv.com.13009::13 85.0 0.728503064634955 4 84
Tilde.1430 thesun.co.uk.27296::6 77.0 0.37010323255541994 2 26
Tilde.1430 en.ndtv.com.13155::13 54.0 -0.213109377123122 3 566
Tilde.1430 en.ndtv.com.13155::20 49.6666666666667 -0.32313563098452697 3 573
Tilde.1430 en.ndtv.com.13155::6 56.0 -0.18055805194486202 5 559
Tilde.1430 seattle_times.7024::11 64.25 0.179242331017805 4 924
Tilde.1430 seattle_times.7024::14 66.75 0.25922223636473896 4 927
Tilde.1430 cnbc.com.33996::2 67.3333333333333 0.153692358620008 3 944
Tilde.1430 cnbc.com.33996::9 75.6666666666667 0.6176429150242011 3 951
Tilde.1430 thesun.co.uk.27296::7 86.0 0.782331496405202 2 27
Tilde.1430 en.ndtv.com.13155::19 42.6666666666667 -0.6524800744252289 3 572
Tilde.1430 en.ndtv.com.13155::11 57.2 -0.080632686530533 5 564
Tilde.1430 en.ndtv.com.13155::2 62.4 0.0952247947724296 5 555
Tilde.1430 seattle_times.7024::7 40.5 -0.720417829662942 2 920
Tilde.1430 allafrica.15310::13 72.3333333333333 0.49297012217660396 3 1000
Tilde.1430 reuters.276576::2 69.0 0.49053409682477295 2 177
Tilde.1430 reuters.276576::20 62.5 0.18190423692167604 2 195
Tilde.1430 en.ndtv.com.12997::9 85.5 0.408994526819739 4 102
Tilde.1430 news.com.au.759149::14 68.5 -0.24212073171862802 2 475
Tilde.1430 scotsman.155284::13 57.0 -0.194186479992388 2 13
Tilde.1430 abcnews.364002::4 39.3333333333333 -1.0292222604723 3 866
Tilde.1430 abcnews.364002::7 76.0 0.667942951791539 3 869
Tilde.1430 guardian.260694::17 98.0 0.609089875345895 2 228
Tilde.1430 en.ndtv.com.12997::16 76.5 0.112819577925296 4 109
Tilde.1430 abcnews.363893::4 59.3333333333333 -0.293840495452519 3 316
Tilde.1430 cnbc.com.33996::3 57.0 -0.380269659673189 3 945
Tilde.1430 en.ndtv.com.13155::18 57.2 -0.0137073782679576 5 571
