SYS SEGID RAW.SCR Z.SCR N SID
zlabs-nlp.169 rt.com.113905::12 57.75 -0.931040492955462 4 425
zlabs-nlp.169 rte.en.ie.5281::1 76.5 -1.04660969716791 2 1251
zlabs-nlp.169 rte.en.ie.5281::9 94.0 0.287600456161177 2 1259
zlabs-nlp.169 independent.280913::4 70.5 -1.4531917317367 2 319
zlabs-nlp.169 reuters.276576::18 95.0 0.48075690092646894 2 348
zlabs-nlp.169 allafrica.15224::9 93.3333333333333 0.516971215742019 3 1764
zlabs-nlp.169 scotsman.155321::16 86.0 0.823210905966052 3 715
zlabs-nlp.169 scotsman.155321::20 61.6666666666667 -0.4259951544603571 3 719
zlabs-nlp.169 scotsman.155321::8 61.8 -0.943894043212595 5 707
zlabs-nlp.169 allafrica.15186::8 98.6666666666667 0.6913106441099599 3 1132
zlabs-nlp.169 brisbanetimes.com.au.225973::8 74.4 -0.0486681113823408 5 541
zlabs-nlp.169 brisbanetimes.com.au.225973::16 91.3333333333333 0.742902641995403 3 549
zlabs-nlp.169 guardian.260797::8 84.2 0.3675609109297249 5 794
zlabs-nlp.169 guardian.260797::12 81.6666666666667 0.155586407294669 6 798
zlabs-nlp.169 guardian.260797::9 88.8 0.685924143595858 5 795
zlabs-nlp.169 guardian.260797::10 76.0 -0.20908600358994897 6 796
zlabs-nlp.169 news.com.au.759106::14 77.5 -0.10336960714686601 2 1005
zlabs-nlp.169 news.com.au.759106::18 83.0 0.221327319588173 2 1009
zlabs-nlp.169 allafrica.15218::16 71.75 -0.14104537097857 4 1897
zlabs-nlp.169 allafrica.15218::19 66.0 -0.380007100780942 4 1900
zlabs-nlp.169 allafrica.15310::5 87.5 0.828700544819828 2 1973
zlabs-nlp.169 cnbc.com.33934::5 51.0 -0.632085037708716 3 863
zlabs-nlp.169 standard.co.uk.14568::2 61.5 -0.25795146670177105 2 169
zlabs-nlp.169 standard.co.uk.14568::15 75.5 0.585061735534149 2 182
zlabs-nlp.169 cnbc.com.33896::12 75.75 0.00590008108098851 4 312
zlabs-nlp.169 standard.co.uk.14514::10 38.6666666666667 -1.0023873027477 3 1122
zlabs-nlp.169 cnbc.com.33896::5 52.75 -0.9012467630379281 4 305
zlabs-nlp.169 cnbc.com.33896::11 74.0 -0.053124190373997 4 311
zlabs-nlp.169 stv.tv.21635::3 70.0 -0.23415667828801398 3 1286
zlabs-nlp.169 stv.tv.21635::10 76.0 0.04668440556390701 3 1293
zlabs-nlp.169 guardian.260694::12 56.5 -0.52650900681855 2 397
zlabs-nlp.169 guardian.260694::26 74.5 0.42046624452371595 2 411
zlabs-nlp.169 stv.tv.21635::6 68.3333333333333 -0.21099383226272897 3 1289
zlabs-nlp.169 guardian.260694::16 87.0 0.9901820872374509 2 401
zlabs-nlp.169 huffingtonpost.com.19299::19 67.5 -0.0815716951349648 2 641
zlabs-nlp.169 huffingtonpost.com.19299::22 56.0 -0.8547513926929341 2 644
zlabs-nlp.169 huffingtonpost.com.19299::23 73.5 -0.167222637097608 2 645
zlabs-nlp.169 rt.com.113905::6 91.0 0.482064693161647 2 419
zlabs-nlp.169 aj-english.8627::16 75.5 -0.211154977803735 2 1843
zlabs-nlp.169 seattle_times.7019::5 97.0 0.5519567661700601 2 732
zlabs-nlp.169 rte.en.ie.5281::26 72.0 -1.33921000131987 2 1276
zlabs-nlp.169 rte.en.ie.5293::4 97.5 0.6261698100784789 2 738
zlabs-nlp.169 huffingtonpost.com.19379::2 80.8 -0.37481488755856396 5 743
zlabs-nlp.169 huffingtonpost.com.19379::8 90.8 0.18521520147796802 5 749
zlabs-nlp.169 scotsman.155321::24 55.6666666666667 -0.7313068879428141 3 723
zlabs-nlp.169 scotsman.155321::14 80.8 0.446569452587039 5 713
zlabs-nlp.169 allafrica.15186::5 97.6 0.604714157244503 5 1129
zlabs-nlp.169 brisbanetimes.com.au.225973::4 82.0 0.23627578628134602 3 537
zlabs-nlp.169 brisbanetimes.com.au.225973::11 64.3333333333333 -0.238834396912334 3 544
zlabs-nlp.169 brisbanetimes.com.au.225973::19 65.3333333333333 -0.26936438273707697 3 552
zlabs-nlp.169 brisbanetimes.com.au.225973::6 72.6 -0.308285896663278 5 539
zlabs-nlp.169 foxnews.100074::10 91.0 0.5030740736061561 3 1464
zlabs-nlp.169 dailymail.co.uk.365144::5 97.5 0.707242435800012 4 1665
zlabs-nlp.169 dailymail.co.uk.365144::10 98.3333333333333 0.798678620001567 3 1670
zlabs-nlp.169 guardian.260797::1 85.2 0.446124169695068 5 787
zlabs-nlp.169 guardian.260797::22 82.3333333333333 0.169269751003407 3 808
zlabs-nlp.169 rte.en.ie.5312::14 63.0 -0.928964330934522 2 906
zlabs-nlp.169 news.com.au.759106::2 65.0 -0.808576268202855 2 993
zlabs-nlp.169 news.com.au.759106::15 72.0 -0.373797371356413 2 1006
zlabs-nlp.169 allafrica.15229::6 92.5 0.8872813600621371 2 1517
zlabs-nlp.169 allafrica.15229::9 91.5 0.8249540845244691 2 1520
zlabs-nlp.169 allafrica.15229::10 88.0 0.584823682919424 2 1521
zlabs-nlp.169 allafrica.15274::2 78.5 0.10013003215225 2 1801
zlabs-nlp.169 allafrica.15274::10 92.0 0.9859538975595151 2 1809
zlabs-nlp.169 allafrica.15310::4 86.5 0.7888666045500229 2 1972
zlabs-nlp.169 allafrica.15310::12 83.0 0.680853862336455 2 1980
zlabs-nlp.169 allafrica.15310::13 75.5 0.350693261582188 2 1981
zlabs-nlp.169 cnbc.com.33934::3 57.5 -0.199317489710989 4 861
zlabs-nlp.169 standard.co.uk.14568::5 73.0 0.3657350835567 2 172
zlabs-nlp.169 cnbc.com.33896::7 87.75 0.651536615932111 4 307
zlabs-nlp.169 cnbc.com.33896::6 84.0 0.3827068181159651 2 306
zlabs-nlp.169 guardian.260694::13 66.5 -0.11889345573677 2 398
zlabs-nlp.169 stv.tv.21635::5 76.6666666666667 0.122114026397905 3 1288
zlabs-nlp.169 huffingtonpost.com.19299::5 56.0 -0.579567832183173 2 627
zlabs-nlp.169 allafrica.15247::8 88.0 0.365625803595808 2 102
zlabs-nlp.169 aj-english.8627::1 64.0 -0.6853844163807671 2 1828
zlabs-nlp.169 aj-english.8627::5 95.5 0.68605575563323 2 1832
zlabs-nlp.169 aj-english.8627::6 68.0 -0.478164447593889 2 1833
zlabs-nlp.169 aj-english.8627::7 73.5 -0.28298525047318895 2 1834
zlabs-nlp.169 rt.com.113905::1 85.75 0.255845383879609 4 414
zlabs-nlp.169 rte.en.ie.5281::2 94.0 0.287600456161177 2 1252
zlabs-nlp.169 rte.en.ie.5281::25 99.5 0.727710479379734 2 1275
zlabs-nlp.169 scotsman.155321::11 73.6 -0.117062757625489 5 710
zlabs-nlp.169 brisbanetimes.com.au.225973::5 75.3333333333333 0.0928710069199317 3 538
zlabs-nlp.169 brisbanetimes.com.au.225973::13 73.8 -0.0856356642412981 5 546
zlabs-nlp.169 brisbanetimes.com.au.225973::15 95.3333333333333 0.8723274329258299 3 548
zlabs-nlp.169 dailymail.co.uk.365144::8 97.5 0.7092218918776371 4 1668
zlabs-nlp.169 en.ndtv.com.13009::2 89.6666666666667 0.612540896088972 3 156
zlabs-nlp.169 en.ndtv.com.13009::6 91.0 0.700114084600387 3 160
zlabs-nlp.169 en.ndtv.com.13009::9 82.3333333333333 0.12418359851503098 3 163
zlabs-nlp.169 rte.en.ie.5312::7 89.5 0.8530393531045569 2 899
zlabs-nlp.169 news.com.au.759106::21 88.5 0.5262900054048499 2 1012
zlabs-nlp.169 standard.co.uk.14568::8 59.0 -0.47727811867922 2 175
