SYS SEGID RAW.SCR Z.SCR N SID
Online-B.1597 scotsman.155294::1 51.0 -0.6359727889644 3 412
Online-B.1597 rt.com.113909::7 75.75 0.586993278453188 4 504
Online-B.1597 kcal.270::4 80.0 0.493032403875771 3 681
Online-B.1597 seattle_times.7043::9 44.0 -0.49058920077315504 2 160
Online-B.1597 cnn.385555::4 63.0 -0.0709110645878847 3 831
Online-B.1597 dailymail.co.uk.365293::12 50.5 -0.33482275566871805 4 700
Online-B.1597 dailymail.co.uk.365293::6 69.25 0.44113401249171297 4 694
Online-B.1597 seattle_times.7452::7 75.0 0.8758753571558531 1 497
Online-B.1597 allafrica.15342::11 90.5 0.6237235235929139 2 942
Online-B.1597 abcnews.363994::1 66.0 0.10927579736280699 2 1313
Online-B.1597 upi.205721::4 72.0 0.438353580761194 2 606
Online-B.1597 upi.205695::6 65.0 0.23661780227100399 1 1379
Online-B.1597 nytimes.231903::2 69.0 0.168695251302898 3 1089
Online-B.1597 nytimes.231903::6 76.6666666666667 0.43064848319311894 3 1093
Online-B.1597 cnn.385761::13 64.0 0.11275683950296302 6 1252
Online-B.1597 abcnews.364021::3 71.0 0.39869131623239 3 1035
Online-B.1597 foxnews.100073::8 69.0 0.782109447743057 2 1330
Online-B.1597 guardian.260810::4 83.6 0.6681464037864979 5 1109
Online-B.1597 aj-english.8643::4 73.5 0.41568005396395796 2 204
Online-B.1597 dailymail.co.uk.365204::12 76.6666666666667 0.42478143385523 3 343
Online-B.1597 dailymail.co.uk.365204::6 83.0 0.675566570773715 3 337
Online-B.1597 rt.com.113881::5 63.75 -0.27330602812467103 4 953
Online-B.1597 rt.com.113881::13 67.5 -0.18497706511664103 2 961
Online-B.1597 rt.com.113881::12 63.0 -0.290129563518567 2 960
Online-B.1597 stv.tv.21636::10 61.5 0.0383957165349756 2 70
Online-B.1597 sky.com.20667::4 74.5 0.164607357904712 2 1073
Online-B.1597 standard.co.uk.14562::8 59.0 0.10032318750222399 2 904
Online-B.1597 telegraph.421297::6 82.0 0.447708891526469 2 824
Online-B.1597 seattle_times.7043::7 65.0 0.38656755374853796 4 158
Online-B.1597 seattle_times.7043::12 54.0 -0.0780930495667755 2 163
Online-B.1597 seattle_times.7111::11 64.5 0.10894817419037199 2 486
Online-B.1597 rt.com.113877::3 74.3333333333333 0.501680295190537 3 1003
Online-B.1597 newrepublic.com.11841::3 70.71428571428571 0.221233351580565 7 223
Online-B.1597 euronews-en.185708::5 80.0 0.295218885696018 4 635
Online-B.1597 euronews-en.185708::3 80.25 0.298044476062365 4 633
Online-B.1597 independent.281332::15 63.0 -0.115172352507499 3 976
Online-B.1597 independent.281332::7 72.0 0.26595345777510004 3 968
Online-B.1597 sky.com.20683::15 87.6666666666667 0.383163847357139 3 322
Online-B.1597 gateway-zh.135::5 82.0 0.154538906509939 2 998
Online-B.1597 gateway-zh.135::7 77.5 0.009995515868898991 2 1000
Online-B.1597 foxnews.100086::11 91.6666666666667 0.580256213608795 3 1194
Online-B.1597 latimes.431856::3 93.0 0.595276508334042 2 289
Online-B.1597 latimes.431856::6 88.0 0.397211606559202 2 292
Online-B.1597 latimes.431856::10 91.0 0.5185479565838329 2 296
Online-B.1597 latimes.431856::13 92.5 0.5750537833299371 2 299
Online-B.1597 rte.en.ie.5343::9 85.5 0.564790227697356 2 1341
Online-B.1597 standard.co.uk.14688::1 50.0 -0.837375206980763 3 1117
Online-B.1597 rte.en.ie.5331::5 70.25 0.0193389043550895 4 1084
Online-B.1597 en.ndtv.com.13041::6 69.5 0.04346183083327 4 1410
Online-B.1597 cnn.385672::3 74.6666666666667 0.147936974073901 3 135
Online-B.1597 nytimes.232003::6 59.0 -0.281492248483055 3 390
Online-B.1597 reuters.276717::5 74.0 0.230528736470379 3 805
Online-B.1597 reuters.276717::14 64.6666666666667 -0.0931863396369312 3 814
Online-B.1597 reuters.276717::18 89.6666666666667 0.824266200812705 3 818
Online-B.1597 en.ndtv.com.13004::2 91.6666666666667 0.776002726476333 3 779
Online-B.1597 huffingtonpost.com.19385::4 87.0 0.275119236073012 3 593
Online-B.1597 huffingtonpost.com.19385::5 82.0 0.0969888378094784 3 594
