SYS SEGID RAW.SCR Z.SCR N SID
OPPO.191 nunatsiaq-20190905::61 27.0 -3.1850512101072996 1 1627
OPPO.191 nunatsiaq-20191128::38 72.0 -0.798251802033553 1 2945
OPPO.191 nunatsiaq-20190905::49 82.5 -0.241331940149679 2 1615
OPPO.191 Hansard_20180319::363 71.0 -0.8512917888796391 2 363
OPPO.191 nunatsiaq-20191108::25 92.0 0.262547934888112 1 2632
OPPO.191 Hansard_20180319::331 76.0 -0.58609185464922 1 331
OPPO.191 Hansard_20180319::675 99.0 0.6338278428106949 2 675
OPPO.191 Hansard_20180319::69 99.0 0.6338278428106949 1 69
OPPO.191 Hansard_20180319::586 74.0 -0.692171828341386 1 586
OPPO.191 Hansard_20180319::167 96.0 0.47470788227244504 1 167
OPPO.191 Hansard_20180319::131 92.0 0.262547934888112 1 131
OPPO.191 nunatsiaq-20191030::32 96.0 0.547668088291551 1 2439
OPPO.191 nunatsiaq-20191112::13 95.0 0.444139149106002 1 2662
OPPO.191 nunatsiaq-20191010::18 88.0 -0.28056342519283506 1 2091
OPPO.191 Hansard_20180319::245 63.0 -0.384620587767433 1 245
OPPO.191 Hansard_20180319::372 90.0 0.8749010459160942 1 372
OPPO.191 nunatsiaq-20190924::40 48.0 -1.08435482870273 1 1858
OPPO.191 Hansard_20180319::1453 87.0 0.7349541977290359 1 1453
OPPO.191 Hansard_20180319::63 99.0 1.29474159047727 1 63
OPPO.191 nunatsiaq-20190905::1 34.0 -1.7374401202423302 1 1567
OPPO.191 Hansard_20180319::344 99.0 1.29474159047727 1 344
OPPO.191 nunatsiaq-20190924::3 65.0 -0.29132268897606 1 1821
OPPO.191 nunatsiaq-20191127::19 80.0 0.695814080790568 1 2843
OPPO.191 nunatsiaq-20190911::47 51.0 -0.701596469273594 2 1750
OPPO.191 nunatsiaq-20191009::11 65.5 -0.0028911942415122 2 2033
OPPO.191 Hansard_20180319::529 41.0 -1.1834621761922701 1 529
OPPO.191 nunatsiaq-20191114-2::12 93.0 0.8347481658131851 1 2705
OPPO.191 Hansard_20180319::105 74.0 -0.38558097622477705 1 105
OPPO.191 nunatsiaq-20191009::26 74.0 -0.38558097622477705 1 2048
OPPO.191 nunatsiaq-20191009::14 74.0 -0.38558097622477705 1 2036
OPPO.191 nunatsiaq-20190923::11 76.0 -0.257125277062886 1 1813
OPPO.191 nunatsiaq-20191030::36 75.0 -0.321353126643832 1 2443
OPPO.191 Hansard_20180319::991 77.0 -0.19289742748194103 1 991
OPPO.191 nunatsiaq-20191025-2::27 75.0 -0.321353126643832 1 2323
OPPO.191 Hansard_20180319::1192 83.0 0.537702933069925 1 1192
OPPO.191 Hansard_20180319::1065 2.0 -1.6131087992097801 1 1065
OPPO.191 nunatsiaq-20191002::13 3.0 -1.5865555679470602 1 1962
OPPO.191 Hansard_20180319::1231 74.0 0.29872385170551397 2 1231
OPPO.191 Hansard_20180319::1510 100.0 0.989107864536035 1 1510
OPPO.191 Hansard_20180319::832 100.0 0.989107864536035 1 832
OPPO.191 nunatsiaq-20191022::12 66.0 0.0862980016038152 1 2267
OPPO.191 Hansard_20180319::1336 50.0 -0.338553698599583 1 1336
OPPO.191 nunatsiaq-20191007::36 100.0 0.6964993296012699 1 2008
OPPO.191 nunatsiaq-20191031::26 81.0 -0.221855095272022 1 2473
OPPO.191 Hansard_20180319::1191 79.0 -0.31852398210078897 1 1191
OPPO.191 nunatsiaq-20191010-2::10 100.0 0.6964993296012699 1 2071
OPPO.191 nunatsiaq-20191031::12 99.0 0.648164886186886 1 2459
OPPO.191 Hansard_20180319::999 99.0 0.648164886186886 1 999
OPPO.191 Hansard_20180319::1165 94.0 0.40649266911496706 1 1165
OPPO.191 nunatsiaq-20190905::24 79.0 -0.31852398210078897 1 1590
OPPO.191 Hansard_20180319::44 79.0 -0.31852398210078897 1 44
OPPO.191 nunatsiaq-20190911::32 67.5 -0.564651522107087 2 1735
OPPO.191 nunatsiaq-20191112::2 69.0 -0.4917329847323029 2 2651
OPPO.191 nunatsiaq-20190905::31 81.5 0.12236961802412501 2 1597
OPPO.191 Hansard_20180319::1072 88.0 0.442725459792161 2 1072
OPPO.191 Hansard_20180319::192 90.5 0.573007381704732 2 192
OPPO.191 nunatsiaq-20191007::37 64.0 0.00773944776460393 1 2009
OPPO.191 Hansard_20180319::862 24.5 -1.1245130955755902 2 862
OPPO.191 nunatsiaq-20190924::27 35.0 -0.8235345713965491 1 1845
OPPO.191 nunatsiaq-20191112::11 24.0 -1.13884540625078 1 2660
OPPO.191 Hansard_20180319::872 17.0 -1.33949775570347 1 872
OPPO.191 nunatsiaq-20191017-2::42 4.0 -1.71213783325847 1 2191
OPPO.191 Hansard_20180319::1313 80.0 0.46637338937075706 1 1313
OPPO.191 Hansard_20180319::347 22.0 -1.19617464895155 1 347
OPPO.191 Hansard_20180319::1234 56.0 -0.122216872454841 1 1234
OPPO.191 nunatsiaq-20191128::8 4.0 -1.7230424058683798 1 2915
OPPO.191 nunatsiaq-20190905::97 50.0 -0.306927510925634 1 1663
OPPO.191 nunatsiaq-20190905::79 98.0 1.1707575968407098 2 1645
OPPO.191 nunatsiaq-20191106::11 24.0 -1.1073402776324 1 2525
OPPO.191 nunatsiaq-20191121::3 25.0 -1.0765551712206 1 2776
OPPO.191 nunatsiaq-20191010::5 38.5 -1.99807729501575 2 2078
OPPO.191 nunatsiaq-20191112::40 46.0 -1.4647826433211597 1 2689
OPPO.191 nunatsiaq-20190905::7 36.5 -2.14028920213431 2 1573
OPPO.191 nunatsiaq-20191002::10 40.0 -1.89141836467684 1 1959
OPPO.191 nunatsiaq-20190905::58 36.0 -2.17584217891396 1 1624
OPPO.191 nunatsiaq-20191104::5 75.0 0.597290009897949 1 2490
OPPO.191 nunatsiaq-20191017-2::6 44.0 -1.6069945504397198 1 2155
OPPO.191 nunatsiaq-20191129::10 24.0 -3.02911362162531 1 2956
OPPO.191 nunatsiaq-20191022::39 15.0 -3.66906720365883 1 2294
OPPO.191 Hansard_20180319::895 43.0 -1.6781005039989998 1 895
OPPO.191 Hansard_20180319::964 67.0 0.0284423814237122 1 964
OPPO.191 Hansard_20180319::388 87.0 0.530226359824746 1 388
OPPO.191 nunatsiaq-20191108::11 88.0 0.5616564937799771 2 2618
OPPO.191 Hansard_20180319::1343 82.0 0.373075690048591 1 1343
OPPO.191 nunatsiaq-20191017::12 27.0 -1.3555816774891103 1 2225
OPPO.191 Hansard_20180319::343 98.0 0.8759578333322858 1 343
OPPO.191 Hansard_20180319::162 98.0 0.8759578333322858 1 162
OPPO.191 Hansard_20180319::742 51.0 -0.601258462563567 1 742
OPPO.191 nunatsiaq-20191018::19 22.0 -1.5127323472652598 1 2247
OPPO.191 Hansard_20180319::98 99.0 0.907387967287517 1 98
OPPO.191 nunatsiaq-20191127::39 74.0 0.121634618406744 1 2863
OPPO.191 Hansard_20180319::1499 98.0 0.8759578333322858 1 1499
OPPO.191 Hansard_20180319::632 39.0 -1.0665956919169302 1 632
OPPO.191 nunatsiaq-20191011::21 91.5 1.00657253561506 2 2136
OPPO.191 nunatsiaq-20191031::3 77.0 0.43398321563003006 1 2450
OPPO.191 Hansard_20180319::839 100.0 1.3422283438821399 1 839
OPPO.191 Hansard_20180319::912 65.0 -0.0398838078058537 1 912
OPPO.191 nunatsiaq-20190905::90 0.0 -2.6066635180835602 1 1656
OPPO.191 Hansard_20180319::1059 72.0 0.23653862253174499 1 1059
OPPO.191 nunatsiaq-20191114::15 67.0 0.0390940294334602 1 2759
OPPO.191 Hansard_20180319::639 71.0 0.197049703912088 1 639
OPPO.191 nunatsiaq-20191112::21 63.0 -0.11886164504516801 1 2670
OPPO.191 Hansard_20180319::1115 0.0 -3.95649931556426 1 1115
OPPO.191 nunatsiaq-20191017-2::36 74.0 -0.29032163773111197 1 2185
OPPO.191 Hansard_20180319::625 69.0 -0.538036345692811 1 625
OPPO.191 nunatsiaq-20191127::12 86.0 0.30419366137696696 2 2836
OPPO.191 Hansard_20180319::1182 94.0 0.7005371941156859 1 1182
OPPO.191 Hansard_20180319::335 99.0 0.9482519020773851 1 335
OPPO.191 Hansard_20180319::113 75.0 -0.240778696138772 1 113
OPPO.191 Hansard_20180319::99 99.0 0.9482519020773851 1 99
OPPO.191 Hansard_20180319::291 46.0 -1.6775240023166298 1 291
OPPO.191 nunatsiaq-20191010-2::3 50.0 -1.4793522359472702 1 2064
OPPO.191 Hansard_20180319::1357 59.0 -0.0655671188249666 1 1357
OPPO.191 Hansard_20180319::31 99.0 1.11052469866322 1 31
OPPO.191 Hansard_20180319::1470 52.0 -0.27138318688540003 2 1470
OPPO.191 Hansard_20180319::974 99.0 1.11052469866322 1 974
OPPO.191 Hansard_20180319::1306 88.0 0.7870994488539721 1 1306
OPPO.191 nunatsiaq-20191108::33 82.0 0.6106856762307429 2 2640
