SYS SEGID RAW.SCR Z.SCR N SID
OPPO.1054 wikipedia::795 28.0 -2.01571570797411 1 795
OPPO.1054 wikipedia::52 49.0 -0.726737940999191 2 52
OPPO.1054 wikipedia::180 28.0 -2.01571570797411 1 180
OPPO.1054 wikipedia::1246 41.0 -1.21777709032297 1 1246
OPPO.1054 wikipedia::200 68.0 0.43948003864477997 2 200
OPPO.1054 wikipedia::1738 90.0 1.78983769928517 1 1738
OPPO.1054 wikipedia::1503 65.0 0.255340357648364 1 1503
OPPO.1054 wikipedia::3 67.0 0.378100144979309 1 3
OPPO.1054 wikipedia::252 64.0 -0.226191941052571 1 252
OPPO.1054 wikipedia::413 78.0 1.35715164631542 1 413
OPPO.1054 wikipedia::1836 66.5 0.0565479852631425 2 1836
OPPO.1054 wikipedia::1653 79.0 1.47024761684171 1 1653
OPPO.1054 wikipedia::564 74.0 0.9047677642102819 1 564
OPPO.1054 wikipedia::638 72.0 0.678575823157712 1 638
OPPO.1054 wikipedia::1978 66.0 0.0 1 1978
OPPO.1054 wikipedia::898 67.0 0.113095970526285 1 898
OPPO.1054 wikipedia::477 56.0 -1.1309597052628502 1 477
OPPO.1054 wikipedia::1799 67.0 0.113095970526285 1 1799
OPPO.1054 wikipedia::1462 92.0 1.0172876856917399 1 1462
OPPO.1054 wikipedia::1568 10.5 -1.644315729521 2 1568
OPPO.1054 wikipedia::1158 84.0 0.7560260007628841 1 1158
OPPO.1054 wikipedia::275 81.0 0.658052868914562 1 275
OPPO.1054 wikipedia::1008 3.0 -1.88924855914181 1 1008
OPPO.1054 wikipedia::498 68.5 0.249831486213221 2 498
OPPO.1054 wikipedia::351 68.5 0.249831486213221 2 351
OPPO.1054 wikipedia::2203 69.0 0.266160341521274 1 2203
OPPO.1054 wikipedia::557 42.0 -0.6155978451136229 1 557
OPPO.1054 wikipedia::1268 85.0 0.788683711378991 1 1268
OPPO.1054 wikipedia::1906 78.0 0.56007973706624 1 1906
OPPO.1054 wikipedia::451 80.0 0.6253951582984549 1 451
OPPO.1054 wikipedia::2253 57.0 -0.0521774214342999 2 2253
OPPO.1054 wikipedia::367 17.5 -1.25043797181509 2 367
OPPO.1054 wikipedia::994 22.0 -1.11392727620209 1 994
OPPO.1054 wikipedia::1441 95.0 1.1005795637421498 1 1441
OPPO.1054 wikipedia::542 28.0 -0.931913015384755 1 542
OPPO.1054 wikipedia::1537 76.0 0.0864350161628675 2 1537
OPPO.1054 wikipedia::353 45.5 -1.21314860751671 2 353
OPPO.1054 wikipedia::2113 94.5 0.880018549745434 2 2113
OPPO.1054 wikipedia::2095 85.5 0.48331115008967296 2 2095
OPPO.1054 wikipedia::1402 76.5 0.11262459407162 4 1402
OPPO.1054 wikipedia::688 85.0 0.47558797734316205 2 688
OPPO.1054 wikipedia::421 73.5 -0.0352796707997795 2 421
OPPO.1054 wikipedia::2083 78.75 0.18892828304596201 4 2083
OPPO.1054 wikipedia::412 84.0 0.426566349736973 2 412
OPPO.1054 wikipedia::2196 87.5 0.5754787309322491 2 2196
OPPO.1054 wikipedia::285 81.0 0.290413433605183 2 285
OPPO.1054 wikipedia::2197 30.5 -1.86033790606249 2 2197
OPPO.1054 wikipedia::226 70.5 -0.163878148456106 2 226
OPPO.1054 wikipedia::2232 55.0 -0.8574021941785401 2 2232
OPPO.1054 wikipedia::1446 81.0 0.285377141288207 2 1446
OPPO.1054 wikipedia::233 100.0 1.27817055309751 1 233
OPPO.1054 wikipedia::301 59.0 0.295699749254281 1 301
OPPO.1054 wikipedia::500 40.0 -0.159591598868194 1 500
OPPO.1054 wikipedia::24 83.0 0.8708046100405641 1 24
OPPO.1054 wikipedia::545 1.0 -1.0941369976459 1 545
OPPO.1054 wikipedia::338 100.0 1.27817055309751 1 338
OPPO.1054 wikipedia::1343 27.0 -0.47110673179409707 1 1343
OPPO.1054 wikipedia::1745 34.0 -0.303367814064764 1 1745
OPPO.1054 wikipedia::1957 1.0 -1.0941369976459 1 1957
OPPO.1054 wikipedia::718 2.0 -1.07017429511314 1 718
OPPO.1054 wikipedia::1404 99.0 1.25420785056475 1 1404
OPPO.1054 wikipedia::55 100.0 1.27817055309751 1 55
OPPO.1054 wikipedia::2156 2.0 -1.07017429511314 1 2156
OPPO.1054 wikipedia::92 2.0 -1.07017429511314 1 92
OPPO.1054 wikipedia::2165 98.0 1.23024514803199 1 2165
OPPO.1054 wikipedia::126 39.0 -0.183554301400955 1 126
OPPO.1054 wikipedia::6 23.0 -1.3484204149638601 1 6
OPPO.1054 wikipedia::1993 62.0 -0.10431357362034101 1 1993
OPPO.1054 wikipedia::1053 48.0 -0.5509160294872459 1 1053
OPPO.1054 wikipedia::1518 0.0 -2.08212444960235 1 1518
OPPO.1054 wikipedia::1484 12.0 -1.6993223445735701 1 1484
OPPO.1054 wikipedia::1798 76.0 0.34228888224656395 1 1798
OPPO.1054 wikipedia::224 60.0 -0.16811392445847 1 224
OPPO.1054 wikipedia::804 0.0 -1.36169066244732 1 804
OPPO.1054 wikipedia::379 4.0 -1.25603086322735 1 379
OPPO.1054 wikipedia::783 8.0 -1.1503710640073899 1 783
OPPO.1054 wikipedia::1316 5.0 -1.22961591342236 1 1316
OPPO.1054 wikipedia::741 13.0 -1.01829631498243 1 741
OPPO.1054 wikipedia::2012 13.0 -1.01829631498243 1 2012
OPPO.1054 wikipedia::1312 60.0 0.22320632585217898 1 1312
OPPO.1054 wikipedia::1561 37.0 -0.384337519662628 1 1561
OPPO.1054 wikipedia::716 36.0 -0.41075246946762 1 716
OPPO.1054 wikipedia::274 43.75 -0.5299399448346961 4 274
OPPO.1054 wikipedia::647 40.0 -0.63663361978579 2 647
OPPO.1054 wikipedia::1933 60.0 0.607925228123538 2 1933
OPPO.1054 wikipedia::100 43.0 -0.596313740814038 4 100
OPPO.1054 wikipedia::1382 71.5 0.499780241745374 2 1382
OPPO.1054 wikipedia::1904 64.0 0.5866266317706739 2 1904
OPPO.1054 wikipedia::1793 53.0 -0.0365830126775985 2 1793
OPPO.1054 wikipedia::187 46.5 -0.311588837904403 2 187
OPPO.1054 wikipedia::580 68.5 0.609577232737365 2 580
OPPO.1054 wikipedia::833 55.5 0.15964349559291502 2 833
OPPO.1054 wikipedia::311 56.5 0.273161368559323 2 311
OPPO.1054 wikipedia::2100 33.0 -1.30114196846573 1 2100
OPPO.1054 wikipedia::1105 50.0 -0.6183386511662281 1 1105
OPPO.1054 wikipedia::1734 39.0 -1.0601525623600299 1 1734
OPPO.1054 wikipedia::938 21.0 -1.7831207806771499 1 938
OPPO.1054 wikipedia::1002 36.0 -1.18064726541288 1 1002
OPPO.1054 wikipedia::366 0.0 -2.62658370204712 1 366
OPPO.1054 wikipedia::1624 34.0 -1.2609770674481102 1 1624
OPPO.1054 wikipedia::1534 60.0 -0.21668964099004898 1 1534
OPPO.1054 wikipedia::1728 66.0 0.024299765115659 1 1728
OPPO.1054 wikipedia::1018 4.0 -2.46592409797665 1 1018
OPPO.1054 wikipedia::1432 57.5 -0.0810629394410415 2 1432
OPPO.1054 wikipedia::254 80.0 0.6603663847148249 1 254
OPPO.1054 wikipedia::68 46.0 -0.46001570512070594 1 68
OPPO.1054 wikipedia::2214 62.5 0.0836991325935954 2 2214
OPPO.1054 wikipedia::966 54.0 -0.19639638986528699 1 966
OPPO.1054 wikipedia::1220 60.0 0.0013180965762770698 1 1220
OPPO.1054 wikipedia::954 29.0 -1.02020675003847 1 954
OPPO.1054 wikipedia::2133 2.0 -1.90992193902551 1 2133
OPPO.1054 wikipedia::849 10.0 -1.64630262377009 1 849
OPPO.1054 wikipedia::1153 66.0 0.19903258301784102 1 1153
OPPO.1054 wikipedia::1352 33.0 -0.888397092410762 1 1352
OPPO.1054 wikipedia::667 59.0 -0.0316343178306503 1 667
OPPO.1054 wikipedia::1779 85.0 1.84980808560044 1 1779
OPPO.1054 wikipedia::1356 70.0 -0.0637864857103601 1 1356
OPPO.1054 wikipedia::1828 72.0 0.19135945713108 1 1828
OPPO.1054 wikipedia::1366 71.0 0.0637864857103601 1 1366
OPPO.1054 wikipedia::1238 68.5 -0.255145942841441 2 1238
OPPO.1054 wikipedia::1198 79.0 1.08437025707612 1 1198
OPPO.1054 wikipedia::796 77.0 0.829224314234681 1 796
OPPO.1054 wikipedia::1384 78.0 0.9567972856554019 1 1384
OPPO.1054 wikipedia::247 75.0 0.574078371393241 1 247
OPPO.1054 wikipedia::1048 78.0 0.9567972856554019 1 1048
OPPO.1054 wikipedia::114 83.0 1.594662142759 1 114
OPPO.1054 wikipedia::215 64.0 -0.49384310971543105 1 215
OPPO.1054 wikipedia::1884 71.0 -0.107381201609448 1 1884
OPPO.1054 wikipedia::1363 68.0 -0.27300773365486897 2 1363
OPPO.1054 wikipedia::1843 93.0 1.10721336672364 1 1843
OPPO.1054 wikipedia::1487 74.0 0.0582453304359736 1 1487
OPPO.1054 wikipedia::1089 64.0 -0.49384310971543105 1 1089
OPPO.1054 wikipedia::1660 56.0 -0.935513861836555 1 1660
OPPO.1054 wikipedia::886 84.0 0.0823358871481496 1 886
OPPO.1054 wikipedia::1395 96.0 0.803526139540698 1 1395
OPPO.1054 wikipedia::1216 94.0 0.6833277641419399 1 1216
OPPO.1054 wikipedia::1371 100.0 1.04392289033821 1 1371
OPPO.1054 wikipedia::1729 96.0 0.803526139540698 1 1729
OPPO.1054 wikipedia::1408 90.0 0.442931013344424 1 1408
OPPO.1054 wikipedia::1331 96.0 0.803526139540698 1 1331
OPPO.1054 wikipedia::923 100.0 0.9034984527797529 1 923
OPPO.1054 wikipedia::11 1.5 -1.4440245648621801 2 11
OPPO.1054 wikipedia::1989 7.0 -1.3129445994100901 1 1989
OPPO.1054 wikipedia::1066 91.0 0.6890039638581561 2 1066
OPPO.1054 wikipedia::714 3.0 -1.40827548337525 1 714
OPPO.1054 wikipedia::734 99.0 0.879665731788465 1 734
OPPO.1054 wikipedia::1364 2.0 -1.43210820436654 1 1364
OPPO.1054 wikipedia::236 77.0 0.355345869980114 1 236
OPPO.1054 wikipedia::836 41.0 -0.5026320857062779 1 836
OPPO.1054 wikipedia::450 75.0 0.307680427997537 1 450
OPPO.1054 wikipedia::1584 1.0 -1.4559409253578202 1 1584
OPPO.1054 wikipedia::340 75.0 0.307680427997537 1 340
OPPO.1054 wikipedia::825 87.0 0.593673079893001 1 825
OPPO.1054 wikipedia::1470 84.0 0.5963082984572989 1 1470
OPPO.1054 wikipedia::2008 45.0 -1.30447009466364 1 2008
OPPO.1054 wikipedia::356 41.0 -1.49942172472732 1 356
OPPO.1054 wikipedia::1299 45.0 -1.30447009466364 1 1299
OPPO.1054 wikipedia::449 91.0 0.937473651068749 1 449
OPPO.1054 wikipedia::486 1.0 -2.14727922452545 1 486
OPPO.1054 wikipedia::326 50.0 -0.601679782707644 1 326
OPPO.1054 wikipedia::655 49.0 -0.63322262845903 2 655
OPPO.1054 wikipedia::1214 75.0 0.186891361076948 1 1214
OPPO.1054 wikipedia::1636 50.0 -0.601679782707644 1 1636
OPPO.1054 wikipedia::1355 0.0 -2.1788220702768304 1 1355
OPPO.1054 wikipedia::1056 75.0 0.186891361076948 1 1056
