SYS SEGID RAW.SCR Z.SCR N SID
Online-G.1566 interia-pl.2077::1 93.0 1.58591562149838 1 535
Online-G.1566 interia-pl.2077::2 79.0 0.40286568496056196 1 536
Online-G.1566 interia-pl.2077::3 96.0 1.8394263221850602 1 537
Online-G.1566 interia-pl.2077::4 74.0 -0.0196521495172317 1 538
Online-G.1566 interia-pl.2077::5 80.0 0.48736925185612 1 539
Online-G.1566 interia-pl.2077::6 83.0 0.7408799525427958 1 540
Online-G.1566 interia-pl.2077::7 78.0 0.31836211806500303 1 541
Online-G.1566 interia-pl.2077::8 71.0 -0.273162850203908 1 542
Online-G.1566 interia-pl.2077::9 93.0 1.58591562149838 1 543
Online-G.1566 interia-pl.2077::10 79.0 0.40286568496056196 1 544
Online-G.1566 interia-pl.2077::11 64.0 -0.864687818472818 1 545
Online-G.1566 interia-pl.2077::12 85.0 0.9098870863339141 1 546
Online-G.1566 interia-pl.2077::13 68.0 -0.526673550890584 1 547
Online-G.1566 interia-pl.2053::1 100.0 0.597309876818541 1 346
Online-G.1566 interia-pl.2053::2 96.0 0.468583530686913 1 347
Online-G.1566 interia-pl.2053::3 94.0 0.4042203576210979 1 348
Online-G.1566 interia-pl.2053::4 96.0 0.468583530686913 1 349
Online-G.1566 interia-pl.2053::5 76.0 -0.17504819997123 1 350
Online-G.1566 interia-pl.2053::6 99.0 0.565128290285634 1 351
Online-G.1566 interia-pl.2053::7 100.0 0.597309876818541 1 352
Online-G.1566 interia-pl.2053::8 100.0 0.597309876818541 1 353
Online-G.1566 interia-pl.2053::9 51.0 -0.9795878632939079 1 354
Online-G.1566 interia-pl.2053::10 96.0 0.468583530686913 1 355
Online-G.1566 interia-pl.2053::11 56.0 -0.818679930629372 1 356
Online-G.1566 interia-pl.2053::12 99.0 0.565128290285634 1 357
Online-G.1566 interia-pl.2053::13 100.0 0.597309876818541 1 358
Online-G.1566 interia-pl.2053::14 100.0 0.597309876818541 1 359
Online-G.1566 interia-pl.2053::15 100.0 0.597309876818541 1 360
Online-G.1566 interia-pl.2053::16 99.0 0.565128290285634 1 361
Online-G.1566 interia-pl.2053::17 99.0 0.565128290285634 1 362
Online-G.1566 interia-pl.2053::18 11.0 -2.26685132461019 1 363
Online-G.1566 wprost-pl.668::1 98.5 0.764345709100608 2 209
Online-G.1566 wprost-pl.668::4 92.5 0.5682231822056719 2 212
