SYS SEGID RAW.SCR Z.SCR N SID
Online-Z.1643 wikipedia::907 25.0 -2.12568303633751 1 907
Online-Z.1643 wikipedia::809 50.0 -1.13699325199448 1 809
Online-Z.1643 wikipedia::435 75.0 -0.148303467651454 1 435
Online-Z.1643 wikipedia::1966 76.0 -0.108755876277733 1 1966
Online-Z.1643 wikipedia::254 50.5 -1.11721945630762 2 254
Online-Z.1643 wikipedia::1938 76.0 -0.108755876277733 1 1938
Online-Z.1643 wikipedia::756 81.0 0.0889820805908726 1 756
Online-Z.1643 wikipedia::1631 96.0 0.6821959511966899 2 1631
Online-Z.1643 wikipedia::2605 51.0 -1.09744566062076 1 2605
Online-Z.1643 wikipedia::779 91.0 0.484457994328084 1 779
Online-Z.1643 wikipedia::2044 88.0 0.36581522020692103 1 2044
Online-Z.1643 wikipedia::2011 44.0 -1.37427880023681 1 2011
Online-Z.1643 wikipedia::1536 86.0 0.286720037459479 1 1536
Online-Z.1643 wikipedia::2267 96.0 0.6821959511966899 1 2267
Online-Z.1643 wikipedia::2181 74.0 -0.18785105902517601 1 2181
Online-Z.1643 wikipedia::1866 77.0 -0.0692082849040121 1 1866
Online-Z.1643 wikipedia::1980 9.0 -0.9485411254998299 1 1980
Online-Z.1643 wikipedia::598 23.0 -0.36788630446801396 1 598
Online-Z.1643 wikipedia::1529 32.5 0.0261294669464316 2 1529
Online-Z.1643 wikipedia::802 11.0 -0.865590436780999 1 802
Online-Z.1643 wikipedia::669 42.0 0.420145238360878 1 669
Online-Z.1643 wikipedia::1372 89.0 0.438848476823281 1 1372
Online-Z.1643 wikipedia::1044 91.5 0.506823767533206 2 1044
Online-Z.1643 wikipedia::2163 98.0 0.6835595233790139 1 2163
Online-Z.1643 wikipedia::1237 100.0 0.737939755946954 1 1237
Online-Z.1643 wikipedia::1723 70.0 -0.0777637325721551 1 1723
Online-Z.1643 wikipedia::1085 98.0 0.6835595233790139 1 1085
Online-Z.1643 wikipedia::2041 100.0 0.737939755946954 1 2041
Online-Z.1643 wikipedia::193 100.0 0.737939755946954 1 193
Online-Z.1643 wikipedia::657 99.0 0.710749639662984 1 657
Online-Z.1643 wikipedia::2612 80.0 0.735448916121016 1 2612
Online-Z.1643 wikipedia::2540 74.0 0.3638014089157 1 2540
Online-Z.1643 wikipedia::1060 56.0 -0.751141112700249 1 1060
Online-Z.1643 wikipedia::116 82.0 0.8593314185227879 1 116
Online-Z.1643 wikipedia::524 72.0 0.23991890651392803 2 524
Online-Z.1643 wikipedia::1214 79.0 0.67350766492013 1 1214
Online-Z.1643 wikipedia::2490 71.0 0.177977655313042 2 2490
Online-Z.1643 wikipedia::788 77.0 0.549625162518358 1 788
Online-Z.1643 wikipedia::1261 84.0 0.9832139209245602 1 1261
Online-Z.1643 wikipedia::2637 47.0 -1.30861237350822 1 2637
Online-Z.1643 wikipedia::908 49.0 -1.18472987110645 1 908
Online-Z.1643 wikipedia::1200 25.0 -1.226490366689 1 1200
Online-Z.1643 wikipedia::702 95.0 1.05504898139046 1 702
Online-Z.1643 wikipedia::1933 74.0 0.370587176966622 1 1933
Online-Z.1643 wikipedia::1253 100.0 1.21801607768185 1 1253
Online-Z.1643 wikipedia::1724 94.0 1.02245556213218 1 1724
Online-Z.1643 wikipedia::1607 76.0 0.43577401548317796 1 1607
Online-Z.1643 wikipedia::1869 81.0 0.7973901673219019 1 1869
Online-Z.1643 wikipedia::1781 86.5 1.1380670489267801 2 1781
Online-Z.1643 wikipedia::739 58.0 -0.6272586102984771 2 739
Online-Z.1643 wikipedia::312 68.0 -0.00784609828961649 1 312
Online-Z.1643 wikipedia::1678 52.0 -0.998906117503793 1 1678
Online-Z.1643 wikipedia::1105 83.0 0.921272669723674 1 1105
