RAW.SCR Z.SCR N SYS N.ALL
79.32598039215691 0.247014407933923 782 PROMT_NMT.73 1241
82.4510563380282 0.31177655258431103 710 eTranslation.737 1173
85.279324009324 0.322221407355888 715 Online-A.1574 1308
84.31345238095241 0.3845242998439679 700 Tencent_Translation.1520 1056
88.6200726612171 0.46820865657596705 734 Tohoku-AIP-NTT.890 1361
84.15003198976329 0.29864027253064396 521 Human-P.0 803
87.398679154659 0.49515173558239706 694 OPPO.1535 1190
82.2212494595763 0.26013891998072 771 AFRL.1069 1356
73.91613247863249 -0.119678490034494 624 Online-G.1556 1018
84.50615006150059 0.416468423465359 813 Online-B.1590 1365
68.12583979328171 -0.278390194312612 645 zlabs-nlp.179 1056
90.50607805502241 0.569198370284334 521 Human-B.0 850
81.00267077555209 0.251231842420799 649 UEDIN.1136 1192
85.65816326530609 0.44578500415089206 588 Human-A.0 957
77.65545839957599 0.125798127745 629 Online-Z.1631 1043
84.6034986225895 0.32644260211190695 605 Huoshan_Translate.832 1091
65.4550834597876 -0.338168585367229 659 WMTBiomedBaseline.388 1042
