RAW.SCR Z.SCR N SYS N.ALL
79.7313109425785 0.11257239794350699 923 OPPO.1094 1035
71.7286348501665 -0.15329968810711098 901 zlabs-nlp.1164 1092
79.8684895833333 0.0619114478687957 960 Human-B.0 1130
75.9738805970149 -0.0162113390750598 938 DiDi_NLP.1191 1097
80.9449339207048 0.114367707834503 908 Online-A.1583 1113
80.15178571428571 0.0721864798087545 896 Online-B.1603 1066
79.4908759124088 0.0959464364574067 822 PROMT_NMT.78 985
79.26035322777099 0.12383429767425001 821 Online-G.1567 961
79.1653726708075 0.0261181010365988 966 AFRL.1083 1118
80.6146706586826 0.103922134720395 835 eTranslation.686 958
77.6732749742533 0.0423466880217548 971 ariel197197.512 1141
75.18225623582771 -0.0216195521549111 882 Online-Z.1644 1087
