SID BETTER WORSE BLEURT_DASH_extended COMET COMET_DASH_2R COMET_DASH_HTER COMET_DASH_MQM COMET_DASH_QE COMET_DASH_Rank CharacTER EED MEE OpenKiwi_DASH_Bert OpenKiwi_DASH_XLMR TER YiSi_DASH_0 YiSi_DASH_1 YiSi_DASH_2 chrF chrF_PLUS__PLUS_ esim mBERT_DASH_L2 parbleu paresim_DASH_1 prism sentBLEU
abcnews.364002 GTCOM.1389 DCU.1020 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 0 1 1 1 1 1 1 1
abcnews.364002 GTCOM.1389 Microsoft_STC_India.282 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
abcnews.364002 GTCOM.1389 Online-A.1578 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1
abcnews.364002 GTCOM.1389 SJTU-NICT.386 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
abcnews.364002 Groningen.1261 Microsoft_STC_India.282 0 0 0 0 0 0 0 0 0 1 1 0 1 1 1 0 1 0 0 0 1 0 0 0
abcnews.364002 Online-Z.1637 Microsoft_STC_India.282 1 1 1 1 1 0 1 1 0 0 1 1 1 1 1 0 1 1 1 1 1 0 1 1
allafrica.15239 DCU.1020 SJTU-NICT.386 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
allafrica.15239 DCU.1020 TALP_UPC.1049 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
allafrica.15239 Groningen.1261 SJTU-NICT.386 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
allafrica.15239 Microsoft_STC_India.282 SJTU-NICT.386 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
allafrica.15239 Microsoft_STC_India.282 TALP_UPC.1049 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1
allafrica.15239 OPPO.1510 SJTU-NICT.386 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
allafrica.15239 OPPO.1510 TALP_UPC.1049 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
allafrica.15239 Online-A.1578 SJTU-NICT.386 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
allafrica.15239 Online-A.1578 TALP_UPC.1049 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1
allafrica.15239 Online-Z.1637 SJTU-NICT.386 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
allafrica.15239 Online-Z.1637 TALP_UPC.1049 1 1 1 1 1 1 1 1 1 1 0 1 1 0 0 1 1 1 1 1 1 1 1 1
allafrica.15239 UEDIN.488 SJTU-NICT.386 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
allafrica.15239 UEDIN.488 TALP_UPC.1049 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
allafrica.15247 DCU.1020 Online-G.1561 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
allafrica.15247 DCU.1020 SJTU-NICT.386 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
allafrica.15247 DCU.1020 TALP_UPC.1049 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1
allafrica.15247 Facebook_AI.1393 Online-G.1561 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1
allafrica.15247 GTCOM.1389 Online-G.1561 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
allafrica.15247 Huoshan_Translate.839 Online-G.1561 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
allafrica.15247 OPPO.1510 Online-G.1561 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
allafrica.15274 DCU.1020 Online-G.1561 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1
allafrica.15274 Groningen.1261 Online-G.1561 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
allafrica.15274 OPPO.1510 Online-G.1561 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1
allafrica.15274 Online-A.1578 Online-G.1561 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1
allafrica.15274 Online-A.1578 SJTU-NICT.386 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1
allafrica.15274 Online-B.1596 Online-G.1561 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
allafrica.15274 Online-B.1596 SJTU-NICT.386 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
allafrica.15274 UEDIN.488 Online-G.1561 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
allafrica.15310 DCU.1020 Online-G.1561 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
allafrica.15310 DCU.1020 SJTU-NICT.386 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
allafrica.15310 Facebook_AI.1393 Online-G.1561 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
allafrica.15310 Facebook_AI.1393 SJTU-NICT.386 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
allafrica.15310 Groningen.1261 Online-G.1561 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
allafrica.15310 Groningen.1261 SJTU-NICT.386 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
allafrica.15310 Huoshan_Translate.839 Online-G.1561 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
allafrica.15310 Huoshan_Translate.839 SJTU-NICT.386 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
allafrica.15310 OPPO.1510 Online-G.1561 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
allafrica.15310 OPPO.1510 SJTU-NICT.386 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
allafrica.15310 Online-A.1578 Online-G.1561 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
allafrica.15310 Online-A.1578 SJTU-NICT.386 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
allafrica.15310 UEDIN.488 Online-G.1561 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
allafrica.15310 UEDIN.488 SJTU-NICT.386 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
allafrica.15310 zlabs-nlp.1181 Online-G.1561 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
allafrica.15310 zlabs-nlp.1181 SJTU-NICT.386 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
brisbanetimes.com.au.225973 DCU.1020 SJTU-NICT.386 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
brisbanetimes.com.au.225973 Microsoft_STC_India.282 SJTU-NICT.386 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
cnn.385803 Huoshan_Translate.839 DCU.1020 1 1 0 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
cnn.385803 Huoshan_Translate.839 Facebook_AI.1393 1 1 1 1 1 1 0 1 1 1 0 1 1 0 1 1 0 1 1 1 1 1 1 1
cnn.385803 Huoshan_Translate.839 Online-B.1596 0 0 1 0 1 0 1 0 0 1 1 0 1 1 1 0 0 1 1 0 1 0 1 1
cnn.385803 Huoshan_Translate.839 SJTU-NICT.386 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1
cnn.385803 Groningen.1261 SJTU-NICT.386 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1
en.ndtv.com.12992 Online-B.1596 Groningen.1261 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1
en.ndtv.com.12992 Online-B.1596 SJTU-NICT.386 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
en.ndtv.com.12992 DCU.1020 SJTU-NICT.386 0 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
en.ndtv.com.12992 Groningen.1261 SJTU-NICT.386 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
en.ndtv.com.12992 Huoshan_Translate.839 SJTU-NICT.386 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
en.ndtv.com.12992 Online-A.1578 SJTU-NICT.386 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
en.ndtv.com.12992 TALP_UPC.1049 SJTU-NICT.386 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
en.ndtv.com.13009 DCU.1020 Online-A.1578 0 1 0 1 0 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 0
en.ndtv.com.13009 Facebook_AI.1393 Online-A.1578 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1
en.ndtv.com.13009 Groningen.1261 Online-A.1578 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1
en.ndtv.com.13009 Huoshan_Translate.839 Online-A.1578 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 0
en.ndtv.com.13009 OPPO.1510 Online-A.1578 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1
en.ndtv.com.13009 OPPO.1510 Online-Z.1637 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0
en.ndtv.com.13009 OPPO.1510 SJTU-NICT.386 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1
en.ndtv.com.13009 Online-B.1596 Online-A.1578 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 0 1 1 1 1 1 1 1
en.ndtv.com.13009 zlabs-nlp.1181 Online-A.1578 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1
en.ndtv.com.13028 GTCOM.1389 DCU.1020 1 1 1 1 1 0 1 1 1 0 1 1 1 1 0 1 1 1 1 1 1 1 1 1
en.ndtv.com.13028 GTCOM.1389 SJTU-NICT.386 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
en.ndtv.com.13028 Microsoft_STC_India.282 DCU.1020 1 0 1 0 1 0 1 0 1 1 0 0 1 1 0 1 0 1 1 0 1 1 1 1
en.ndtv.com.13028 Microsoft_STC_India.282 SJTU-NICT.386 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
en.ndtv.com.13028 OPPO.1510 SJTU-NICT.386 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
en.ndtv.com.13028 Online-A.1578 SJTU-NICT.386 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
