SID BETTER WORSE BLEURT_DASH_extended COMET COMET_DASH_2R COMET_DASH_HTER COMET_DASH_MQM COMET_DASH_QE COMET_DASH_Rank CharacTER EED MEE OpenKiwi_DASH_Bert OpenKiwi_DASH_XLMR TER YiSi_DASH_0 YiSi_DASH_1 YiSi_DASH_2 chrF chrF_PLUS__PLUS_ esim mBERT_DASH_L2 parbleu parchrf_PLUS__PLUS_ paresim_DASH_1 prism sentBLEU
abcnews.363994 CUNI-DocTransformer.1450 Online-B.1589 1 0 0 0 1 0 0 0 0 0 0 0 0 1 1 1 0 1 1 1 0 0 0 1 1
abcnews.363994 CUNI-T2T-2018.1071 Online-B.1589 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1
abcnews.363994 CUNI-Transformer.1080 Online-B.1589 0 0 0 0 1 0 1 0 0 0 1 0 1 1 0 0 1 0 1 0 0 0 0 1 1
abcnews.363994 CUNI-Transformer.1080 SRPOL.522 1 0 1 0 1 0 1 0 0 1 1 0 0 1 0 0 1 0 1 0 0 1 0 1 0
abcnews.363994 OPPO.1121 Online-B.1589 1 0 0 0 1 0 1 0 0 1 1 1 1 1 1 1 1 0 1 1 0 0 1 1 1
abcnews.363994 Online-Z.1630 Online-B.1589 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 1
abcnews.363994 SRPOL.522 Online-B.1589 0 0 0 0 1 0 1 0 0 0 0 0 1 1 1 0 0 1 1 0 0 0 0 1 1
abcnews.363994 UEDIN-CUNI.1482 Online-B.1589 0 0 0 0 1 0 1 0 0 0 0 0 1 1 0 0 0 1 1 0 0 0 0 1 1
abcnews.363994 eTranslation.1048 Online-B.1589 0 0 0 0 0 0 1 0 0 0 0 0 1 0 1 0 1 1 1 1 0 1 0 1 1
abcnews.364001 CUNI-T2T-2018.1071 UEDIN-CUNI.1482 0 0 0 0 0 0 0 0 1 1 1 0 1 1 1 0 0 0 1 1 0 1 1 0 1
abcnews.364001 OPPO.1121 UEDIN-CUNI.1482 0 1 1 1 1 0 0 1 1 1 1 1 1 0 1 1 1 0 1 1 1 1 1 0 1
allafrica.15342 CUNI-DocTransformer.1450 CUNI-Transformer.1080 0 0 0 0 0 1 1 0 1 0 1 1 0 0 0 0 1 1 1 0 0 1 0 0 1
allafrica.15342 CUNI-DocTransformer.1450 Online-Z.1630 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
allafrica.15342 CUNI-DocTransformer.1450 UEDIN-CUNI.1482 1 0 0 0 0 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 0
allafrica.15342 CUNI-T2T-2018.1071 CUNI-Transformer.1080 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
allafrica.15342 CUNI-T2T-2018.1071 UEDIN-CUNI.1482 0 0 0 0 0 0 1 0 1 1 1 0 1 1 1 0 0 0 1 1 0 1 1 1 0
allafrica.15342 OPPO.1121 CUNI-Transformer.1080 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 1
allafrica.15342 Online-A.1573 CUNI-Transformer.1080 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1
allafrica.15342 Online-B.1589 CUNI-Transformer.1080 1 1 1 1 1 1 0 1 1 0 0 1 0 0 1 1 1 0 0 1 1 0 1 0 0
