SID BETTER WORSE BERT_DASH_base_DASH_L2 BERT_DASH_large_DASH_L2 BLEURT BLEURT_DASH_extended COMET COMET_DASH_2R COMET_DASH_HTER COMET_DASH_MQM COMET_DASH_QE COMET_DASH_Rank CharacTER EED MEE OpenKiwi_DASH_Bert OpenKiwi_DASH_XLMR SWSS_PLUS_METEOR TER YiSi_DASH_0 YiSi_DASH_1 YiSi_DASH_2 chrF chrF_PLUS__PLUS_ esim mBERT_DASH_L2 parbleu parchrf_PLUS__PLUS_ paresim_DASH_1 prism sentBLEU
fukui_shimbun-ja.107 NICT_Kyoto.1230 Online-A.1581 0 0 0 0 0 0 1 1 0 0 0 1 0 1 0 1 1 1 0 1 1 1 0 1 0 1 0 1 0
fukui_shimbun-ja.107 NiuTrans.1352 Online-A.1581 0 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 0
fukui_shimbun-ja.107 OPPO.1529 Online-A.1581 0 0 1 0 0 0 1 1 0 1 1 1 1 1 0 1 1 1 0 1 1 1 0 1 0 1 1 1 0
fukui_shimbun-ja.107 Online-B.1599 Online-A.1581 0 1 1 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 0 1 1 0 0 1 1 0 0 0 1
fukui_shimbun-ja.107 Tohoku-AIP-NTT.1429 Online-A.1581 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
fukui_shimbun-ja.107 eTranslation.269 Online-A.1581 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0
fukui_shimbun-ja.108 NICT_Kyoto.1230 OPPO.1529 0 1 0 1 1 1 0 0 1 1 1 0 1 0 1 0 0 0 1 0 1 0 1 0 1 0 1 0 0
fukui_shimbun-ja.108 NiuTrans.1352 OPPO.1529 1 1 1 1 1 1 1 0 1 0 1 0 1 0 1 0 1 1 1 0 0 0 0 1 1 0 0 0 0
fukui_shimbun-ja.108 Online-A.1581 OPPO.1529 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
fukui_shimbun-ja.108 Online-B.1599 OPPO.1529 1 1 1 1 1 1 0 0 1 0 1 0 1 0 1 0 1 0 1 0 1 0 1 1 1 0 0 0 1
fukui_shimbun-ja.108 Tohoku-AIP-NTT.1429 OPPO.1529 1 1 1 1 1 1 1 0 1 1 1 1 1 0 1 0 1 1 1 1 1 0 1 1 1 0 1 1 1
fukui_shimbun-ja.108 Tohoku-AIP-NTT.1429 eTranslation.269 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1
fukui_shimbun-ja.108 eTranslation.269 OPPO.1529 1 0 0 0 0 0 0 0 1 0 0 0 1 0 1 0 0 0 0 0 1 1 1 0 0 0 0 0 0
fukui_shimbun-ja.127 NICT_Kyoto.1230 eTranslation.269 0 0 0 0 0 0 1 1 0 1 1 0 0 1 0 1 1 1 0 1 1 0 1 1 0 1 1 1 1
fukui_shimbun-ja.131 NICT_Kyoto.1230 Online-A.1581 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 0
fukui_shimbun-ja.131 NICT_Kyoto.1230 Online-B.1599 0 1 0 1 0 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0
fukui_shimbun-ja.131 eTranslation.269 Online-B.1599 0 0 0 0 0 1 1 1 1 1 0 1 1 1 0 0 1 1 0 1 1 1 1 0 1 1 1 1 0
hokkaido_shimbun-ja.788 Online-B.1599 OPPO.1529 0 1 1 1 1 1 0 0 1 0 0 0 1 0 1 0 1 0 1 0 0 1 0 1 1 0 0 0 0
hokkaido_shimbun-ja.870 NiuTrans.1352 OPPO.1529 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 0
hokkaido_shimbun-ja.870 NiuTrans.1352 eTranslation.269 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1
hokkaido_shimbun-ja.870 Online-A.1581 OPPO.1529 1 1 0 1 0 1 0 0 1 0 1 1 1 1 0 1 0 0 1 0 1 1 1 0 0 1 0 0 0
hokkaido_shimbun-ja.870 Online-A.1581 eTranslation.269 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0
hokkaido_shimbun-ja.870 Online-B.1599 OPPO.1529 0 1 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 1
hokkaido_shimbun-ja.870 Online-B.1599 eTranslation.269 1 1 1 1 1 1 1 0 1 1 0 0 1 1 1 0 1 1 1 1 1 1 1 1 1 0 1 1 1
hokkaido_shimbun-ja.870 Tohoku-AIP-NTT.1429 OPPO.1529 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 0
hokkaido_shimbun-ja.870 Tohoku-AIP-NTT.1429 eTranslation.269 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
hokkaido_shimbun-ja.870 NICT_Kyoto.1230 eTranslation.269 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 0 1 1 1 1 1 1 1 1 1 0 1 1 0
hokkaido_shimbun-ja.872 NiuTrans.1352 NICT_Kyoto.1230 1 1 1 1 1 1 1 0 1 1 1 0 0 1 1 0 1 1 1 1 1 1 1 1 1 0 1 0 1
hokkaido_shimbun-ja.872 OPPO.1529 NICT_Kyoto.1230 0 0 1 0 0 0 1 1 1 1 0 0 0 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1
hokkaido_shimbun-ja.872 Online-B.1599 NICT_Kyoto.1230 1 1 1 1 1 0 1 0 1 1 0 0 1 0 0 0 0 0 0 0 1 1 0 1 1 0 1 0 1
