SID BETTER WORSE BERT_DASH_base_DASH_L2 BERT_DASH_large_DASH_L2 BLEURT BLEURT_DASH_extended COMET COMET_DASH_2R COMET_DASH_HTER COMET_DASH_MQM COMET_DASH_QE COMET_DASH_Rank CharacTER EED MEE OpenKiwi_DASH_Bert OpenKiwi_DASH_XLMR TER YiSi_DASH_0 YiSi_DASH_1 YiSi_DASH_2 chrF chrF_PLUS__PLUS_ esim mBERT_DASH_L2 parbleu parchrf_PLUS__PLUS_ paresim_DASH_1 prism sentBLEU
denik.cz.201552::1 Online-A.1570 CUNI-T2T-2018.1072 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 0 1 1 1 1 1
denik.cz.201552::1 Online-A.1570 CUNI-Transformer.1081 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1
denik.cz.201552::1 Online-A.1570 SRPOL.1365 1 1 1 1 1 1 1 1 0 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1
denik.cz.201552::1 Online-A.1570 Online-G.1552 0 1 1 1 1 1 1 1 0 1 1 1 1 0 0 1 1 1 1 1 1 1 1 1 1 0 1 1
denik.cz.201552::1 Online-A.1570 UEDIN-CUNI.1359 1 1 1 1 1 1 1 1 0 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1
denik.cz.201552::1 OPPO.1481 CUNI-T2T-2018.1072 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1
denik.cz.201552::1 OPPO.1481 CUNI-Transformer.1081 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1
denik.cz.201552::1 OPPO.1481 SRPOL.1365 1 1 1 1 1 1 1 1 0 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1
denik.cz.201552::1 Online-Z.1628 CUNI-T2T-2018.1072 1 1 1 1 1 1 1 0 0 1 0 1 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1
denik.cz.201552::1 Online-Z.1628 CUNI-Transformer.1081 1 1 1 1 1 1 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
denik.cz.201552::1 Online-Z.1628 Online-G.1552 0 1 1 1 1 1 1 0 0 0 0 1 0 0 0 1 1 1 1 0 1 1 1 1 0 0 0 1
denik.cz.201552::1 Online-Z.1628 SRPOL.1365 1 1 1 1 1 1 1 0 0 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1
denik.cz.201552::1 Online-Z.1628 UEDIN-CUNI.1359 1 1 1 1 1 1 1 0 0 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1
denik.cz.201552::1 CUNI-DocTransformer.1457 CUNI-T2T-2018.1072 1 1 0 1 0 1 1 0 1 1 1 0 0 1 0 1 1 0 0 1 1 1 0 1 1 1 1 0
denik.cz.201552::1 CUNI-DocTransformer.1457 CUNI-Transformer.1081 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 0 1 1 1 0 1 1 1 1 1
denik.cz.201552::1 CUNI-DocTransformer.1457 SRPOL.1365 1 1 1 1 1 1 1 0 0 1 1 0 1 0 1 1 1 0 0 1 1 1 1 1 1 1 1 1
denik.cz.201552::1 CUNI-DocTransformer.1457 Online-G.1552 0 1 0 0 0 1 1 0 0 0 1 0 0 0 0 1 1 0 0 0 0 1 1 1 0 0 0 0
denik.cz.201552::1 CUNI-DocTransformer.1457 UEDIN-CUNI.1359 1 1 1 1 1 1 1 0 0 1 1 0 1 0 1 1 1 0 0 1 1 1 1 1 1 1 1 1
