SID BETTER WORSE BLEURT_DASH_extended COMET COMET_DASH_2R COMET_DASH_HTER COMET_DASH_MQM COMET_DASH_QE COMET_DASH_Rank CharacTER EED MEE OpenKiwi_DASH_Bert OpenKiwi_DASH_XLMR TER YiSi_DASH_0 YiSi_DASH_1 YiSi_DASH_2 chrF chrF_PLUS__PLUS_ esim mBERT_DASH_L2 parbleu parchrf_PLUS__PLUS_ paresim_DASH_1 prism sentBLEU
huffingtonpost.com.19389::4 CUNI-Transformer.1080 Online-B.1589 1 1 1 1 1 1 1 1 0 1 1 1 1 0 1 1 1 1 1 1 1 0 1 1 1
huffingtonpost.com.19389::4 CUNI-Transformer.1080 Online-Z.1630 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1
huffingtonpost.com.19389::4 CUNI-Transformer.1080 Online-A.1573 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
huffingtonpost.com.19389::4 CUNI-T2T-2018.1071 Online-Z.1630 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
huffingtonpost.com.19389::4 zlabs-nlp.1151 Online-Z.1630 0 0 0 0 0 0 1 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1
gateway-zh.135::6 Online-A.1573 Online-B.1589 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0
gateway-zh.135::6 Online-A.1573 zlabs-nlp.1151 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 0 1 1 1
gateway-zh.135::6 CUNI-Transformer.1080 Online-B.1589 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0
gateway-zh.135::6 CUNI-Transformer.1080 zlabs-nlp.1151 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 0 1 1 1
gateway-zh.135::6 OPPO.1121 Online-B.1589 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0
gateway-zh.135::6 OPPO.1121 zlabs-nlp.1151 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 0 1 1 1
gateway-zh.135::6 UEDIN-CUNI.1482 Online-B.1589 0 0 0 0 0 0 1 1 0 1 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0
gateway-zh.135::6 UEDIN-CUNI.1482 Online-G.1555 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 0 1 1 1 0 1 1 1
gateway-zh.135::6 UEDIN-CUNI.1482 zlabs-nlp.1151 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1
gateway-zh.135::6 Online-G.1555 zlabs-nlp.1151 1 1 1 1 1 1 1 1 1 1 1 1 0 0 1 1 1 1 1 1 1 1 1 1 1
gateway-zh.135::6 SRPOL.522 zlabs-nlp.1151 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1
