SID BETTER WORSE BLEURT_DASH_extended COMET COMET_DASH_2R COMET_DASH_HTER COMET_DASH_MQM COMET_DASH_QE COMET_DASH_Rank CharacTER EED MEE OpenKiwi_DASH_Bert OpenKiwi_DASH_XLMR TER YiSi_DASH_0 YiSi_DASH_1 YiSi_DASH_2 Yisi_DASH_combi bleurt_DASH_combi chrF chrF_PLUS__PLUS_ esim mBERT_DASH_L2 parbleu parchrf_PLUS__PLUS_ paresim_DASH_1 prism sentBLEU
en.ndtv.com.12997::1 Online-B.1590 PROMT_NMT.73 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 0 1 1 1 1 1 1 0 1 1 1 1
en.ndtv.com.12997::1 Online-Z.1631 PROMT_NMT.73 0 0 1 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0
en.ndtv.com.12997::1 Online-Z.1631 WMTBiomedBaseline.388 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
en.ndtv.com.12997::1 Huoshan_Translate.832 PROMT_NMT.73 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 0 1 1 1 1 1 1 0 1 1 1 1
en.ndtv.com.12997::1 Huoshan_Translate.832 WMTBiomedBaseline.388 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
en.ndtv.com.12997::1 eTranslation.737 PROMT_NMT.73 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 0 1 1 1 1 1 1 0 1 1 1 1
en.ndtv.com.12997::1 Tencent_Translation.1520 PROMT_NMT.73 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1
en.ndtv.com.12997::1 WMTBiomedBaseline.388 PROMT_NMT.73 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
huffingtonpost.com.19334::8 PROMT_NMT.73 Huoshan_Translate.832 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
huffingtonpost.com.19334::8 AFRL.1069 Online-A.1574 1 0 1 1 0 0 0 1 1 0 0 1 1 0 0 0 1 1 0 1 0 1 0 1 1 1 1
huffingtonpost.com.19334::8 AFRL.1069 Huoshan_Translate.832 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 1 1 1 0 0 1 1 1 1
huffingtonpost.com.19334::8 Tencent_Translation.1520 Huoshan_Translate.832 0 0 1 1 1 1 1 1 0 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1
huffingtonpost.com.19334::8 Tohoku-AIP-NTT.890 Online-A.1574 1 1 0 1 0 0 0 1 0 0 0 1 1 1 0 1 1 1 0 1 0 0 0 1 1 1 1
huffingtonpost.com.19334::8 Tohoku-AIP-NTT.890 Huoshan_Translate.832 0 0 0 0 0 0 1 1 0 1 0 0 0 1 1 0 1 1 1 0 1 0 0 1 1 1 1
huffingtonpost.com.19334::8 Online-B.1590 Huoshan_Translate.832 0 0 0 0 1 0 1 1 0 1 0 1 0 1 1 0 0 1 0 0 1 0 0 0 1 1 1
huffingtonpost.com.19334::8 UEDIN.1136 Online-A.1574 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
huffingtonpost.com.19334::8 UEDIN.1136 Huoshan_Translate.832 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
huffingtonpost.com.19334::11 PROMT_NMT.73 Online-A.1574 0 1 1 1 0 1 1 0 1 1 1 0 0 0 1 0 1 1 1 1 1 0 1 1 1 1 1
huffingtonpost.com.19334::11 PROMT_NMT.73 Huoshan_Translate.832 1 0 1 1 1 1 1 0 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1
huffingtonpost.com.19334::11 PROMT_NMT.73 Tohoku-AIP-NTT.890 0 1 1 1 1 1 1 0 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1
huffingtonpost.com.19334::11 PROMT_NMT.73 UEDIN.1136 0 1 1 1 1 1 1 0 1 1 1 0 0 0 1 0 1 1 1 1 1 1 1 0 1 1 1
huffingtonpost.com.19334::11 AFRL.1069 Online-A.1574 1 1 1 1 0 0 1 0 1 1 0 0 1 0 0 0 1 1 0 1 0 0 1 1 1 0 1
huffingtonpost.com.19334::11 AFRL.1069 Tencent_Translation.1520 1 1 0 0 0 0 1 0 0 0 0 0 1 0 0 0 1 1 0 0 0 1 1 0 1 0 0
huffingtonpost.com.19334::11 AFRL.1069 Tohoku-AIP-NTT.890 1 1 1 1 0 1 1 0 1 1 1 1 1 0 0 0 1 1 0 1 1 1 1 1 1 1 1
huffingtonpost.com.19334::11 AFRL.1069 UEDIN.1136 1 1 1 1 1 1 1 0 1 0 1 0 1 0 0 0 1 1 0 1 1 1 1 1 1 0 1
huffingtonpost.com.19334::11 AFRL.1069 Huoshan_Translate.832 1 0 1 1 1 0 1 1 1 1 0 1 1 0 0 0 1 1 0 1 1 1 1 1 1 1 1
huffingtonpost.com.19334::11 Tencent_Translation.1520 Online-A.1574 0 1 1 1 0 1 0 1 1 1 1 0 0 0 1 0 1 1 1 1 1 0 0 1 1 0 1
huffingtonpost.com.19334::11 Tencent_Translation.1520 Tohoku-AIP-NTT.890 0 1 1 1 1 1 0 0 1 1 1 1 1 1 1 0 1 0 1 1 1 0 0 1 0 1 1
huffingtonpost.com.19334::11 Online-B.1590 Tencent_Translation.1520 1 0 0 0 1 0 1 1 1 0 0 0 1 1 0 1 1 1 0 1 1 1 1 0 1 1 1
