SID BETTER WORSE BLEURT_DASH_extended COMET COMET_DASH_2R COMET_DASH_HTER COMET_DASH_MQM COMET_DASH_QE COMET_DASH_Rank CharacTER EED MEE OpenKiwi_DASH_Bert OpenKiwi_DASH_XLMR TER YiSi_DASH_0 YiSi_DASH_1 YiSi_DASH_2 chrF chrF_PLUS__PLUS_ esim parbleu paresim_DASH_1 prism sentBLEU
nunatsiaq-20191114::10 NRC.715 UEDIN.1281 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1
nunatsiaq-20191114::10 Facebook_AI.1465 UEDIN.1281 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1
nunatsiaq-20191114::10 Facebook_AI.1465 OPPO.722 1 1 1 1 1 1 0 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1
nunatsiaq-20191114::10 CUNI-Transfer.1009 UEDIN.1281 0 1 1 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1 1 0 0
nunatsiaq-20191114::10 CUNI-Transfer.1009 OPPO.722 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 1 0 0 1 1 1 0
nunatsiaq-20191114::10 Groningen.1392 UEDIN.1281 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1
nunatsiaq-20191114::10 Helsinki.992 UEDIN.1281 0 0 0 0 1 1 0 0 0 0 0 0 1 0 0 0 1 0 0 1 1 1 0
nunatsiaq-20191114::10 MultiLingual_Engine_Ubiqus.525 UEDIN.1281 0 1 1 1 1 1 1 1 1 0 1 1 0 1 1 1 1 1 1 1 1 0 1
nunatsiaq-20191114::10 MultiLingual_Engine_Ubiqus.525 OPPO.722 0 0 1 1 1 0 0 0 1 0 1 0 0 1 1 1 1 1 1 1 1 1 1
nunatsiaq-20191114::13 Facebook_AI.1465 NRC.715 1 1 1 1 1 1 1 0 1 1 0 0 0 1 1 0 0 1 1 0 1 0 1
nunatsiaq-20191114::13 Facebook_AI.1465 UQAM_TanLe.521 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 0 1
nunatsiaq-20191114::13 Facebook_AI.1465 OPPO.722 1 1 1 1 1 1 1 0 1 1 0 0 1 1 1 1 1 1 1 1 1 1 1
nunatsiaq-20191114::13 CUNI-Transfer.1009 NRC.715 0 0 0 0 1 0 1 0 1 0 0 0 0 1 0 0 1 1 0 0 0 0 0
nunatsiaq-20191114::13 CUNI-Transfer.1009 UQAM_TanLe.521 0 1 0 1 1 0 1 1 1 1 1 1 0 1 1 1 1 0 1 1 1 0 1
nunatsiaq-20191114::13 CUNI-Transfer.1009 UEDIN.1281 0 0 0 0 1 1 1 1 1 0 1 1 1 1 1 1 1 1 0 0 1 1 1
nunatsiaq-20191114::13 CUNI-Transfer.1009 OPPO.722 1 1 1 1 1 0 0 0 1 1 1 0 0 1 1 1 1 0 1 1 1 1 1
nunatsiaq-20191114::13 CUNI-Transfer.1009 MultiLingual_Engine_Ubiqus.525 0 0 0 0 1 0 0 0 1 0 1 0 1 0 0 1 1 0 0 0 1 1 0
nunatsiaq-20191114::13 Groningen.1392 NRC.715 1 0 1 1 1 1 0 0 0 1 1 0 1 1 1 1 1 1 0 0 0 1 1
nunatsiaq-20191114::13 Groningen.1392 UQAM_TanLe.521 1 1 1 1 1 1 1 0 1 1 1 0 1 1 1 1 1 1 1 0 1 1 1
nunatsiaq-20191114::13 Groningen.1392 OPPO.722 1 1 1 1 1 1 0 0 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1
nunatsiaq-20191114::13 Helsinki.992 NRC.715 0 0 1 1 0 0 1 0 0 1 0 0 0 0 0 0 0 1 1 0 0 1 0
nunatsiaq-20191114::13 Helsinki.992 UQAM_TanLe.521 0 1 1 1 1 0 1 0 1 1 0 0 0 1 1 1 0 1 1 0 1 1 1
nunatsiaq-20191114::13 Helsinki.992 UEDIN.1281 0 0 1 1 1 1 1 0 1 0 1 0 1 1 1 1 0 1 0 0 1 1 1
nunatsiaq-20191114::13 Helsinki.992 OPPO.722 1 1 1 1 1 0 0 0 1 1 0 0 0 1 1 1 0 1 1 1 1 1 1
nunatsiaq-20191114::13 Helsinki.992 MultiLingual_Engine_Ubiqus.525 0 0 1 1 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 1 0
nunatsiaq-20190920::11 CUNI-Transfer.1009 NRC.715 0 0 0 0 0 1 1 0 0 0 1 0 1 1 0 0 1 0 0 1 1 0 0
nunatsiaq-20191010::12 Facebook_AI.1465 NRC.715 0 0 0 0 0 1 1 0 1 0 0 0 1 0 0 0 0 0 0 0 0 1 0
nunatsiaq-20191010::12 Facebook_AI.1465 UEDIN.1281 0 1 1 1 1 1 1 1 1 1 0 1 1 1 1 0 0 1 1 1 1 1 1
nunatsiaq-20191010::12 CUNI-Transfer.1009 NRC.715 0 0 0 0 1 1 1 1 1 0 0 1 0 0 0 0 1 1 1 0 0 1 1
nunatsiaq-20191010::12 CUNI-Transfer.1009 UEDIN.1281 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1
nunatsiaq-20191010::12 Groningen.1392 NRC.715 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 1 1 1 1 0 0 1 1
nunatsiaq-20191010::12 Groningen.1392 UEDIN.1281 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1
nunatsiaq-20191010::12 MultiLingual_Engine_Ubiqus.525 NRC.715 1 0 0 0 0 1 0 1 1 0 0 1 0 1 1 0 0 1 0 0 1 1 1
nunatsiaq-20191010::12 MultiLingual_Engine_Ubiqus.525 UEDIN.1281 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 0 1 1 1 1 1 1
nunatsiaq-20191010::12 OPPO.722 UEDIN.1281 0 0 0 0 0 1 0 1 0 0 0 1 1 0 0 0 0 1 0 0 0 1 0
nunatsiaq-20191010::12 OPPO.722 NRC.715 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0
nunatsiaq-20191010::17 Facebook_AI.1465 NRC.715 1 1 1 1 1 1 0 0 0 1 1 0 1 0 0 1 1 1 1 1 0 1 0
nunatsiaq-20191010::17 Facebook_AI.1465 UEDIN.1281 1 1 1 1 1 0 0 1 1 1 1 1 0 1 1 1 1 1 1 0 1 1 1
nunatsiaq-20191010::17 Facebook_AI.1465 OPPO.722 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 0 1
nunatsiaq-20191010::17 CUNI-Transfer.1009 NRC.715 0 0 1 1 1 1 1 0 0 0 1 0 1 0 0 1 1 1 0 1 0 1 0
nunatsiaq-20191010::17 CUNI-Transfer.1009 UEDIN.1281 1 1 1 1 1 0 0 1 1 1 1 1 0 1 1 1 1 1 1 0 1 1 1
nunatsiaq-20191010::17 CUNI-Transfer.1009 OPPO.722 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 0 1
