SID BETTER WORSE BLEURT_DASH_extended COMET COMET_DASH_2R COMET_DASH_HTER COMET_DASH_MQM COMET_DASH_QE COMET_DASH_Rank CharacTER EED MEE OpenKiwi_DASH_Bert OpenKiwi_DASH_XLMR TER YiSi_DASH_0 YiSi_DASH_1 YiSi_DASH_2 chrF chrF_PLUS__PLUS_ esim mBERT_DASH_L2 parbleu parchrf_PLUS__PLUS_ paresim_DASH_1 prism sentBLEU
thesun.co.uk.27296::5 Tilde.1425 Tilde.1430 0 0 1 1 0 0 0 1 1 1 0 0 1 0 1 0 0 0 1 0 0 0 0 1 1
thesun.co.uk.27296::5 Tilde.1425 CUNI-Transformer.978 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 1 0 0 0 0 0 0 0 0
thesun.co.uk.27296::5 Tilde.1425 Huoshan_Translate.1137 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
thesun.co.uk.27296::5 Tilde.1425 Online-A.1576 1 1 1 1 1 1 0 1 1 1 1 0 1 0 1 1 1 1 1 1 1 1 1 1 1
thesun.co.uk.27296::5 Tilde.1425 SJTU-NICT.899 1 0 1 0 0 0 0 0 0 1 0 0 0 1 1 0 1 0 0 0 0 0 0 1 1
thesun.co.uk.27296::5 Tilde.1425 OPPO.1076 1 0 1 1 0 0 0 0 0 0 0 1 0 1 0 0 1 0 0 1 0 0 0 0 0
thesun.co.uk.27296::5 Tilde.1425 SRPOL.1325 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
thesun.co.uk.27296::5 Tilde.1425 Online-Z.1634 1 0 1 1 1 1 0 1 1 1 1 0 1 1 1 1 1 1 0 1 0 0 0 1 1
thesun.co.uk.27296::5 Tilde.1425 eTranslation.926 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
thesun.co.uk.27296::5 Tilde.1425 zlabs-nlp.180 0 0 1 1 1 0 0 1 1 1 0 0 1 1 1 1 1 1 0 0 0 1 1 1 1
thesun.co.uk.27296::5 Tilde.1430 Online-A.1576 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
thesun.co.uk.27296::5 Tilde.1430 OPPO.1076 1 1 0 0 1 1 0 0 0 0 0 1 0 1 0 0 1 0 0 1 1 0 0 0 0
thesun.co.uk.27296::5 NICT_Kyoto.1233 Huoshan_Translate.1137 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
thesun.co.uk.27296::5 NICT_Kyoto.1233 Online-A.1576 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1
thesun.co.uk.27296::5 NICT_Kyoto.1233 SJTU-NICT.899 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1
thesun.co.uk.27296::5 NICT_Kyoto.1233 OPPO.1076 1 1 1 1 1 1 0 1 1 0 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1
thesun.co.uk.27296::5 NICT_Kyoto.1233 zlabs-nlp.180 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
thesun.co.uk.27296::5 NICT_Kyoto.1233 Online-Z.1634 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1
thesun.co.uk.27296::5 CUNI-Transformer.978 Online-A.1576 1 1 1 1 1 1 1 1 1 1 1 0 1 0 1 1 1 1 1 1 1 1 1 1 1
thesun.co.uk.27296::5 CUNI-Transformer.978 SJTU-NICT.899 1 1 1 1 1 1 1 1 1 1 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1
thesun.co.uk.27296::5 CUNI-Transformer.978 OPPO.1076 1 1 1 1 1 1 0 0 0 1 1 1 0 1 1 0 1 0 1 1 1 1 0 1 1
