SID BETTER WORSE BERT_DASH_base_DASH_L2 BERT_DASH_large_DASH_L2 BLEURT BLEURT_DASH_extended COMET COMET_DASH_2R COMET_DASH_HTER COMET_DASH_MQM COMET_DASH_QE COMET_DASH_Rank CharacTER EED MEE OpenKiwi_DASH_Bert OpenKiwi_DASH_XLMR SWSS_PLUS_METEOR TER YiSi_DASH_0 YiSi_DASH_1 YiSi_DASH_2 chrF chrF_PLUS__PLUS_ esim mBERT_DASH_L2 parbleu parchrf_PLUS__PLUS_ paresim_DASH_1 prism sentBLEU
fukui_shimbun-ja.114::2 NiuTrans.1352 OPPO.1529 0 0 0 0 0 1 1 1 0 1 0 0 0 0 0 1 1 1 1 1 0 1 0 0 1 0 1 1 1
fukui_shimbun-ja.114::2 NiuTrans.1352 Tohoku-AIP-NTT.1429 0 0 0 0 0 1 0 1 0 1 0 0 0 0 1 0 1 0 1 0 0 0 0 1 0 1 0 0 0
fukui_shimbun-ja.114::2 NiuTrans.1352 NICT_Kyoto.1230 0 1 1 1 0 1 1 1 0 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1
fukui_shimbun-ja.114::2 NiuTrans.1352 Online-Z.1640 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
fukui_shimbun-ja.114::2 zlabs-nlp.66 NICT_Kyoto.1230 0 1 1 1 0 0 1 0 0 0 1 0 1 0 1 0 0 0 1 0 1 1 1 0 0 1 1 0 1
fukui_shimbun-ja.114::2 zlabs-nlp.66 OPPO.1529 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1
fukui_shimbun-ja.114::2 zlabs-nlp.66 Tohoku-AIP-NTT.1429 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 1
fukui_shimbun-ja.114::2 zlabs-nlp.66 Online-Z.1640 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
fukui_shimbun-ja.114::2 Online-B.1599 NICT_Kyoto.1230 0 1 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1 0 0
fukui_shimbun-ja.114::2 Online-B.1599 OPPO.1529 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
fukui_shimbun-ja.114::2 Online-B.1599 eTranslation.269 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0
fukui_shimbun-ja.114::2 Online-B.1599 Tohoku-AIP-NTT.1429 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
fukui_shimbun-ja.114::2 Online-B.1599 Online-Z.1640 1 0 1 1 0 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1
fukui_shimbun-ja.114::2 Online-A.1581 Tohoku-AIP-NTT.1429 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
