SID BETTER WORSE BLEURT_DASH_extended COMET COMET_DASH_2R COMET_DASH_HTER COMET_DASH_MQM COMET_DASH_QE COMET_DASH_Rank CharacTER EED MEE OpenKiwi_DASH_Bert OpenKiwi_DASH_XLMR TER YiSi_DASH_0 YiSi_DASH_1 YiSi_DASH_2 chrF chrF_PLUS__PLUS_ esim mBERT_DASH_L2 parbleu parchrf_PLUS__PLUS_ paresim_DASH_1 prism sentBLEU
rt.com.113905::12 PROMT_NMT.374 zlabs-nlp.169 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 0 1 0 1
rt.com.113905::12 PROMT_NMT.374 OPPO.1489 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
rt.com.113905::12 Online-A.1577 zlabs-nlp.169 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
rt.com.113905::12 Online-A.1577 Online-Z.1636 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
rt.com.113905::12 Online-A.1577 OPPO.1489 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
rt.com.113905::12 ariel197197.1373 zlabs-nlp.169 0 1 1 1 1 1 1 1 1 0 1 1 1 1 1 0 1 1 1 1 1 1 1 0 1
rt.com.113905::12 ariel197197.1373 Online-Z.1636 0 0 1 1 1 1 1 1 1 0 0 1 1 1 1 1 1 1 1 1 1 0 1 1 1
rt.com.113905::12 ariel197197.1373 OPPO.1489 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0
rt.com.113905::12 DiDi_NLP.1455 zlabs-nlp.169 1 1 0 0 0 1 1 1 1 1 1 1 1 0 1 1 1 1 1 0 1 1 1 1 1
rt.com.113905::12 DiDi_NLP.1455 OPPO.1489 0 1 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 1 0
rt.com.113905::12 Online-Z.1636 OPPO.1489 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
rte.en.ie.5281::1 zlabs-nlp.169 Online-Z.1636 1 1 1 1 0 0 1 0 0 0 1 1 0 1 1 0 1 0 0 1 0 1 1 0 1
rte.en.ie.5281::1 zlabs-nlp.169 Online-A.1577 0 0 1 1 1 1 0 1 1 0 0 1 1 1 1 1 1 1 1 1 0 1 1 1 1
rte.en.ie.5281::1 DiDi_NLP.1455 Online-Z.1636 1 1 1 1 1 1 0 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1
rte.en.ie.5281::1 DiDi_NLP.1455 Online-A.1577 1 1 1 1 1 1 0 1 1 1 1 0 1 0 1 1 1 1 1 1 1 1 1 1 1
rte.en.ie.5281::1 PROMT_NMT.374 Online-Z.1636 1 1 1 1 1 0 1 1 1 0 1 1 1 1 1 0 1 0 0 1 0 0 0 0 1
rte.en.ie.5281::1 PROMT_NMT.374 Online-A.1577 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 1 1 1 1 1 1 0 0 1 1
rte.en.ie.5281::1 ariel197197.1373 Online-Z.1636 0 1 0 0 0 1 1 0 1 1 0 0 1 0 1 1 0 0 0 0 0 1 1 1 1
rte.en.ie.5281::1 ariel197197.1373 Online-A.1577 0 0 0 0 1 1 1 0 1 1 0 0 1 0 1 1 0 1 1 0 1 1 1 1 0
rte.en.ie.5281::9 zlabs-nlp.169 Online-Z.1636 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
rte.en.ie.5281::9 zlabs-nlp.169 Online-A.1577 0 0 0 0 1 1 0 1 1 1 0 0 1 1 1 1 0 1 1 0 0 0 1 0 1
rte.en.ie.5281::9 zlabs-nlp.169 ariel197197.1373 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
rte.en.ie.5281::9 DiDi_NLP.1455 Online-Z.1636 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1
rte.en.ie.5281::9 DiDi_NLP.1455 Online-A.1577 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1
rte.en.ie.5281::9 PROMT_NMT.374 Online-Z.1636 1 1 1 1 1 1 1 1 1 0 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1
rte.en.ie.5281::9 PROMT_NMT.374 Online-A.1577 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1
rte.en.ie.5281::9 ariel197197.1373 Online-Z.1636 1 1 1 1 1 1 1 1 1 0 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1
rte.en.ie.5281::9 ariel197197.1373 Online-A.1577 0 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1
independent.280913::4 OPPO.1489 Online-A.1577 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
allafrica.15224::9 zlabs-nlp.169 DiDi_NLP.1455 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
