SID BETTER WORSE BLEURT_DASH_extended COMET COMET_DASH_2R COMET_DASH_HTER COMET_DASH_MQM COMET_DASH_QE COMET_DASH_Rank CharacTER EED MEE OpenKiwi_DASH_Bert OpenKiwi_DASH_XLMR TER YiSi_DASH_0 YiSi_DASH_1 YiSi_DASH_2 chrF chrF_PLUS__PLUS_ esim mBERT_DASH_L2 parbleu paresim_DASH_1 prism sentBLEU
cnbc.com.33934::8 zlabs-nlp.1181 DCU.1020 1 1 1 1 1 1 1 1 1 1 1 0 1 0 1 1 1 1 1 1 0 1 1 1
cnbc.com.33934::8 Groningen.1261 DCU.1020 0 0 0 0 1 1 1 1 1 1 0 0 1 1 1 1 0 1 0 0 0 1 1 1
cnbc.com.33934::8 OPPO.1510 DCU.1020 1 1 1 1 1 1 0 1 1 1 1 1 1 0 1 1 1 1 1 1 0 1 1 1
cnbc.com.33934::8 Huoshan_Translate.839 DCU.1020 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 0 1 0 1 1 1
cnbc.com.33934::12 OPPO.1510 zlabs-nlp.1181 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 0 1 1 1
cnbc.com.33934::1 zlabs-nlp.1181 DCU.1020 0 0 1 1 1 1 1 1 1 1 0 1 1 1 1 0 1 1 0 0 0 1 1 1
cnbc.com.33934::1 GTCOM.1389 DCU.1020 0 0 1 1 1 1 1 1 1 1 0 1 1 1 1 0 1 1 0 0 0 1 1 1
cnbc.com.33934::1 Groningen.1261 DCU.1020 0 0 0 0 1 0 1 1 1 1 0 1 1 0 1 0 0 0 0 0 0 1 1 1
cnbc.com.33934::1 OPPO.1510 DCU.1020 0 0 1 1 0 1 1 1 1 1 0 1 1 1 1 1 1 1 0 0 0 1 1 1
cnbc.com.33934::1 Huoshan_Translate.839 DCU.1020 0 0 1 0 1 1 1 1 1 1 0 1 1 1 1 1 1 1 0 0 1 1 1 1
cnbc.com.33934::4 Groningen.1261 zlabs-nlp.1181 0 1 1 1 1 1 1 1 1 0 0 1 1 1 1 1 1 1 0 1 0 0 0 1
cnbc.com.33934::4 OPPO.1510 zlabs-nlp.1181 0 0 0 0 1 1 1 1 1 1 0 0 1 1 1 1 0 1 0 0 0 1 1 1
cnbc.com.33934::4 Huoshan_Translate.839 zlabs-nlp.1181 0 1 1 1 1 1 1 0 1 1 0 0 1 1 1 1 1 0 1 1 0 1 1 1
cnbc.com.33934::5 Groningen.1261 zlabs-nlp.1181 1 1 0 0 1 0 1 1 1 0 1 0 1 0 0 0 0 0 0 1 1 0 1 1
cnbc.com.33934::6 OPPO.1510 GTCOM.1389 0 0 1 1 0 1 1 0 0 1 1 0 0 1 1 1 1 1 1 0 1 1 1 1
cnbc.com.33934::3 Groningen.1261 zlabs-nlp.1181 0 0 1 1 1 0 0 0 1 1 1 0 1 1 0 0 0 0 1 1 0 0 0 0
cnbc.com.33934::3 OPPO.1510 zlabs-nlp.1181 0 1 1 1 1 0 0 0 1 1 1 0 1 0 0 1 1 0 1 1 0 1 0 0
cnbc.com.33934::3 Huoshan_Translate.839 zlabs-nlp.1181 0 0 1 1 1 0 0 0 0 1 0 0 0 1 1 0 0 0 1 0 0 0 1 1
cnbc.com.33934::3 DCU.1020 zlabs-nlp.1181 0 0 1 1 1 0 0 0 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0
cnbc.com.33934::10 Groningen.1261 zlabs-nlp.1181 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1
cnbc.com.33934::11 Huoshan_Translate.839 zlabs-nlp.1181 1 1 1 1 0 1 0 1 1 1 1 1 1 0 0 1 1 1 1 1 1 0 0 1
cnbc.com.33934::11 DCU.1020 zlabs-nlp.1181 1 1 1 1 1 1 1 1 1 0 1 1 1 0 0 1 1 1 1 1 1 0 0 0
cnbc.com.33934::14 OPPO.1510 zlabs-nlp.1181 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1
cnbc.com.33934::14 DCU.1020 zlabs-nlp.1181 0 0 0 0 0 0 1 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 1 1
kcal.268::3 Facebook_AI.1393 zlabs-nlp.1181 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1
kcal.268::3 OPPO.1510 zlabs-nlp.1181 1 0 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 0 1 1 1 1
kcal.268::3 OPPO.1510 Online-Z.1637 1 1 1 1 1 1 1 1 0 1 1 1 0 0 1 1 1 1 1 0 1 1 1 1
kcal.268::3 OPPO.1510 Groningen.1261 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 0 0 1 1 1
kcal.268::3 UEDIN.488 zlabs-nlp.1181 1 0 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 0 1 1 1 1
kcal.268::3 UEDIN.488 Groningen.1261 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 0 1 1 1 1
kcal.268::3 Microsoft_STC_India.282 zlabs-nlp.1181 0 0 1 1 1 1 0 0 1 0 1 1 1 1 1 0 1 1 1 0 1 1 0 0
kcal.268::3 Online-A.1578 zlabs-nlp.1181 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1
kcal.268::3 Online-B.1596 zlabs-nlp.1181 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1
kcal.268::3 Online-B.1596 Groningen.1261 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 0 1 1 1
