SID BETTER WORSE BERT_DASH_base_DASH_L2 BERT_DASH_large_DASH_L2 BLEURT BLEURT_DASH_extended COMET COMET_DASH_2R COMET_DASH_HTER COMET_DASH_MQM COMET_DASH_QE COMET_DASH_Rank CharacTER EED MEE OpenKiwi_DASH_Bert OpenKiwi_DASH_XLMR SWSS_PLUS_METEOR TER YiSi_DASH_0 YiSi_DASH_1 YiSi_DASH_2 chrF chrF_PLUS__PLUS_ esim mBERT_DASH_L2 parbleu parchrf_PLUS__PLUS_ paresim_DASH_1 prism sentBLEU
interia-pl.2077::1 Online-G.1566 OPPO.733 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0
interia-pl.2077::1 Online-G.1566 NICT_Kyoto.1234 0 0 0 1 0 0 0 0 1 1 1 0 1 1 1 1 1 0 1 1 1 1 0 1 1 1 0 1 1
interia-pl.2077::1 Online-G.1566 Online-Z.1642 0 1 1 1 0 0 0 0 1 1 1 0 0 1 1 1 1 1 0 1 1 1 1 1 1 1 0 0 0
interia-pl.2077::1 Online-G.1566 Tilde.1310 0 1 0 1 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 0 1 1 0 0 0 0
interia-pl.2077::1 Huoshan_Translate.1523 Online-Z.1642 0 1 1 1 1 1 0 0 1 1 1 0 0 1 1 0 1 1 0 1 1 1 1 0 1 1 0 0 0
interia-pl.2077::1 Huoshan_Translate.1523 OPPO.733 0 1 0 1 0 0 0 0 0 0 1 0 0 0 1 0 1 1 0 0 1 0 0 0 0 0 0 0 0
interia-pl.2077::1 Huoshan_Translate.1523 NICT_Kyoto.1234 0 1 1 1 0 1 0 0 1 1 1 0 0 1 1 1 1 1 0 1 1 1 1 0 0 0 1 1 0
interia-pl.2077::1 CUNI-Transformer.245 Online-Z.1642 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
interia-pl.2077::1 CUNI-Transformer.245 OPPO.733 0 1 0 0 1 1 1 0 0 1 1 0 1 0 0 1 1 0 0 0 0 0 1 1 1 1 1 1 0
interia-pl.2077::1 CUNI-Transformer.245 NICT_Kyoto.1234 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
interia-pl.2077::1 CUNI-Transformer.245 Tilde.1310 1 1 1 1 1 1 1 0 0 1 1 0 1 0 0 1 1 1 0 0 1 0 1 1 1 1 1 1 1
interia-pl.2077::1 Online-B.1601 Online-Z.1642 0 0 1 1 1 1 0 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 1
interia-pl.2077::1 Online-B.1601 OPPO.733 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0
interia-pl.2077::1 Online-B.1601 NICT_Kyoto.1234 0 0 1 1 1 1 0 1 1 0 0 0 1 1 1 1 1 1 1 0 1 1 0 0 1 1 1 1 1
