SID BETTER WORSE BERT_DASH_base_DASH_L2 BERT_DASH_large_DASH_L2 BLEURT BLEURT_DASH_extended COMET COMET_DASH_2R COMET_DASH_HTER COMET_DASH_MQM COMET_DASH_QE COMET_DASH_Rank CharacTER EED MEE OpenKiwi_DASH_Bert OpenKiwi_DASH_XLMR SWSS_PLUS_METEOR TER YiSi_DASH_0 YiSi_DASH_1 YiSi_DASH_2 chrF chrF_PLUS__PLUS_ esim mBERT_DASH_L2 parbleu parchrf_PLUS__PLUS_ paresim_DASH_1 prism sentBLEU
news-ta.222::1 Facebook_AI.1460 Huoshan_Translate.1431 0 0 0 0 1 0 1 0 1 1 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1
news-ta.222::1 Facebook_AI.1460 Online-A.1584 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1
news-ta.222::1 Facebook_AI.1460 UEDIN.384 1 1 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 0 1 1 0 1 1 1 1 1
news-ta.222::1 Facebook_AI.1460 NiuTrans.1540 1 1 0 0 1 1 1 1 0 1 0 0 1 0 1 1 1 0 1 1 0 1 1 0 1 1 1 1 1
news-ta.222::2 Facebook_AI.1460 Huoshan_Translate.1431 0 0 1 1 1 1 0 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1
news-ta.222::2 Facebook_AI.1460 NiuTrans.1540 0 0 0 0 1 0 0 0 1 1 0 0 0 1 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0
news-ta.222::2 Online-A.1584 Huoshan_Translate.1431 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1
news-ta.222::2 Online-A.1584 NiuTrans.1540 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 1 0 0 0
news-ta.222::3 Facebook_AI.1460 Huoshan_Translate.1431 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1
news-ta.222::3 Facebook_AI.1460 Online-A.1584 0 0 0 0 0 0 1 0 1 0 0 1 1 1 1 1 1 1 1 0 0 1 0 1 1 1 1 1 1
news-ta.222::3 Facebook_AI.1460 UEDIN.384 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
news-ta.222::3 Facebook_AI.1460 NiuTrans.1540 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
news-ta.222::4 Facebook_AI.1460 Huoshan_Translate.1431 0 0 0 0 1 0 1 0 1 0 0 1 1 1 1 1 0 0 1 0 0 0 0 1 1 1 0 1 1
news-ta.222::4 Facebook_AI.1460 Online-A.1584 0 1 0 0 1 0 1 0 1 0 0 1 1 1 1 1 0 0 1 0 0 0 0 0 1 0 0 0 1
news-ta.222::4 Facebook_AI.1460 NiuTrans.1540 0 0 0 0 0 0 1 1 1 1 0 1 0 1 0 1 1 0 1 0 0 0 0 1 1 0 0 0 1
news-ta.222::4 UEDIN.384 NiuTrans.1540 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0
news-ta.222::5 Facebook_AI.1460 Huoshan_Translate.1431 1 1 1 1 0 0 1 1 1 0 0 0 1 1 0 0 0 0 1 1 0 1 0 1 0 1 0 0 0
news-ta.222::5 Facebook_AI.1460 UEDIN.384 0 0 0 0 1 1 1 1 1 0 0 0 1 1 1 1 1 0 1 0 0 0 0 0 1 1 0 1 1
news-ta.222::5 Facebook_AI.1460 NiuTrans.1540 1 1 1 1 1 1 1 1 1 0 1 0 1 1 1 1 1 1 1 1 1 1 1 1 0 1 0 1 1
news-ta.222::5 Online-A.1584 NiuTrans.1540 1 1 1 1 1 1 1 1 1 0 1 1 1 1 0 1 1 1 0 1 1 1 1 1 1 1 0 0 0
viduthalai-ta.373::1 Online-B.1604 GTCOM.1409 0 1 1 1 1 1 1 1 0 1 0 1 1 0 1 1 0 1 1 1 1 1 1 1 0 1 1 1 1
viduthalai-ta.373::1 zlabs-nlp.1180 Huoshan_Translate.1431 0 1 1 1 1 1 1 0 0 1 0 0 1 0 1 0 0 1 1 1 1 1 0 1 0 1 1 1 1
viduthalai-ta.373::1 zlabs-nlp.1180 Online-B.1604 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 1 1 1 0 1
viduthalai-ta.373::1 zlabs-nlp.1180 GTCOM.1409 0 0 0 0 1 1 1 0 0 0 0 1 1 0 1 0 0 0 0 0 0 1 0 1 0 1 1 1 1
viduthalai-ta.373::1 zlabs-nlp.1180 Online-Z.1645 0 0 0 0 1 1 0 1 1 1 0 0 1 1 1 1 0 0 1 0 0 0 0 1 1 1 0 1 1
viduthalai-ta.373::1 zlabs-nlp.1180 UEDIN.384 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
viduthalai-ta.373::1 Online-Z.1645 Huoshan_Translate.1431 1 1 1 1 1 1 1 0 0 0 1 1 0 0 0 0 1 1 0 1 1 1 1 1 0 0 1 0 1
viduthalai-ta.373::1 Online-Z.1645 GTCOM.1409 1 1 1 1 0 0 1 0 0 0 0 1 0 0 0 0 0 1 0 0 1 1 1 0 0 0 1 0 0
viduthalai-ta.373::1 UEDIN.384 GTCOM.1409 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
viduthalai-ta.373::1 Microsoft_STC_India.264 Huoshan_Translate.1431 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0
viduthalai-ta.373::1 Microsoft_STC_India.264 GTCOM.1409 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0
viduthalai-ta.373::2 GTCOM.1409 Huoshan_Translate.1431 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
viduthalai-ta.373::2 GTCOM.1409 zlabs-nlp.1180 0 1 1 1 1 1 1 0 1 1 0 0 1 1 1 1 1 1 1 1 1 0 1 0 1 1 0 1 1
