	Pearson	N	Winner
HUMAN_RAW	0.8696557139044474	10	True
EED	0.8381279342110585	10	True
YiSi-0	0.8246925185213875	10	True
MEE	0.82172910763347	10	True
CharacTER	0.8116935698970905	10	True
parchrf++	0.8102703816249609	10	True
chrF	0.8057037345575327	10	True
chrF++	0.8039333120579324	10	True
BLEU	0.8003599049069908	10	True
sentBLEU	0.7995616162837822	10	True
TER	0.7831692817575155	10	True
parbleu	0.7735273283584191	10	True
YiSi-1	0.7461857469227757	10	True
BLEURT	0.7245421663690177	10	False
prism	0.7202040197938002	10	False
esim	0.7160385308602921	10	False
mBERT-L2	0.7153098257492528	10	False
paresim-1	0.7116159363421145	10	False
OpenKiwi-Bert	0.6984990322397701	10	True
COMET-2R	0.6973782418316273	10	False
BERT-large-L2	0.6947040166706984	10	False
COMET	0.6935341418719929	10	False
BERT-base-L2	0.6925593402597751	10	False
OpenKiwi-XLMR	0.6797563875483662	10	True
BLEURT-extended	0.6680573974579027	10	False
COMET-HTER	0.6605417914185501	10	False
YiSi-2	0.6403983972629016	10	False
COMET-QE	0.6218451468504138	10	False
COMET-MQM	0.6120207621102932	10	False
COMET-Rank	0.5344737646718608	10	False
