	Kendall	N
BLEU	0.8484848484848484	12
parchrf++	0.8181818181818181	12
chrF++	0.8181818181818181	12
chrF	0.8181818181818181	12
parbleu	0.8091838819320086	12
sentBLEU	0.7878787878787877	12
EED	0.7878787878787877	12
MEE	0.7575757575757575	12
CharacTER	0.7575757575757575	12
YiSi-1	0.7575757575757575	12
mBERT-L2	0.7575757575757575	12
prism	0.7575757575757575	12
BLEURT	0.7575757575757575	12
BERT-large-L2	0.7575757575757575	12
BERT-base-L2	0.7575757575757575	12
TER	0.7575757575757575	12
YiSi-0	0.7575757575757575	12
OpenKiwi-XLMR	0.7272727272727272	12
esim	0.7272727272727272	12
paresim-1	0.7272727272727272	12
HUMAN_RAW	0.7272727272727272	12
COMET-2R	0.7272727272727272	12
BLEURT-extended	0.7272727272727272	12
COMET	0.7272727272727272	12
OpenKiwi-Bert	0.6969696969696969	12
COMET-QE	0.6969696969696969	12
COMET-MQM	0.6666666666666666	12
COMET-HTER	0.6666666666666666	12
COMET-Rank	0.5757575757575757	12
YiSi-2	0.5757575757575757	12
