	HUMAN_RAW	EED	YiSi-0	MEE	CharacTER	parchrf++	chrF	chrF++	BLEU	sentBLEU	TER	parbleu	YiSi-1	BLEURT	prism	esim	mBERT-L2	paresim-1	OpenKiwi-Bert	COMET-2R	BERT-large-L2	COMET	BERT-base-L2	OpenKiwi-XLMR	BLEURT-extended	COMET-HTER	YiSi-2	COMET-QE	COMET-MQM	COMET-Rank
HUMAN_RAW	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.03809416633289879	0.04255673667271339	0.016521446959236318
EED	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.03352021192806872	0.12	0.12	0.02596242400854256
YiSi-0	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.027192803868922862	0.12	0.12	0.12	0.12	0.12	0.12	0.04498136976692685	0.045373188051673494	0.12	0.036448033044112975	0.12	0.12	0.03797862965287634	0.032890670492735516	0.01983100615772429
MEE	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.023719242389940862	0.12	0.12	0.03308681987766382
CharacTER	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.02477872483573175
parchrf++	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.029203925153641425	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.035911317631442986	0.019045643535397776
chrF	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.04324784656739312	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.04892329130774845	0.024239162529524086
chrF++	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.02518684652847044	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.03825071094229638	0.019726308339502924
BLEU	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.03664438575253268	0.009030098275132466	0.023975862265219493	0.04597952737295441	0.0189122655904348	0.12	0.03740257074057036	0.03139814101101078	0.032524218685177554	0.022941722544188088	0.12	0.023486907959664124	0.03021874524768994	0.12	0.03195223827000708	0.009917185590898651	0.00902408167986667
sentBLEU	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.01714595650963115	0.12	0.12	0.0465450379680614	0.12	0.04465583188933394	0.12	0.03688304512038222	0.03846886628053222	0.12	0.031865027685948843	0.04991635076175266	0.12	0.03877061936297927	0.021556993345132367	0.012315662293648095
