	HUMAN_RAW	EED	YiSi-0	chrF	chrF++	parchrf++	MEE	BLEU	TER	CharacTER	sentBLEU	parbleu	YiSi-1	prism	mBERT-L2	BLEURT	esim	paresim-1	BERT-large-L2	COMET	COMET-2R	BERT-base-L2	BLEURT-extended	YiSi-2	OpenKiwi-XLMR	COMET-QE	COMET-HTER	COMET-MQM	OpenKiwi-Bert	COMET-Rank
HUMAN_RAW	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.049849208547472004	0.12	0.03642257619296695
EED	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.022777541516762843	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.04280789021192264	0.04516420233361397	0.12	0.03891016148469048	0.043422123874475034	0.031331346534319134	0.0419442678698966	0.031960366244138505	0.023197943171201784	0.02622904879830442	0.01680354603367758
YiSi-0	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.047092581733924034	0.12	0.12	0.037630243197657225	0.12	0.12	0.12	0.12	0.12	0.04898380226684633	0.12	0.04632989602709947	0.03492763951615986	0.12	0.04223739790520185	0.027794461586734334	0.030843490181794907	0.01861167458878564	0.028160052081657994	0.016242645408825418
chrF	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.033586293971047954	0.12	0.024378355908588615
chrF++	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.03579878663740608	0.12	0.02699802612041741
parchrf++	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.03683291169049248	0.12	0.028686682946670768
MEE	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12
BLEU	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.032768592395389144	0.12	0.029500806123801446
TER	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.04561336326499905	0.12	0.12	0.03771654518734387	0.12	0.034837312249466554	0.04970762579104122	0.03550250136147346	0.019058408695095865	0.03656307270436435	0.010846229341417782
CharacTER	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12
