	Pearson	N	Winner
HUMAN_RAW	0.8474081339130805	9	True
parbleu	0.838012356314198	9	True
paresim-1	0.8349670322980389	9	True
mBERT-L2	0.8238177474310473	9	True
BLEURT-extended	0.817592385734517	9	True
esim	0.8081374879396865	9	False
COMET-QE	0.8046278749406406	9	True
BERT-large-L2	0.8004857898106598	9	False
BERT-base-L2	0.7906798082566849	9	False
YiSi-0	0.7863034679453391	9	True
sentBLEU	0.7861110547317487	9	True
YiSi-1	0.7829517925431437	9	True
BLEU	0.7784673535250958	9	False
prism	0.7753614555961541	9	True
COMET	0.7731524435600762	9	False
COMET-2R	0.7718032404161905	9	False
BLEURT	0.7701036426889576	9	False
COMET-HTER	0.766675463180357	9	True
TER	0.765894723675529	9	True
COMET-Rank	0.7571058441198806	9	True
EED	0.7519428771948785	9	True
OpenKiwi-Bert	0.7409690079061702	9	True
MEE	0.7121437987508006	9	False
parchrf++	0.7078823883045794	9	False
OpenKiwi-XLMR	0.7012338483495004	9	False
chrF++	0.6993478009572438	9	False
CharacTER	0.6874760014925313	9	False
chrF	0.6872455446816472	9	False
COMET-MQM	0.6836450648385787	9	True
YiSi-2	0.40426518774056663	9	False
